,variable,value,attention_matrix
0,0,0.005210163043151831,img_img_norm
1,0,0.005327981877178483,img_img_norm
2,0,0.0054250308262635445,img_img_norm
3,0,0.005903718050866401,img_img_norm
4,0,0.007294681896780365,img_img_norm
5,0,0.0058187489508583455,img_img_norm
6,0,0.006073286523153067,img_img_norm
7,0,0.005493747602120575,img_img_norm
8,0,0.005715413919476566,img_img_norm
9,0,0.00494896260149286,img_img_norm
10,0,0.005593911666117699,img_img_norm
11,0,0.006984109705040232,img_img_norm
12,0,0.007217416868783722,img_img_norm
13,0,0.005495286991601214,img_img_norm
14,0,0.005555267562483559,img_img_norm
15,0,0.006662007345739075,img_img_norm
16,0,0.005610711873585153,img_img_norm
17,0,0.005647953091819749,img_img_norm
18,0,0.007790973675088353,img_img_norm
19,0,0.009434011646059644,img_img_norm
20,0,0.005810090895889511,img_img_norm
21,0,0.005932094923681543,img_img_norm
22,0,0.006142830189070972,img_img_norm
23,0,0.006054631185626459,img_img_norm
24,0,0.006107729491687181,img_img_norm
25,0,0.009336141927465888,img_img_norm
26,0,0.005955943209196859,img_img_norm
27,0,0.005570416630827878,img_img_norm
28,0,0.005279885980251124,img_img_norm
29,0,0.006254168702803035,img_img_norm
30,0,0.00603736273339764,img_img_norm
31,0,0.005799832372957736,img_img_norm
32,1,0.005942905300151818,img_img_norm
33,1,0.005400352839953441,img_img_norm
34,1,0.005733855294360051,img_img_norm
35,1,0.005334409483434364,img_img_norm
36,1,0.004949085249892408,img_img_norm
37,1,0.005261101828244042,img_img_norm
38,1,0.00553203363100241,img_img_norm
39,1,0.0050604748273627865,img_img_norm
40,1,0.005550540301978893,img_img_norm
41,1,0.0052392611430320335,img_img_norm
42,1,0.005882066863178051,img_img_norm
43,1,0.00551155698383611,img_img_norm
44,1,0.005530483608748121,img_img_norm
45,1,0.004962281506516012,img_img_norm
46,1,0.005188578944477749,img_img_norm
47,1,0.005875678300605376,img_img_norm
48,1,0.005920288353063142,img_img_norm
49,1,0.006627095346873231,img_img_norm
50,1,0.0047046171281053505,img_img_norm
51,1,0.006195768914633734,img_img_norm
