,variable,value,attention_matrix
0,0,0.005202171699286363,img_img_norm
1,0,0.005293936788531254,img_img_norm
2,0,0.005438314074391089,img_img_norm
3,0,0.005806671615162681,img_img_norm
4,0,0.007934826145471193,img_img_norm
5,0,0.005790515191556099,img_img_norm
6,0,0.005914390142694705,img_img_norm
7,0,0.0055308641113979646,img_img_norm
8,0,0.005604044504456567,img_img_norm
9,0,0.0050067833596740925,img_img_norm
10,0,0.005521564367644245,img_img_norm
11,0,0.006798125684804821,img_img_norm
12,0,0.007119562440480884,img_img_norm
13,0,0.005494358939137733,img_img_norm
14,0,0.005543543028315101,img_img_norm
15,0,0.0067000998827401875,img_img_norm
16,0,0.005633896013660048,img_img_norm
17,0,0.0056498717680359585,img_img_norm
18,0,0.007312173678450483,img_img_norm
19,0,0.009011903251005295,img_img_norm
20,0,0.00575652219843746,img_img_norm
21,0,0.00598170755998267,img_img_norm
22,0,0.005880692907786501,img_img_norm
23,0,0.0061224545199400765,img_img_norm
24,0,0.006120990141813951,img_img_norm
25,0,0.009085353323128213,img_img_norm
26,0,0.005868835585262658,img_img_norm
27,0,0.005594805037736891,img_img_norm
28,0,0.005226814528849381,img_img_norm
29,0,0.006001981233271479,img_img_norm
30,0,0.006015960031737264,img_img_norm
31,0,0.005768262458161261,img_img_norm
32,1,0.005688858747388451,img_img_norm
33,1,0.005352332558768314,img_img_norm
34,1,0.005637621391902013,img_img_norm
35,1,0.005251373326998145,img_img_norm
36,1,0.0048986877877133204,img_img_norm
37,1,0.005264311827877441,img_img_norm
38,1,0.0051452797986635814,img_img_norm
39,1,0.005003678025161225,img_img_norm
40,1,0.005538110831147921,img_img_norm
41,1,0.005247228474534229,img_img_norm
42,1,0.005740483063056839,img_img_norm
43,1,0.005497480003719116,img_img_norm
44,1,0.005488095381049271,img_img_norm
45,1,0.004893033474555542,img_img_norm
46,1,0.0051224019810712194,img_img_norm
47,1,0.00557717415430481,img_img_norm
48,1,0.005490812713520563,img_img_norm
49,1,0.006172111791622793,img_img_norm
50,1,0.004721965127835911,img_img_norm
51,1,0.0058777840221732325,img_img_norm
52,1,0.00524846669872243,img_img_norm
53,1,0.00541276809256026,img_img_norm
54,1,0.006710516204191709,img_img_norm
55,1,0.005795040369987896,img_img_norm
56,1,0.00584109242112473,img_img_norm
57,1,0.006297964413570354,img_img_norm
58,1,0.004807247300382732,img_img_norm
59,1,0.006812780262390337,img_img_norm
60,1,0.005778013683419277,img_img_norm
61,1,0.005029747103171525,img_img_norm
62,1,0.005053714385489509,img_img_norm
63,1,0.005725740399963082,img_img_norm
64,2,0.00557618417682608,img_img_norm
65,2,0.005456681668333595,img_img_norm
66,2,0.007740457790636931,img_img_norm
67,2,0.004567432801191435,img_img_norm
68,2,0.0053022743911427285,img_img_norm
69,2,0.007398607455638197,img_img_norm
70,2,0.005591179255991953,img_img_norm
71,2,0.006850193001606114,img_img_norm
72,2,0.00688287001979815,img_img_norm
73,2,0.004530529535684563,img_img_norm
74,2,0.005639969952294181,img_img_norm
75,2,0.006396602662822297,img_img_norm
76,2,0.005945208075151491,img_img_norm
77,2,0.005954006011146876,img_img_norm
78,2,0.0054429644166196995,img_img_norm
79,2,0.00613006622429664,img_img_norm
80,2,0.006821695248726765,img_img_norm
81,2,0.006627867681751626,img_img_norm
82,2,0.005699118671083006,img_img_norm
83,2,0.005509209114334506,img_img_norm
84,2,0.006003359639781864,img_img_norm
85,2,0.0042760233505227795,img_img_norm
86,2,0.0038078664506017573,img_img_norm
87,2,0.004587994533953737,img_img_norm
88,2,0.006304428957200075,img_img_norm
89,2,0.005753149371135515,img_img_norm
90,2,0.0049157486614011545,img_img_norm
91,2,0.006031262960723454,img_img_norm
92,2,0.005362356250979648,img_img_norm
93,2,0.008846560940413004,img_img_norm
94,2,0.008407699175037642,img_img_norm
95,2,0.006678624254970558,img_img_norm
96,3,0.003812748223429811,img_img_norm
97,3,0.0043298284198991215,img_img_norm
98,3,0.0039597596284046774,img_img_norm
99,3,0.0040311031282032755,img_img_norm
100,3,0.003510937977747963,img_img_norm
101,3,0.0033509033804494433,img_img_norm
102,3,0.00338131310080208,img_img_norm
103,3,0.0029826699863936554,img_img_norm
104,3,0.0027139355894068213,img_img_norm
105,3,0.0022875160473311,img_img_norm
106,3,0.0034907225487614485,img_img_norm
107,3,0.0033753927757860544,img_img_norm
108,3,0.003941310442954795,img_img_norm
109,3,0.004730776162286425,img_img_norm
110,3,0.003315167577480334,img_img_norm
111,3,0.0053577936668928825,img_img_norm
112,3,0.0038320540376137486,img_img_norm
113,3,0.0023620263451530374,img_img_norm
114,3,0.003198061124243864,img_img_norm
115,3,0.007684897432277859,img_img_norm
116,3,0.004416691914218205,img_img_norm
117,3,0.003334125600371273,img_img_norm
118,3,0.006101066205395213,img_img_norm
119,3,0.004023435132952439,img_img_norm
120,3,0.003961965476392578,img_img_norm
121,3,0.0020415099303246055,img_img_norm
122,3,0.005471348481973911,img_img_norm
123,3,0.0017795519341296331,img_img_norm
124,3,0.0027006375647865483,img_img_norm
125,3,0.003163346267474859,img_img_norm
126,3,0.003668379471195764,img_img_norm
127,3,0.002965904817327849,img_img_norm
128,4,0.00801454088534938,img_img_norm
129,4,0.0030627955940075754,img_img_norm
130,4,0.003578722567815628,img_img_norm
131,4,0.0048611365475698205,img_img_norm
132,4,0.009963985042789732,img_img_norm
133,4,0.00263333169369132,img_img_norm
134,4,0.003944201071045466,img_img_norm
135,4,0.005622861616848281,img_img_norm
136,4,0.0028902115267576633,img_img_norm
137,4,0.002575932199102198,img_img_norm
138,4,0.004798667299353299,img_img_norm
139,4,0.00441038859618331,img_img_norm
140,4,0.003429980736250351,img_img_norm
141,4,0.0019311659716778067,img_img_norm
142,4,0.0032471008551013323,img_img_norm
143,4,0.002356624773268737,img_img_norm
144,4,0.0023201107555559067,img_img_norm
145,4,0.003355219413572919,img_img_norm
146,4,0.0033679486123744545,img_img_norm
147,4,0.004871772069649104,img_img_norm
148,4,0.002153014200423057,img_img_norm
149,4,0.0015538228789294783,img_img_norm
150,4,0.007002985553894668,img_img_norm
151,4,0.00348113751908359,img_img_norm
152,4,0.0033167627732932333,img_img_norm
153,4,0.002660987399719742,img_img_norm
154,4,0.006057553652860622,img_img_norm
155,4,0.005550614993096749,img_img_norm
156,4,0.0043976411273632995,img_img_norm
157,4,0.0023154250994631637,img_img_norm
158,4,0.0030123687172742587,img_img_norm
159,4,0.0024328550925096244,img_img_norm
160,5,0.00894312934954266,img_img_norm
161,5,0.003347347381133728,img_img_norm
162,5,0.0017339510502090228,img_img_norm
163,5,0.0024926791733240247,img_img_norm
164,5,0.004662156255606703,img_img_norm
165,5,0.002219936224654452,img_img_norm
166,5,0.0015780494395969845,img_img_norm
167,5,0.0020724744320001764,img_img_norm
168,5,0.0025151815916509704,img_img_norm
169,5,0.0044060637653092795,img_img_norm
170,5,0.004690318284273288,img_img_norm
171,5,0.00225497976479937,img_img_norm
172,5,0.0011668884713702343,img_img_norm
173,5,0.004492209480524122,img_img_norm
174,5,0.0019184581174411523,img_img_norm
175,5,0.030748310609000302,img_img_norm
176,5,0.004915185235266771,img_img_norm
177,5,0.0027884973190486734,img_img_norm
178,5,0.0031630905262782765,img_img_norm
179,5,0.0021678888767844486,img_img_norm
180,5,0.004530569364041395,img_img_norm
181,5,0.0045632627749064925,img_img_norm
182,5,0.0028482432646948623,img_img_norm
183,5,0.0024187644184888325,img_img_norm
184,5,0.0042062798956510605,img_img_norm
185,5,0.0015751730303068903,img_img_norm
186,5,0.0022311413642062536,img_img_norm
187,5,0.00168895804948086,img_img_norm
188,5,0.006812569221960368,img_img_norm
189,5,0.002068655646156986,img_img_norm
190,5,0.0025413466238802785,img_img_norm
191,5,0.0027296529923961205,img_img_norm
192,6,0.003160859988139972,img_img_norm
193,6,0.0026285459313543837,img_img_norm
194,6,0.0023437744272562086,img_img_norm
195,6,0.002702169634375551,img_img_norm
196,6,0.0035209322697188697,img_img_norm
197,6,0.004713285164164232,img_img_norm
198,6,0.002805061649327717,img_img_norm
199,6,0.0012394035883186208,img_img_norm
200,6,0.0009640089874494913,img_img_norm
201,6,0.0015626593667695458,img_img_norm
202,6,0.002241302613467957,img_img_norm
203,6,0.0025231303959533905,img_img_norm
204,6,0.004593732638248823,img_img_norm
205,6,0.003277370482511876,img_img_norm
206,6,0.004236528850610934,img_img_norm
207,6,0.005092068782612224,img_img_norm
208,6,0.0006797173482998486,img_img_norm
209,6,0.007360354680891602,img_img_norm
210,6,0.002549765104352198,img_img_norm
211,6,0.0043096148832629895,img_img_norm
212,6,0.0015773774745619221,img_img_norm
213,6,0.002813583283284637,img_img_norm
214,6,0.0028488200793682843,img_img_norm
215,6,0.004509783244069082,img_img_norm
216,6,0.0037053518540641644,img_img_norm
217,6,0.0019560639489383104,img_img_norm
218,6,0.0012878807694399316,img_img_norm
219,6,0.008862922600398167,img_img_norm
220,6,0.004731190802658269,img_img_norm
