,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
0,0.6,0.6,0.5926190476190476,0.6666666666666666,0.5714285714285714,0.8,sentence_img,0,2
1,0.6,0.48,0.5059523809523809,0.6666666666666666,0.5714285714285714,0.8,sentence_img,7,2
2,0.5,0.48,0.5059523809523809,0.5454545454545454,0.5,0.6,sentence_img,14,2
3,0.8,0.6,0.5628571428571428,0.8333333333333334,0.7142857142857143,1.0,sentence_img,21,2
4,0.8,0.6799999999999999,0.696190476190476,0.8333333333333334,0.7142857142857143,1.0,sentence_img,28,2
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,2
1,0.7,0.52,0.525952380952381,0.7692307692307693,0.625,1.0,sentence_text,7,2
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,14,2
3,0.8,1.0,1.0,0.8333333333333334,0.7142857142857143,1.0,sentence_text,21,2
4,0.9,1.0,1.0,0.9090909090909091,0.8333333333333334,1.0,sentence_text,28,2
0,0.4,0.48,0.6111111111111112,0.5,0.42857142857142855,0.6,token_all,0,2
1,0.4,0.48,0.6111111111111112,0.5,0.42857142857142855,0.6,token_all,7,2
2,0.4,0.48,0.6111111111111112,0.5,0.42857142857142855,0.6,token_all,14,2
3,0.4,0.52,0.6311111111111112,0.5,0.42857142857142855,0.6,token_all,21,2
4,0.4,0.48,0.5444444444444444,0.5,0.42857142857142855,0.6,token_all,28,2
0,0.4,0.48,0.6111111111111112,0.5,0.42857142857142855,0.6,token_img,0,2
1,0.4,0.48,0.6111111111111112,0.5,0.42857142857142855,0.6,token_img,7,2
2,0.4,0.48,0.6111111111111112,0.5,0.42857142857142855,0.6,token_img,14,2
3,0.4,0.52,0.6311111111111112,0.5,0.42857142857142855,0.6,token_img,21,2
4,0.4,0.44,0.5301587301587302,0.5,0.42857142857142855,0.6,token_img,28,2
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,2
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,2
2,0.7,1.0,1.0,0.5714285714285714,1.0,0.4,token_text,14,2
3,0.8,1.0,1.0,0.8333333333333334,0.7142857142857143,1.0,token_text,21,2
4,0.7,0.8,0.8583333333333332,0.7272727272727273,0.6666666666666666,0.8,token_text,28,2
0,0.6,0.72,0.6683333333333333,0.6666666666666666,0.5714285714285714,0.8,sentence_all,0,3
1,0.7,0.64,0.6116666666666666,0.7692307692307693,0.625,1.0,sentence_all,7,3
2,0.7,0.6799999999999999,0.696190476190476,0.7692307692307693,0.625,1.0,sentence_all,14,3
3,0.8,0.9600000000000001,0.9666666666666666,0.8333333333333334,0.7142857142857143,1.0,sentence_all,21,3
4,0.9,0.9600000000000001,0.9666666666666666,0.9090909090909091,0.8333333333333334,1.0,sentence_all,28,3
0,0.6,0.72,0.6683333333333333,0.6666666666666666,0.5714285714285714,0.8,sentence_img,0,3
