,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,chain
0,0.5986622073578596,0.5944377379515275,0.49187848525898514,0.13043478260869565,0.5294117647058824,0.0743801652892562,sentence_text,0,VH-VL
1,0.6521739130434783,0.7503017921812609,0.6645487189203693,0.584,0.5658914728682171,0.6033057851239669,sentence_text,1,VH-VL
2,0.6822742474916388,0.7483981799609991,0.6675776105465985,0.6184738955823293,0.6015625,0.6363636363636364,sentence_text,2,VH-VL
3,0.6555183946488294,0.7478874547311727,0.6751145874096262,0.5896414342629482,0.5692307692307692,0.6115702479338843,sentence_text,3,VH-VL
4,0.6488294314381271,0.7352586126845576,0.6644102395956224,0.5783132530120482,0.5625,0.5950413223140496,sentence_text,4,VH-VL
5,0.6421404682274248,0.732008543040208,0.6510179953329192,0.5737051792828686,0.5538461538461539,0.5950413223140496,sentence_text,5,VH-VL
6,0.6655518394648829,0.7379979570990807,0.6486832701836115,0.6031746031746031,0.5801526717557252,0.628099173553719,sentence_text,6,VH-VL
7,0.6622073578595318,0.7330764230662086,0.6384762422717832,0.6007905138339921,0.5757575757575758,0.628099173553719,sentence_text,7,VH-VL
8,0.6688963210702341,0.7323335500046431,0.6445916796913669,0.5991902834008097,0.5873015873015873,0.6115702479338843,sentence_text,8,VH-VL
9,0.6755852842809364,0.736976506639428,0.6527491950674329,0.6104417670682731,0.59375,0.628099173553719,sentence_text,9,VH-VL
10,0.6655518394648829,0.7383693936298636,0.6514930337812267,0.5967741935483871,0.5826771653543307,0.6115702479338843,sentence_text,10,VH-VL
11,0.6889632107023411,0.743476645928127,0.6501558396418483,0.6204081632653061,0.6129032258064516,0.628099173553719,sentence_text,11,VH-VL
12,0.6688963210702341,0.7343300213576005,0.6484006965173328,0.6024096385542169,0.5859375,0.6198347107438017,sentence_text,12,VH-VL
13,0.6588628762541806,0.7291763394929891,0.6430923602083753,0.575,0.5798319327731093,0.5702479338842975,sentence_text,13,VH-VL
14,0.6555183946488294,0.7270870090073358,0.637108611350039,0.5795918367346938,0.5725806451612904,0.5867768595041323,sentence_text,14,VH-VL
15,0.68561872909699,0.7454731172810847,0.6524790457605918,0.6115702479338843,0.6115702479338843,0.6115702479338843,sentence_text,15,VH-VL
16,0.68561872909699,0.7413408858761259,0.6492965443839295,0.6050420168067226,0.6153846153846154,0.5950413223140496,sentence_text,16,VH-VL
17,0.6822742474916388,0.7402730058501255,0.6431042061503542,0.6090534979423868,0.6065573770491803,0.6115702479338843,sentence_text,17,VH-VL
18,0.6923076923076923,0.740040858018386,0.6533831187515753,0.6260162601626016,0.616,0.6363636363636364,sentence_text,18,VH-VL
19,0.6755852842809364,0.734144303092209,0.6575275673598203,0.6135458167330677,0.5923076923076923,0.6363636363636364,sentence_text,19,VH-VL
20,0.6956521739130435,0.7402265762837775,0.6600948948176537,0.6345381526104418,0.6171875,0.6528925619834711,sentence_text,20,VH-VL
21,0.6755852842809364,0.740969449345343,0.6639387202474096,0.6072874493927125,0.5952380952380952,0.6198347107438017,sentence_text,21,VH-VL
22,0.6755852842809364,0.7471445816696072,0.6615058477432461,0.6072874493927125,0.5952380952380952,0.6198347107438017,sentence_text,22,VH-VL
23,0.6722408026755853,0.7455195468474325,0.661370715186554,0.6016260162601627,0.592,0.6115702479338843,sentence_text,23,VH-VL
24,0.6822742474916388,0.7482124616956078,0.6666366645484194,0.6245059288537549,0.5984848484848485,0.6528925619834711,sentence_text,24,VH-VL
25,0.6989966555183946,0.7629770637942241,0.6859044624049296,0.6511627906976745,0.6131386861313869,0.6942148760330579,sentence_text,25,VH-VL
26,0.705685618729097,0.7613984585383974,0.6854771667566346,0.6507936507936508,0.6259541984732825,0.6776859504132231,sentence_text,26,VH-VL
27,0.7023411371237458,0.7579626706286563,0.6934205188190209,0.6454183266932271,0.6230769230769231,0.6694214876033058,sentence_text,27,VH-VL
28,0.6822742474916388,0.7361407744451667,0.6752016818683146,0.6184738955823293,0.6015625,0.6363636363636364,sentence_text,28,VH-VL
29,0.6722408026755853,0.7203547218868975,0.642738360599438,0.6048387096774194,0.5905511811023622,0.6198347107438017,sentence_text,29,VH-VL
30,0.6254180602006689,0.7127867025721979,0.6206812958619314,0.5590551181102362,0.5338345864661654,0.5867768595041323,sentence_text,30,VH-VL
31,0.6488294314381271,0.7201225740551584,0.6099851130376561,0.5977011494252874,0.5571428571428572,0.6446280991735537,sentence_text,31,VH-VL
32,0.6488294314381271,0.7063329928498469,0.6019044226404677,0.5945945945945946,0.5579710144927537,0.6363636363636364,sentence_text,32,VH-VL
33,0.6220735785953178,0.673693007707308,0.5389454599843012,0.5065502183406113,0.5370370370370371,0.4793388429752066,sentence_text,33,VH-VL
