,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,46.652065,65.05564,71.4585,77.35807,86.07662,89.89929,91.6428,96.74329,104.83464,105.20708,91.19969,91.16865,96.76973,98.841194,101.21597,100.99854,103.27235,108.21879,109.87309,106.27351,106.97137,107.8701,111.1541,111.03432,116.175575,122.98282,140.00278,144.89085,138.25412,All tokens
1,33.2251,52.231976,59.858322,67.40968,77.05277,82.37823,84.61699,92.148796,102.16866,105.05673,91.96613,91.14394,96.22502,96.43798,98.34642,97.65417,99.90444,104.14382,103.68796,100.29552,101.48719,103.52049,106.252686,106.612206,111.951775,119.98313,140.32152,145.4334,144.76544,All tokens
2,50.431183,79.68906,88.9628,97.54652,107.99321,112.86635,109.08124,113.16787,122.89288,125.80115,108.666016,107.37708,112.290344,113.18633,117.419586,119.99309,124.72518,133.10307,138.21753,134.95863,137.22334,141.24954,145.71057,147.85472,153.52861,161.4903,184.40887,192.82767,201.58592,All tokens
3,34.869427,57.140804,66.52939,76.678444,88.21352,94.63842,96.48867,106.08593,117.902985,123.53812,111.14704,112.67917,120.895,124.4341,129.54817,132.2229,137.78348,147.31024,155.12198,149.70642,149.47922,150.54832,150.83165,156.48444,162.85811,171.23941,190.6526,195.48517,203.8903,All tokens
4,39.66686,63.541996,70.77209,77.817535,88.22694,92.95973,92.94422,98.95074,110.28299,113.663795,96.529854,95.047485,98.753,98.850945,101.12832,103.20111,106.75857,114.84519,119.40701,117.11607,121.1187,123.320595,125.448326,125.53479,131.2724,141.54169,165.81918,176.97047,182.8598,All tokens
5,62.124733,80.65583,87.88058,93.67114,101.96066,106.25416,106.61267,105.63002,111.23341,113.42741,95.63988,92.86161,99.18727,99.36938,100.27122,100.9644,102.7361,108.33082,109.253174,105.25354,106.21784,107.94209,111.02845,113.16998,120.23078,129.76077,153.44246,158.59773,155.18459,All tokens
6,36.58272,61.39215,69.67431,77.21538,86.81451,92.227165,92.90066,100.33693,109.50812,113.61167,101.994896,102.328094,106.904205,108.66975,113.51144,117.28971,122.56219,134.64854,140.65184,137.9452,141.45221,142.83109,142.298,144.20918,150.53224,157.09879,175.22635,185.58626,192.3608,All tokens
7,44.62642,64.290726,72.773796,79.48026,89.84345,94.66961,96.06709,100.64107,108.54691,110.042725,95.22522,93.3092,98.095764,98.79543,100.610214,99.69149,101.84841,106.09189,106.08956,102.05293,103.06194,105.17683,107.37442,106.75047,112.57567,121.41024,142.40762,147.89731,147.36153,All tokens
8,48.182247,67.043,74.20403,81.146454,91.32032,95.61798,97.1286,101.7965,108.65229,109.38426,94.35955,90.16976,94.37543,94.298904,95.35804,94.02224,95.80802,99.17142,98.839165,95.28926,96.36176,97.77331,100.03749,100.53093,107.020645,116.277214,138.79277,142.92867,138.8711,All tokens
9,36.153915,58.436943,66.576645,72.85768,82.41512,86.506,87.8626,93.71613,102.31859,104.12189,90.255585,89.920685,96.100075,96.843315,99.703186,101.72581,105.22012,110.29224,111.9484,110.01606,112.06825,114.02713,117.02295,121.15977,124.90003,133.02908,150.24362,151.43173,145.12035,All tokens
