,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,38.830673,39.062374,40.06957,41.475094,43.912872,48.00904,53.764732,59.553555,67.0991,76.37961,82.902756,86.28518,94.520256,98.7789,95.15631,105.569595,105.912155,107.50306,110.18774,109.33718,111.4478,109.288666,111.81114,111.22854,112.21354,114.7789,120.107574,123.56635,130.67087,132.72914,135.18701,138.88942,100.096375,All tokens
1,37.76696,38.02672,39.170193,40.595036,42.859848,46.69357,51.99713,58.183178,64.714096,71.703705,77.91351,81.95836,89.16729,91.67222,88.97315,99.29672,100.911026,102.19308,106.028885,104.93572,106.81743,105.84789,108.26829,107.44571,111.79248,114.754486,121.56185,124.75397,130.13275,131.52422,132.85507,134.09482,93.776924,All tokens
2,59.11597,59.494286,60.96687,63.080643,66.87091,73.060646,81.811714,91.05638,99.57168,109.3107,114.56182,116.89228,125.728584,129.8509,120.23089,139.76247,140.47028,142.18275,150.94093,153.4511,160.2726,161.59752,169.47488,173.58249,179.26048,186.02676,197.6673,203.7871,213.90845,217.09485,222.14722,222.74588,135.82793,All tokens
3,43.480427,43.820103,45.02663,47.03375,50.046383,54.89421,61.19962,68.38862,76.21713,83.782936,89.71503,93.41132,102.192245,105.56492,100.620514,112.111496,112.47206,111.581215,115.38147,113.48259,118.71331,117.34923,119.50875,122.21559,127.28278,130.23598,136.11626,139.29666,145.59015,146.8125,149.17024,149.69955,103.51807,All tokens
4,39.28345,39.540775,40.521175,42.033535,44.519905,48.583878,53.61496,59.81421,66.66712,74.74053,80.26446,82.930115,90.53757,94.23787,90.68745,100.7577,101.14954,100.150665,104.53429,104.55493,107.82706,104.99543,106.20431,106.59575,110.76384,114.0789,119.463905,122.008766,128.27238,130.64107,133.12286,133.48888,98.18734,All tokens
5,65.318825,65.79445,67.2958,70.27169,75.01897,81.81003,90.03456,99.513,107.790405,116.415695,119.978546,120.37223,129.32166,132.43788,121.86834,139.93799,139.94579,142.90855,151.05766,152.29651,155.7875,157.68657,164.68207,168.88445,175.34871,180.50352,189.37416,194.69325,202.76651,204.78085,208.21915,206.9267,134.05078,All tokens
6,65.78785,66.24069,67.64977,70.21679,74.47741,81.22937,89.792274,100.20808,107.86023,117.605736,122.52619,123.20293,133.15544,137.01295,127.110535,145.24149,144.96666,145.70251,152.67679,155.07953,160.12885,159.69914,166.609,170.10583,178.02907,183.47021,195.22256,202.79814,213.62274,217.30605,223.2727,226.04074,138.07043,All tokens
7,49.46252,49.846676,51.31223,53.621788,57.169525,62.44174,67.93887,74.96968,79.838806,86.70136,90.0395,90.31521,97.566895,99.35611,94.53514,103.53253,105.40722,104.0331,108.69546,106.90487,113.03676,110.50533,113.72353,117.084915,121.50088,125.7984,132.98108,136.69763,143.6947,146.63911,148.78325,149.29799,104.6462,All tokens
8,34.344242,34.579025,35.61281,36.899296,38.986084,42.71875,48.20534,54.70027,61.449024,70.55917,76.59151,80.29795,87.732185,92.967766,90.283226,101.91449,103.23896,103.523056,109.19521,109.794014,113.47576,108.89223,111.274,113.40128,115.490685,117.787575,123.49506,127.26337,132.64302,134.43228,136.10231,137.92896,99.46828,All tokens
9,21.733593,21.905277,22.723972,23.553959,24.855883,27.593563,31.64788,37.65803,44.92132,53.243767,60.43335,66.70276,73.66084,78.007416,76.8186,86.30423,86.533585,85.012115,89.26131,90.4612,93.70112,93.45275,96.2113,99.55197,104.30902,108.066055,112.668205,115.80484,121.02603,122.045944,123.8114,124.70787,84.740875,All tokens
0,39.214035,39.312664,39.87612,40.95541,42.88639,46.149612,50.881325,55.685146,62.25548,70.63882,76.368614,79.3743,87.17149,91.09077,87.57805,97.26426,97.507454,99.080574,101.503265,100.634,102.667435,100.68762,103.05211,102.62627,103.54305,106.15373,111.06307,114.47566,121.232124,123.29801,125.84412,129.64235,95.41766,Img tokens
1,38.068897,38.186867,38.773506,39.847446,41.60775,44.58273,48.819256,53.928955,59.573803,65.78487,71.19841,74.92051,81.81398,84.08947,81.54029,91.01549,92.379364,93.69665,97.146675,96.02289,97.77993,96.89593,99.12721,98.415474,102.45631,105.38596,111.66493,114.805824,119.893394,121.28931,122.65473,124.10369,89.38227,Img tokens
2,60.232162,60.402317,61.2666,62.892986,65.94674,70.93095,78.19456,86.071785,93.464874,102.32195,106.70289,108.81436,117.33759,121.20085,111.990845,130.38611,130.919,132.672,140.89154,143.2671,149.81802,151.07552,158.65279,162.7526,168.13486,174.87468,185.89873,191.95012,201.73573,204.99588,210.09593,211.22238,130.93881,Img tokens
3,43.891502,44.063965,44.80982,46.39968,48.80344,52.599636,57.68952,63.746777,70.634636,77.509605,82.77107,86.24001,94.62786,97.79554,93.05087,103.67922,103.88404,103.10869,106.4852,104.572334,109.55689,108.236336,110.21575,112.877655,117.610725,120.534775,125.94629,129.0998,135.0539,136.32333,138.67264,139.50938,99.00303,Img tokens
4,39.663612,39.78415,40.417385,41.586143,43.590763,46.81332,50.84272,56.027554,61.9749,69.261215,74.008194,76.372215,83.65806,87.03618,83.59445,92.919846,93.14477,92.30763,96.29838,96.27303,99.397575,96.68772,97.777504,98.212395,102.12576,105.36858,110.324005,112.835686,118.73896,121.06137,123.54643,124.089005,94.06268,Img tokens
5,66.94244,67.13356,68.23998,70.598885,74.39967,79.74672,86.4087,94.531395,101.73182,109.55026,112.28729,112.37819,120.967995,123.790504,113.44104,130.406,130.15402,133.06036,140.57521,141.64493,144.98802,146.69263,153.3247,157.42886,163.52248,168.65678,176.9639,182.23334,189.9825,192.07692,195.56432,194.80069,128.87425,Img tokens
6,67.61665,67.80366,68.69898,70.687805,74.113365,79.497284,86.49432,95.455894,102.06178,110.85123,114.78229,115.13795,124.685814,128.26732,118.581154,135.58624,135.15298,135.95227,142.43689,144.58807,149.4145,149.0074,155.59714,159.0748,166.64594,172.11203,183.21712,190.8006,201.24516,205.01671,211.05826,214.23131,132.99358,Img tokens
7,50.622665,50.792194,51.683323,53.489956,56.312485,60.486244,64.721504,70.67763,74.729485,80.931015,83.59039,83.66536,90.673454,92.20153,87.59346,95.90351,97.56364,96.34255,100.56771,98.78182,104.5659,102.20136,105.221214,108.48999,112.69808,116.89346,123.61214,127.24752,133.91277,136.80247,138.94455,139.75494,100.161736,Img tokens
8,34.583252,34.702164,35.28555,36.286522,37.914318,40.92546,45.43852,50.915,56.68915,64.94589,70.20567,73.55285,80.532974,85.389336,82.87616,93.617195,94.742905,95.05089,100.24831,100.71226,104.22615,99.93875,102.1768,104.28182,106.25203,108.58413,113.81728,117.51773,122.58784,124.42027,126.18373,128.14249,95.14896,Img tokens
9,21.520145,21.62307,21.981504,22.63189,23.655409,25.87585,29.204487,34.35651,40.755695,48.306602,54.85239,60.772312,67.3868,71.486305,70.32958,79.105316,79.20699,77.841064,81.725975,82.85549,85.904816,85.69588,88.3077,91.5365,96.01314,99.64368,103.897865,106.97019,111.91605,112.95815,114.740974,115.74583,80.4424,Img tokens
0,32.48549,27.678576,1.0293331,1.0588441,1.101116,1.1730517,1.2685243,1.379948,1.5166093,1.6541433,1.8565886,2.0782394,2.3097367,2.5674274,2.9470315,3.471819,4.2179117,5.296303,6.2999496,8.115972,9.865912,11.5044,13.045432,14.922888,16.444218,17.852116,19.20264,20.864735,22.643585,24.302921,26.213673,39.757874,26.916622,Text tokens
1,34.494663,29.795345,1.032317,1.0662353,1.1099832,1.1866295,1.287085,1.4084244,1.5461115,1.6981999,1.9256269,2.1877077,2.460465,2.7422848,3.16552,3.7529016,4.622922,5.7920847,6.886422,8.934648,10.927671,12.845206,14.673568,16.698446,18.384586,20.042675,21.50006,23.239752,25.069046,26.850262,28.797798,41.845745,28.152454,Text tokens
2,32.730522,28.386086,1.0274298,1.0552542,1.0923308,1.1562773,1.2406613,1.3416979,1.4530296,1.5769349,1.759714,1.9620461,2.185073,2.432478,2.7705948,3.2669716,3.9742503,4.9426985,5.9095726,7.567122,9.292279,10.998949,12.648721,14.559964,16.08023,17.638294,19.013456,20.716042,22.498013,24.273434,26.292765,41.151894,27.76504,Text tokens
3,32.728863,28.657127,1.0303254,1.0616322,1.1030198,1.1760628,1.2736107,1.3928107,1.5242705,1.6640123,1.875327,2.1058276,2.3460975,2.6263933,2.9922738,3.53567,4.321201,5.398455,6.3700438,8.127007,9.943773,11.633888,13.292845,15.169957,16.748913,18.302261,19.695726,21.374918,23.10385,24.957651,26.938448,41.12143,27.63424,Text tokens
4,32.71554,28.642157,1.0282854,1.0588068,1.0981742,1.1680402,1.2559984,1.365417,1.4876536,1.6176528,1.8075992,2.0245142,2.2590504,2.510542,2.8601503,3.3787794,4.0747747,5.0305605,5.9411764,7.6547093,9.409046,11.08206,12.649167,14.523841,16.045391,17.606321,18.972912,20.649826,22.431581,24.215664,26.262623,40.97757,28.259123,Text tokens
5,31.891901,27.884842,1.0255166,1.0517355,1.0869637,1.1480745,1.2283767,1.3223753,1.4273571,1.5438247,1.710701,1.8992554,2.0951052,2.3156195,2.6395009,3.0801573,3.703272,4.5843086,5.4172015,6.941114,8.506654,10.026686,11.490038,13.263903,14.7145605,16.153803,17.446012,19.055681,20.75581,22.525867,24.527319,40.530453,27.745062,Text tokens
6,31.891657,27.909113,1.0244856,1.049485,1.0828555,1.1410372,1.2170497,1.3092878,1.4117944,1.5274192,1.694964,1.8780622,2.0669167,2.292265,2.5771952,3.0069056,3.6171546,4.4364915,5.205325,6.628006,8.082211,9.442129,10.782441,12.395857,13.752568,15.153727,16.40032,17.967419,19.63915,21.463438,23.478857,40.449547,27.880508,Text tokens
7,33.80982,28.54506,1.0290167,1.0588615,1.098643,1.1654232,1.2562822,1.3602766,1.4768648,1.6048927,1.7965702,2.011088,2.233573,2.4823213,2.8174262,3.3186677,4.014611,5.0189447,5.9185243,7.5937557,9.298646,10.955859,12.572596,14.50133,16.122234,17.654512,19.089033,20.757278,22.597044,24.46404,26.56767,42.52391,29.550774,Text tokens
8,34.978897,29.68542,1.0305641,1.0628045,1.1089582,1.1831199,1.2826788,1.4009966,1.5430014,1.6831174,1.8978275,2.1231399,2.3508184,2.6463082,3.0373554,3.632926,4.4273233,5.5745673,6.727578,8.693364,10.655785,12.512683,14.235855,16.284554,18.02255,19.591354,21.087357,22.925358,24.80889,26.586609,28.633274,42.81382,27.968761,Text tokens
9,31.870327,28.093658,1.033942,1.069031,1.1160101,1.2000339,1.309527,1.445835,1.6043203,1.7723583,2.0186453,2.2969215,2.5787668,2.9037833,3.3666217,4.008483,4.947026,6.2096143,7.39127,9.568889,11.608361,13.543604,15.356111,17.335428,19.088594,20.675512,22.0788,23.75607,25.460587,27.142889,28.986567,40.536472,27.51363,Text tokens
0,32.48549,11.124712,1.2895464,1.4192572,1.4561208,1.5996448,1.647725,1.6905198,1.7468253,1.8312663,1.919792,2.0160637,2.1193745,2.221561,2.3781512,2.5326278,2.8574097,3.2447412,3.5990994,4.074323,4.5813,4.9939666,5.4121,5.904579,6.230994,6.650614,7.015432,7.486576,8.116132,8.95594,9.765734,13.077214,13.162923,Text only tokens
1,34.494663,11.025494,1.3586084,1.4585274,1.499663,1.6449442,1.6876372,1.7252327,1.781272,1.8548054,1.9379041,2.023219,2.120386,2.2106678,2.3438163,2.4894056,2.7740378,3.1136494,3.4184217,3.8555934,4.292472,4.6501093,5.0111628,5.4381104,5.7221313,6.107301,6.4527807,6.9160275,7.5208197,8.25685,9.039795,11.566116,12.626525,Text only tokens
2,32.730522,10.909383,1.393205,1.4583933,1.4966489,1.5824127,1.6280462,1.6673801,1.7231251,1.7974402,1.8803918,1.9683626,2.0656536,2.158066,2.2932646,2.4442801,2.728232,3.0442958,3.3396928,3.7716513,4.186801,4.5400686,4.8934135,5.3109803,5.590116,5.9553375,6.2933207,6.716448,7.2496367,7.970722,8.670645,11.122716,11.753448,Text only tokens
3,32.728863,10.856999,1.364684,1.4170334,1.4533478,1.5280354,1.5686404,1.6036699,1.6538565,1.7203573,1.7958264,1.8762072,1.9660934,2.0536134,2.1785614,2.326735,2.6013455,2.9063253,3.1961043,3.6120002,4.0204635,4.3623233,4.703273,5.1175647,5.3893394,5.7546163,6.096782,6.519521,7.03662,7.7411103,8.442012,11.1918545,12.059308,Text only tokens
4,32.71554,10.954005,1.5186608,1.5434194,1.583186,1.6320051,1.677835,1.7171738,1.7730073,1.8466399,1.9307534,2.0184557,2.1182647,2.2119179,2.3426328,2.499124,2.79514,3.1193085,3.4334407,3.8884647,4.330364,4.6981773,5.0697975,5.5076895,5.805388,6.1910243,6.546683,6.9962044,7.5638566,8.305307,9.032628,11.464255,12.094913,Text only tokens
5,31.891901,10.9700775,1.4202782,1.5946999,1.6250805,1.6875936,1.7331508,1.7717288,1.8240381,1.8923168,1.9746311,2.059601,2.1538084,2.2444737,2.3609018,2.5048606,2.7770588,3.0547845,3.3351972,3.7436423,4.130005,4.4539747,4.793367,5.1996427,5.4607873,5.805119,6.1306257,6.5197115,7.020335,7.7244763,8.40899,10.686555,11.781937,Text only tokens
