,accuracy,auroc_macro,auprc_macro,f1_macro,precision_macro,recall_macro,auroc_micro,auprc_micro,f1_micro,precision_micro,recall_micro,embedding_level,layer
0,0.7073170731707317,0.8847282347282347,0.7835590695035858,0.7130102355407572,0.7216880341880342,0.7081128747795414,0.8974568709101725,0.8128767622901396,0.7073170731707317,0.7073170731707317,0.7073170731707317,sentence_img,0
1,0.7073170731707317,0.8849527016193682,0.7852818990152098,0.7130102355407572,0.7216880341880342,0.7081128747795414,0.89738251041047,0.812792419201284,0.7073170731707317,0.7073170731707317,0.7073170731707317,sentence_img,1
2,0.7195121951219512,0.8840628507295175,0.7877217361865565,0.7224735493520663,0.7243671611487703,0.7208994708994708,0.8962671029149316,0.809453118210199,0.7195121951219512,0.7195121951219512,0.7195121951219512,sentence_img,2
3,0.7195121951219512,0.8845037678371012,0.7823707992120269,0.7217747373324995,0.7229426597242689,0.720899470899471,0.8974568709101726,0.8056330099197303,0.7195121951219512,0.7195121951219512,0.7195121951219512,sentence_img,3
4,0.7317073170731707,0.8864878948212281,0.7828205328321994,0.7332451499118164,0.7332451499118164,0.7332451499118164,0.89738251041047,0.8050407434733075,0.7317073170731707,0.7317073170731707,0.7317073170731707,sentence_img,4
5,0.7317073170731707,0.8882675966009299,0.7878196720617096,0.7332451499118164,0.7332451499118164,0.7332451499118164,0.8979030339083878,0.807638907970634,0.7317073170731707,0.7317073170731707,0.7317073170731707,sentence_img,5
6,0.7195121951219512,0.8864919031585697,0.7849016582427653,0.7196408529741863,0.7182539682539683,0.7213403880070546,0.8967132659131469,0.8042335315927214,0.7195121951219512,0.7195121951219512,0.7195121951219512,sentence_img,6
7,0.7317073170731707,0.8825036075036076,0.7841070416429928,0.7358614140223336,0.7402469135802469,0.7328042328042329,0.8939619274241523,0.8026866395052935,0.7317073170731707,0.7317073170731707,0.7317073170731707,sentence_img,7
8,0.7073170731707317,0.8804793971460638,0.7813098757951558,0.7120214821364247,0.7167901234567902,0.7085537918871253,0.8924003569303985,0.8032555047433326,0.7073170731707317,0.7073170731707317,0.7073170731707317,sentence_img,8
9,0.7073170731707317,0.8758377425044093,0.7749993973427786,0.7120214821364247,0.7167901234567902,0.7085537918871253,0.8912849494348601,0.7999053977083461,0.7073170731707317,0.7073170731707317,0.7073170731707317,sentence_img,9
10,0.6951219512195121,0.8825036075036076,0.7858228546045606,0.6977331518874054,0.69910272783836,0.6966490299823632,0.895523497917906,0.8050491273308727,0.6951219512195121,0.6951219512195121,0.6951219512195121,sentence_img,10
11,0.6707317073170732,0.8811728395061729,0.7851468883912659,0.6730254022706852,0.6739926739926739,0.6723985890652556,0.8930696014277215,0.8020324748998856,0.6707317073170732,0.6707317073170732,0.6707317073170732,sentence_img,11
12,0.7073170731707317,0.879393137726471,0.7813695342469152,0.7087641917830597,0.7094672037200773,0.708994708994709,0.8912849494348603,0.799731058659313,0.7073170731707317,0.7073170731707317,0.7073170731707317,sentence_img,12
13,0.7439024390243902,0.8829324995991663,0.7849522938969088,0.7485547711003419,0.7545574855252274,0.7447089947089948,0.8930696014277215,0.802299586829361,0.7439024390243902,0.7439024390243902,0.7439024390243902,sentence_img,13
14,0.7317073170731707,0.8800064133397467,0.7823048894772572,0.735198438516591,0.7384615384615385,0.7328042328042329,0.8916567519333729,0.7959070338665036,0.7317073170731707,0.7317073170731707,0.7317073170731707,sentence_img,14
15,0.7560975609756098,0.8844356261022929,0.7826043587124166,0.7592713077423552,0.7623931623931623,0.7570546737213405,0.8955978584176085,0.8009850713391834,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,15
16,0.7560975609756098,0.8831048581048582,0.7840379936949914,0.7572245364698196,0.7573260073260073,0.7574955908289241,0.8926234384295063,0.7997383498412359,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,16
17,0.7317073170731707,0.8829164662497996,0.7863442374356894,0.7326007326007327,0.7334154351395731,0.7332451499118164,0.894036287923855,0.8056229344691989,0.7317073170731707,0.7317073170731707,0.7317073170731707,sentence_img,17
18,0.7317073170731707,0.886223344556678,0.787503971345363,0.7326007326007327,0.7334154351395731,0.7332451499118164,0.8963414634146342,0.8088338574731129,0.7317073170731707,0.7317073170731707,0.7317073170731707,sentence_img,18
19,0.7682926829268293,0.8926447009780344,0.8047823321946114,0.7680470472923303,0.7673150604185087,0.7698412698412698,0.9021415823914336,0.8198594595496469,0.7682926829268293,0.7682926829268293,0.7682926829268293,sentence_img,19
20,0.7439024390243902,0.8913259579926246,0.8002633845660964,0.7412708739969638,0.7406286186931347,0.746031746031746,0.9035544318857824,0.8241615684134349,0.7439024390243902,0.7439024390243902,0.7439024390243902,sentence_img,20
21,0.7439024390243902,0.9021885521885524,0.8292361924805852,0.745724450987609,0.7473727422003286,0.7451499118165786,0.9110648423557406,0.8398616049077641,0.7439024390243902,0.7439024390243902,0.7439024390243902,sentence_img,21
22,0.7560975609756098,0.9055194805194804,0.8371020253347181,0.7587516782919081,0.7617283950617284,0.7570546737213405,0.9149315883402735,0.8462555984971223,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,22
23,0.7439024390243902,0.9086219336219336,0.8464542146668618,0.7478290816954072,0.753019023986766,0.7447089947089948,0.9167906008328376,0.8521797951059319,0.7439024390243902,0.7439024390243902,0.7439024390243902,sentence_img,23
24,0.7560975609756098,0.913949013949014,0.8567129268920423,0.7587516782919081,0.7617283950617284,0.7570546737213405,0.9218471148126116,0.8595273008583639,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,24
25,0.7560975609756098,0.9225949975949976,0.871616235620431,0.7587516782919081,0.7617283950617284,0.7570546737213405,0.928837001784652,0.8719103736931744,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,25
26,0.7560975609756098,0.9261383678050344,0.874491409059975,0.7587516782919081,0.7617283950617284,0.7570546737213405,0.9323319452706724,0.8767134635543674,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,26
27,0.7560975609756098,0.9270282186948852,0.8791027104778802,0.7587516782919081,0.7617283950617284,0.7570546737213405,0.933372992266508,0.8788754913307449,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,27
28,0.7560975609756098,0.9243626743626744,0.8768127258667769,0.7603896904673819,0.7681623931623932,0.7566137566137566,0.9294318857822724,0.8725769879876556,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,28
29,0.7560975609756098,0.9234607984607984,0.8720335231914201,0.7603896904673819,0.7681623931623932,0.7566137566137566,0.9316627007733492,0.8760081801052,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,29
30,0.7439024390243902,0.9274691358024691,0.8817538777193429,0.7477321123050601,0.7536837913182,0.7447089947089948,0.9344883997620465,0.8807814348145959,0.7439024390243902,0.7439024390243902,0.7439024390243902,sentence_img,30
31,0.7560975609756098,0.9263347763347765,0.8815968059266805,0.758616591882312,0.7626984126984127,0.7570546737213405,0.93285246876859,0.8784035913605971,0.7560975609756098,0.7560975609756098,0.7560975609756098,sentence_img,31
32,0.7682926829268293,0.9223424723424724,0.8735503706861563,0.7702459311654714,0.7728395061728396,0.7689594356261024,0.9272010707911956,0.872296866901711,0.7682926829268293,0.7682926829268293,0.7682926829268293,sentence_img,32
0,0.4390243902439024,0.7814814814814816,0.7044142043784895,0.3790766306522609,0.6952380952380953,0.4329805996472662,0.7317816775728733,0.502597372454399,0.4390243902439024,0.4390243902439024,0.4390243902439024,sentence_text,0
1,0.8658536585365854,0.7835297418630752,0.7197685917476958,0.8659863945578231,0.8776655443322111,0.8668430335097002,0.874330755502677,0.8168837308244716,0.8658536585365854,0.8658536585365854,0.8658536585365854,sentence_text,1
2,0.8414634146341463,0.86333974667308,0.7541223869744692,0.84125,0.8651141259836912,0.8430335097001764,0.8942593694229625,0.8426353606793613,0.8414634146341463,0.8414634146341463,0.8414634146341463,sentence_text,2
3,0.902439024390244,0.9514269680936348,0.8643332062244254,0.9024655234144472,0.9111111111111112,0.902557319223986,0.9529298036882808,0.9260342979426308,0.902439024390244,0.902439024390244,0.902439024390244,sentence_text,3
4,0.9146341463414634,0.9518718935385602,0.8652792907884471,0.9145336100541912,0.9232480533926584,0.9144620811287476,0.957911957168352,0.9331629564084152,0.9146341463414634,0.9146341463414634,0.9146341463414634,sentence_text,4
5,0.9146341463414634,0.957022607022607,0.8740926577273166,0.9145336100541912,0.9232480533926584,0.9144620811287476,0.9627453896490183,0.9387877904285008,0.9146341463414634,0.9146341463414634,0.9146341463414634,sentence_text,5
6,0.9146341463414634,0.9637485970819304,0.8847768978091018,0.9145336100541912,0.9232480533926584,0.9144620811287476,0.9727096966091612,0.9487699788746864,0.9146341463414634,0.9146341463414634,0.9146341463414634,sentence_text,6
7,0.9146341463414634,0.9679733846400514,0.8944618998676912,0.9145336100541912,0.9232480533926584,0.9144620811287476,0.980666270077335,0.9621151302465728,0.9146341463414634,0.9146341463414634,0.9146341463414634,sentence_text,7
8,0.9390243902439024,0.9909611992945327,0.9723016077308166,0.9386639901862384,0.9494949494949496,0.9382716049382716,0.9944973230220108,0.9881747796071734,0.9390243902439024,0.9390243902439024,0.9390243902439024,sentence_text,8
9,0.951219512195122,0.9975749559082892,0.9944458842929672,0.9511111111111112,0.9583333333333334,0.9506172839506174,0.9972486615110052,0.994452589137334,0.951219512195122,0.951219512195122,0.951219512195122,sentence_text,9
10,0.975609756097561,1.0,1.0,0.975685234305924,0.977777777777778,0.9753086419753086,0.9994051160023796,0.998835930579738,0.975609756097561,0.975609756097561,0.975609756097561,sentence_text,10
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,11
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,12
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,13
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,14
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,15
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,16
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,17
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,18
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,19
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,20
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,21
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,22
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,23
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,24
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,25
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,26
