,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
0,0.5,0.39,0.4435760971055088,0.5454545454545454,0.5,0.6,token_all,0,3
1,0.5,0.41000000000000003,0.45454346307287485,0.5454545454545454,0.5,0.6,token_all,7,3
2,0.45,0.44999999999999996,0.4801206636500754,0.47619047619047616,0.45454545454545453,0.5,token_all,14,3
3,0.5,0.48,0.50466611819553,0.5454545454545454,0.5,0.6,token_all,21,3
4,0.55,0.58,0.5871047906342024,0.5714285714285714,0.5454545454545454,0.6,token_all,28,3
0,0.45,0.43,0.46130868615388737,0.42105263157894735,0.4444444444444444,0.4,token_img,0,3
1,0.5,0.44999999999999996,0.47630868615388733,0.5,0.5,0.5,token_img,7,3
2,0.45,0.47,0.4930421865715983,0.42105263157894735,0.4444444444444444,0.4,token_img,14,3
3,0.5,0.51,0.5183077981529994,0.4444444444444444,0.5,0.4,token_img,21,3
4,0.55,0.53,0.5282928131380143,0.47058823529411764,0.5714285714285714,0.4,token_img,28,3
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,3
1,0.6,0.53,0.5621303258145364,0.6,0.6,0.6,token_text,7,3
2,0.55,0.5800000000000001,0.6321303258145363,0.5714285714285714,0.5454545454545454,0.6,token_text,14,3
3,0.55,0.5800000000000001,0.6443098129940235,0.5714285714285714,0.5454545454545454,0.6,token_text,21,3
4,0.6,0.6500000000000001,0.7041437728937728,0.6,0.6,0.6,token_text,28,3
0,0.65,0.74,0.7867890881048776,0.5882352941176471,0.7142857142857143,0.5,sentence_all,0,4
1,0.7,0.66,0.628095238095238,0.7272727272727273,0.6666666666666666,0.8,sentence_all,7,4
2,0.6,0.6699999999999999,0.6532700632700633,0.6,0.6,0.6,sentence_all,14,4
3,0.9,0.88,0.9190204678362573,0.9,0.9,0.9,sentence_all,21,4
4,0.85,0.9700000000000001,0.9733333333333333,0.8235294117647058,1.0,0.7,sentence_all,28,4
0,0.75,0.88,0.88007215007215,0.7058823529411765,0.8571428571428571,0.6,sentence_img,0,4
1,0.7,0.8600000000000001,0.8400324675324674,0.625,0.8333333333333334,0.5,sentence_img,7,4
2,0.75,0.8400000000000001,0.8046031746031745,0.7058823529411765,0.8571428571428571,0.6,sentence_img,14,4
3,0.9,0.98,0.9809090909090908,0.8888888888888888,1.0,0.8,sentence_img,21,4
4,0.8,1.0,0.9999999999999999,0.75,1.0,0.6,sentence_img,28,4
0,0.45,0.38,0.46575054847113667,0.35294117647058826,0.42857142857142855,0.3,sentence_text,0,4
1,0.5,0.48,0.549745483274895,0.5,0.5,0.5,sentence_text,7,4
2,0.5,0.53,0.5751605339105339,0.5,0.5,0.5,sentence_text,14,4
3,0.6,0.69,0.7628030303030302,0.6,0.6,0.6,sentence_text,21,4
4,0.8,0.8900000000000001,0.9280542986425339,0.75,1.0,0.6,sentence_text,28,4
0,0.5,0.42999999999999994,0.483229869545659,0.5,0.5,0.5,token_all,0,4
1,0.5,0.42000000000000004,0.46656320287899233,0.5,0.5,0.5,token_all,7,4
2,0.5,0.42000000000000004,0.4783092346250241,0.5,0.5,0.5,token_all,14,4
3,0.55,0.43,0.46011479018057966,0.5263157894736842,0.5555555555555556,0.5,token_all,21,4
4,0.45,0.52,0.5041239316239315,0.42105263157894735,0.4444444444444444,0.4,token_all,28,4
0,0.5,0.6000000000000001,0.5580749724132078,0.375,0.5,0.3,token_img,0,4
1,0.5,0.6000000000000001,0.5580749724132078,0.375,0.5,0.3,token_img,7,4
2,0.5,0.6000000000000001,0.5580749724132078,0.375,0.5,0.3,token_img,14,4
3,0.5,0.59,0.5554956073338426,0.375,0.5,0.3,token_img,21,4
4,0.5,0.6100000000000001,0.6126443001443002,0.375,0.5,0.3,token_img,28,4
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,4
1,0.4,0.51,0.5178984414278531,0.25,0.3333333333333333,0.2,token_text,7,4
2,0.45,0.49,0.49742225095166265,0.35294117647058826,0.42857142857142855,0.3,token_text,14,4
3,0.5,0.51,0.510697864227276,0.5,0.5,0.5,token_text,21,4
4,0.55,0.48,0.498677107206519,0.5714285714285714,0.5454545454545454,0.6,token_text,28,4
