,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,chain
0,0.6020066889632107,0.6458352678985978,0.5498183433021961,0.032520325203252036,1.0,0.01652892561983471,sentence_text,0,VH-VL
1,0.6622073578595318,0.7218868975763766,0.6055646430335155,0.5976095617529881,0.5769230769230769,0.6198347107438017,sentence_text,1,VH-VL
2,0.6555183946488294,0.7246726715572477,0.6113935970882534,0.5896414342629482,0.5692307692307692,0.6115702479338843,sentence_text,2,VH-VL
3,0.6622073578595318,0.7308478038815118,0.6306627053141607,0.5943775100401606,0.578125,0.6115702479338843,sentence_text,3,VH-VL
4,0.6622073578595318,0.7510446652428266,0.6701396880733278,0.5877551020408164,0.5806451612903226,0.5950413223140496,sentence_text,4,VH-VL
5,0.6454849498327759,0.748119602562912,0.6781069276123829,0.5725806451612904,0.5590551181102362,0.5867768595041323,sentence_text,5,VH-VL
6,0.6688963210702341,0.7367443588076887,0.6565123686240025,0.611764705882353,0.582089552238806,0.6446280991735537,sentence_text,6,VH-VL
7,0.6655518394648829,0.7369300770730801,0.6597038202455967,0.609375,0.5777777777777777,0.6446280991735537,sentence_text,7,VH-VL
8,0.6755852842809364,0.7377658092673415,0.6506794983053481,0.616600790513834,0.5909090909090909,0.6446280991735537,sentence_text,8,VH-VL
9,0.68561872909699,0.7386479710279507,0.6363574182263657,0.6209677419354839,0.6062992125984252,0.6363636363636364,sentence_text,9,VH-VL
10,0.6588628762541806,0.7340514439595134,0.635123743128464,0.5952380952380952,0.5725190839694656,0.6198347107438017,sentence_text,10,VH-VL
11,0.6755852842809364,0.7321014021729036,0.6275868848021994,0.616600790513834,0.5909090909090909,0.6446280991735537,sentence_text,11,VH-VL
12,0.6588628762541806,0.7292691986256848,0.6368741575403052,0.5952380952380952,0.5725190839694656,0.6198347107438017,sentence_text,12,VH-VL
13,0.6488294314381271,0.7325192682700343,0.6352151958685393,0.5783132530120482,0.5625,0.5950413223140496,sentence_text,13,VH-VL
14,0.6622073578595318,0.7347478874547312,0.6313258174971118,0.6070038910505836,0.5735294117647058,0.6446280991735537,sentence_text,14,VH-VL
15,0.6622073578595318,0.7385551118952548,0.6234077099776378,0.6039215686274509,0.5746268656716418,0.6363636363636364,sentence_text,15,VH-VL
16,0.6722408026755853,0.7229547776023773,0.5945866643107328,0.6259541984732825,0.5815602836879432,0.6776859504132231,sentence_text,16,VH-VL
17,0.6655518394648829,0.7298263534218591,0.6049441361823578,0.6,0.5813953488372093,0.6198347107438017,sentence_text,17,VH-VL
18,0.6622073578595318,0.7234655028322035,0.5961476067720596,0.6039215686274509,0.5746268656716418,0.6363636363636364,sentence_text,18,VH-VL
19,0.6688963210702341,0.7252762559197696,0.6094665537446611,0.611764705882353,0.582089552238806,0.6446280991735537,sentence_text,19,VH-VL
20,0.6722408026755853,0.7159439130838517,0.6217601778490054,0.608,0.5891472868217055,0.628099173553719,sentence_text,20,VH-VL
21,0.6521739130434783,0.7292691986256848,0.621934767347335,0.5737704918032787,0.5691056910569106,0.5785123966942148,sentence_text,21,VH-VL
22,0.6521739130434783,0.7158046243848082,0.6171427101581133,0.5702479338842975,0.5702479338842975,0.5702479338842975,sentence_text,22,VH-VL
23,0.6454849498327759,0.7231404958677685,0.6137279778333605,0.5725806451612904,0.5590551181102362,0.5867768595041323,sentence_text,23,VH-VL
24,0.6387959866220736,0.7216083201782896,0.6259489775233482,0.5537190082644629,0.5537190082644629,0.5537190082644629,sentence_text,24,VH-VL
25,0.6421404682274248,0.7277370229362057,0.6510760979901985,0.5668016194331984,0.5555555555555556,0.5785123966942148,sentence_text,25,VH-VL
26,0.68561872909699,0.7422230476367351,0.6593961868600028,0.6115702479338843,0.6115702479338843,0.6115702479338843,sentence_text,26,VH-VL
27,0.6755852842809364,0.753412573126567,0.6782072785022565,0.5941422594142259,0.6016949152542372,0.5867768595041323,sentence_text,27,VH-VL
28,0.6956521739130435,0.7612591698393537,0.6811976810263274,0.6026200873362445,0.6388888888888888,0.5702479338842975,sentence_text,28,VH-VL
29,0.6622073578595318,0.7345621691893398,0.6425975513189943,0.5589519650655022,0.5925925925925926,0.5289256198347108,sentence_text,29,VH-VL
30,0.6755852842809364,0.7275513046708144,0.630295983708677,0.5872340425531914,0.6052631578947368,0.5702479338842975,sentence_text,30,VH-VL
31,0.6755852842809364,0.710047358157675,0.623716065024996,0.6008230452674898,0.5983606557377049,0.6033057851239669,sentence_text,31,VH-VL
32,0.6655518394648829,0.7206332992849847,0.609751338213725,0.5833333333333334,0.5882352941176471,0.5785123966942148,sentence_text,32,VH-VL
33,0.5886287625418061,0.6603212925991271,0.5166467922035829,0.4484304932735426,0.49019607843137253,0.4132231404958678,sentence_text,33,VH-VL
