,variable,value,entropy
0,0,0.005243583903973712,img_img_entropy
1,0,0.004152786339730289,img_img_entropy
2,0,0.005189811528197747,img_img_entropy
3,0,0.011096423387043855,img_img_entropy
4,0,0.004519187954527267,img_img_entropy
5,0,0.004240022908358413,img_img_entropy
6,0,0.004185943226826636,img_img_entropy
7,0,0.004276428760255081,img_img_entropy
8,0,0.004630860841197362,img_img_entropy
9,0,0.004791145229855065,img_img_entropy
10,0,0.009163551141381076,img_img_entropy
11,0,0.004582892473163142,img_img_entropy
12,0,0.0043713693819169615,img_img_entropy
13,0,0.004650996884060057,img_img_entropy
14,0,0.0073436023613760466,img_img_entropy
15,0,0.003887505163005152,img_img_entropy
16,0,0.005039170129033369,img_img_entropy
17,0,0.004148972650576135,img_img_entropy
18,0,0.004834004528183019,img_img_entropy
19,0,0.005351034943067528,img_img_entropy
20,0,0.008545155360814414,img_img_entropy
21,0,0.0038797749945705196,img_img_entropy
22,0,0.006323465181918278,img_img_entropy
23,0,0.0046047461705974735,img_img_entropy
24,0,0.004400312102422351,img_img_entropy
25,0,0.003721976010541883,img_img_entropy
26,0,0.004656332969534484,img_img_entropy
27,0,0.0040323661209900755,img_img_entropy
28,1,0.005607644018014072,img_img_entropy
29,1,0.00835539496298888,img_img_entropy
30,1,0.006393736940941633,img_img_entropy
31,1,0.004378081287962223,img_img_entropy
32,1,0.006970100597865246,img_img_entropy
33,1,0.009279698653037275,img_img_entropy
34,1,0.007490117002355929,img_img_entropy
35,1,0.012304659021292087,img_img_entropy
36,1,0.014798645421432667,img_img_entropy
37,1,0.009209231292496685,img_img_entropy
38,1,0.009069264862263468,img_img_entropy
39,1,0.014981440063458517,img_img_entropy
40,1,0.012428038814491872,img_img_entropy
41,1,0.011349868088946839,img_img_entropy
42,1,0.004938809150626049,img_img_entropy
43,1,0.007782303469203937,img_img_entropy
44,1,0.007424271738654081,img_img_entropy
45,1,0.004362508355665008,img_img_entropy
46,1,0.005721498901109509,img_img_entropy
47,1,0.005845536714665846,img_img_entropy
48,1,0.0074316054107774945,img_img_entropy
49,1,0.00665311369532296,img_img_entropy
50,1,0.007558834999285768,img_img_entropy
51,1,0.006768642201120477,img_img_entropy
52,1,0.011556167484873004,img_img_entropy
53,1,0.008481458238790228,img_img_entropy
54,1,0.008619713424152667,img_img_entropy
55,1,0.008687899048913858,img_img_entropy
56,2,0.01551866085140701,img_img_entropy
57,2,0.014097158446771384,img_img_entropy
58,2,0.014220633041625269,img_img_entropy
59,2,0.018581033245531807,img_img_entropy
60,2,0.010677694172792872,img_img_entropy
61,2,0.015479245793564304,img_img_entropy
62,2,0.008740337350880416,img_img_entropy
63,2,0.01231904335798108,img_img_entropy
64,2,0.012857652132094435,img_img_entropy
65,2,0.007900834862619319,img_img_entropy
66,2,0.010818828633779622,img_img_entropy
67,2,0.011393488920156793,img_img_entropy
68,2,0.010319208032821834,img_img_entropy
69,2,0.010363291204958061,img_img_entropy
70,2,0.007248203122249505,img_img_entropy
71,2,0.010081133803288619,img_img_entropy
72,2,0.007147971849776553,img_img_entropy
73,2,0.006298676130503197,img_img_entropy
74,2,0.006847296110358751,img_img_entropy
75,2,0.008531834446949783,img_img_entropy
76,2,0.007401433125405364,img_img_entropy
77,2,0.007946455047138316,img_img_entropy
78,2,0.012065881742750476,img_img_entropy
79,2,0.009736413939056205,img_img_entropy
80,2,0.008540620055271472,img_img_entropy
81,2,0.011410008233828196,img_img_entropy
82,2,0.01657609239931,img_img_entropy
83,2,0.009096457588685049,img_img_entropy
84,3,0.018287767496284208,img_img_entropy
85,3,0.018677932953535842,img_img_entropy
86,3,0.013264999976069305,img_img_entropy
87,3,0.009824243180860002,img_img_entropy
88,3,0.014261343745557964,img_img_entropy
89,3,0.016321927986512316,img_img_entropy
90,3,0.012082061149496406,img_img_entropy
91,3,0.00864802504539748,img_img_entropy
92,3,0.01697125916957278,img_img_entropy
93,3,0.014373328105084918,img_img_entropy
94,3,0.005747576746781816,img_img_entropy
95,3,0.01806814635514589,img_img_entropy
96,3,0.011781051105700859,img_img_entropy
97,3,0.014357486798951106,img_img_entropy
98,3,0.00722324941125907,img_img_entropy
99,3,0.014157629216285019,img_img_entropy
100,3,0.007122419643004292,img_img_entropy
101,3,0.014285036910152918,img_img_entropy
102,3,0.008506709553197352,img_img_entropy
103,3,0.014691586719414434,img_img_entropy
104,3,0.015346090114321882,img_img_entropy
105,3,0.010982250456806945,img_img_entropy
106,3,0.015266215371285882,img_img_entropy
107,3,0.013917997860708034,img_img_entropy
108,3,0.013921154286538959,img_img_entropy
109,3,0.015117609613901498,img_img_entropy
110,3,0.0146735434673753,img_img_entropy
111,3,0.014583615602104538,img_img_entropy
112,4,0.005515862901488183,img_img_entropy
113,4,0.01149056860995011,img_img_entropy
114,4,0.012305105891001228,img_img_entropy
115,4,0.013301483856904382,img_img_entropy
116,4,0.009528175037764416,img_img_entropy
117,4,0.008913910144383436,img_img_entropy
118,4,0.007274741512096691,img_img_entropy
119,4,0.008818234622989498,img_img_entropy
120,4,0.0175132692742505,img_img_entropy
121,4,0.01432828336403756,img_img_entropy
122,4,0.01270948090736888,img_img_entropy
123,4,0.017799422324462598,img_img_entropy
124,4,0.022200364747427242,img_img_entropy
125,4,0.01120343076997706,img_img_entropy
126,4,0.015950987922090574,img_img_entropy
127,4,0.014975415392339105,img_img_entropy
128,4,0.009348486483011554,img_img_entropy
129,4,0.011475989329929274,img_img_entropy
130,4,0.012221594970029757,img_img_entropy
131,4,0.012947089125875947,img_img_entropy
132,4,0.01388032869792696,img_img_entropy
133,4,0.015697956901623608,img_img_entropy
134,4,0.013822522678878532,img_img_entropy
135,4,0.01570174448494036,img_img_entropy
136,4,0.013383927060208961,img_img_entropy
137,4,0.01342878347337957,img_img_entropy
138,4,0.007830516506006534,img_img_entropy
139,4,0.016130095050116137,img_img_entropy
140,5,0.011814652647204453,img_img_entropy
141,5,0.015105803684170025,img_img_entropy
142,5,0.016095845778102188,img_img_entropy
143,5,0.013692092664448466,img_img_entropy
144,5,0.012946176043131722,img_img_entropy
145,5,0.013255048721021302,img_img_entropy
146,5,0.010654656463846104,img_img_entropy
147,5,0.011410780064936087,img_img_entropy
148,5,0.006583517681294744,img_img_entropy
149,5,0.005988452352184001,img_img_entropy
150,5,0.009352494890392894,img_img_entropy
151,5,0.011240859008190383,img_img_entropy
152,5,0.00793342785472462,img_img_entropy
153,5,0.012138116188992716,img_img_entropy
154,5,0.011695363500313602,img_img_entropy
155,5,0.012017330923962838,img_img_entropy
156,5,0.013731528807748195,img_img_entropy
157,5,0.010833548973212908,img_img_entropy
158,5,0.017397994224179567,img_img_entropy
159,5,0.018068282892843027,img_img_entropy
160,5,0.012158677297472628,img_img_entropy
161,5,0.01261183529564172,img_img_entropy
162,5,0.01580877546896522,img_img_entropy
163,5,0.014087951635137328,img_img_entropy
164,5,0.011740761825587106,img_img_entropy
165,5,0.01700538627251576,img_img_entropy
166,5,0.014935163840078891,img_img_entropy
167,5,0.014837001741537209,img_img_entropy
168,6,0.014176650658610698,img_img_entropy
169,6,0.016742096721257087,img_img_entropy
170,6,0.011077086348528296,img_img_entropy
171,6,0.0185195710582867,img_img_entropy
172,6,0.012818202761626981,img_img_entropy
173,6,0.012347984677157562,img_img_entropy
174,6,0.0176717495430875,img_img_entropy
175,6,0.01353888866623527,img_img_entropy
176,6,0.010423704739705166,img_img_entropy
177,6,0.011435891641151025,img_img_entropy
178,6,0.013719493931759072,img_img_entropy
179,6,0.006483149707309655,img_img_entropy
180,6,0.006829808727318519,img_img_entropy
181,6,0.006399956105222771,img_img_entropy
182,6,0.010114123195818297,img_img_entropy
183,6,0.008991281220523244,img_img_entropy
184,6,0.01732434683169971,img_img_entropy
185,6,0.01348682864298434,img_img_entropy
186,6,0.008975856341402522,img_img_entropy
187,6,0.009151205964524454,img_img_entropy
188,6,0.008206115977567601,img_img_entropy
189,6,0.015897628424664505,img_img_entropy
190,6,0.014144768149893032,img_img_entropy
191,6,0.016344208977697373,img_img_entropy
192,6,0.014911464563740102,img_img_entropy
193,6,0.015563841374318193,img_img_entropy
194,6,0.015392538781745083,img_img_entropy
195,6,0.01688477090078867,img_img_entropy
196,7,0.016392791451081763,img_img_entropy
197,7,0.015760108357134553,img_img_entropy
198,7,0.01950286697463374,img_img_entropy
199,7,0.015236453321630499,img_img_entropy
200,7,0.01679654089035391,img_img_entropy
201,7,0.013802698617851324,img_img_entropy
202,7,0.016955163214895007,img_img_entropy
203,7,0.018546745866441137,img_img_entropy
204,7,0.014211240241162826,img_img_entropy
205,7,0.01254557731863997,img_img_entropy
206,7,0.011189238264147808,img_img_entropy
207,7,0.015431181770354477,img_img_entropy
208,7,0.013569989727490236,img_img_entropy
209,7,0.010443781237993909,img_img_entropy
210,7,0.010912552326480222,img_img_entropy
211,7,0.00890960142796522,img_img_entropy
212,7,0.012391450543112527,img_img_entropy
213,7,0.010046550471334266,img_img_entropy
214,7,0.014332751112495367,img_img_entropy
215,7,0.010471373041929697,img_img_entropy
216,7,0.01883613856851364,img_img_entropy
217,7,0.0099355499281284,img_img_entropy
218,7,0.01096775291891233,img_img_entropy
219,7,0.010064141395671685,img_img_entropy
220,7,0.01114459137624507,img_img_entropy
221,7,0.009732689840448746,img_img_entropy
222,7,0.009400622211865878,img_img_entropy
223,7,0.014192314403822997,img_img_entropy
224,8,0.01237672683298748,img_img_entropy
225,8,0.014550207102781485,img_img_entropy
226,8,0.0088467363905492,img_img_entropy
227,8,0.00855669060689863,img_img_entropy
228,8,0.007247794031195511,img_img_entropy
229,8,0.008867270689470859,img_img_entropy
230,8,0.02027193343573368,img_img_entropy
231,8,0.016673301256572723,img_img_entropy
232,8,0.014793988331471355,img_img_entropy
233,8,0.014450260634128987,img_img_entropy
234,8,0.0138036710628679,img_img_entropy
235,8,0.019781820451961845,img_img_entropy
236,8,0.01609087774406254,img_img_entropy
237,8,0.01556198684992536,img_img_entropy
238,8,0.016320958296557175,img_img_entropy
239,8,0.014127280996881753,img_img_entropy
240,8,0.011792766484828587,img_img_entropy
241,8,0.012117189469829459,img_img_entropy
242,8,0.014380161059818104,img_img_entropy
243,8,0.013637574343603727,img_img_entropy
244,8,0.017063887190161615,img_img_entropy
245,8,0.019329170479062633,img_img_entropy
246,8,0.018124135263630655,img_img_entropy
247,8,0.008065723899264675,img_img_entropy
248,8,0.017514895274909504,img_img_entropy
249,8,0.01534481760563469,img_img_entropy
250,8,0.015281907017624878,img_img_entropy
251,8,0.01645569877766472,img_img_entropy
252,9,0.01367743089550375,img_img_entropy
253,9,0.010747211161892731,img_img_entropy
254,9,0.016202453488096687,img_img_entropy
255,9,0.007799780993897327,img_img_entropy
256,9,0.012606215319199362,img_img_entropy
257,9,0.01991064983358642,img_img_entropy
258,9,0.013456774670476818,img_img_entropy
259,9,0.013073976826647259,img_img_entropy
260,9,0.01661430433066734,img_img_entropy
261,9,0.013699055574082046,img_img_entropy
262,9,0.009581836478368804,img_img_entropy
263,9,0.016607077359620956,img_img_entropy
264,9,0.014741151722443184,img_img_entropy
265,9,0.02019408016132473,img_img_entropy
266,9,0.01622825603857007,img_img_entropy
267,9,0.009137629888101437,img_img_entropy
268,9,0.0221224406102332,img_img_entropy
269,9,0.012077014852989081,img_img_entropy
