,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,contains,label,sample,Mean over
0,2.9990928,3.3959448,4.345624,6.295059,9.623235,17.77871,29.538078,45.585625,61.637657,75.99297,92.295135,106.31294,119.278625,128.28174,133.7924,146.4337,147.11348,144.5585,148.03029,146.47623,145.27245,146.90598,151.65025,148.14272,150.21396,147.06964,150.47375,149.89484,150.24446,140.08139,129.32906,107.92737,48.09063,both img and text,1,0,All tokens
1,3.1566248,3.625196,4.5888224,6.509704,9.801468,17.577118,28.680223,43.842163,58.38185,71.38606,86.45902,99.882866,112.09417,121.31042,128.378,140.60027,142.25763,140.58968,144.03647,143.17859,142.4559,143.95279,148.26738,144.77512,147.09573,144.47932,148.30003,147.4527,148.2227,139.0126,128.43213,107.491165,49.485962,both img and text,1,1,All tokens
2,2.7245212,3.0167813,3.8263383,5.2774663,7.7434077,13.798691,22.809326,35.82231,49.71882,62.42536,77.70141,91.80551,104.945984,114.42299,121.67116,134.02713,135.86363,134.23755,138.01053,137.23839,136.80515,138.65506,142.90324,140.10416,142.08063,138.76604,142.5254,142.11986,142.6629,133.77716,123.20427,102.6181,46.165382,both img and text,1,2,All tokens
3,2.8810134,3.2350361,4.1303244,5.875398,8.880711,16.247198,26.931042,41.689186,56.875675,70.6378,86.7282,100.50769,113.22308,122.24251,128.4121,140.67383,141.36874,139.23059,142.72762,141.51308,140.27388,141.66992,145.86566,142.20325,144.43806,141.59604,144.43352,143.9573,143.64325,134.14964,123.27319,102.1888,44.423054,both img and text,1,3,All tokens
4,2.8093624,3.1319468,3.9173093,5.816573,9.183964,17.531511,29.78856,46.3482,63.2307,78.2094,94.71657,108.14929,121.21732,129.6133,133.5444,145.84291,145.37169,142.26115,145.65285,144.18297,143.09737,144.7181,148.70772,145.8217,147.92397,144.79665,147.84117,147.55637,147.87291,137.81876,126.49301,104.86499,46.154144,both img and text,1,4,All tokens
5,3.0263906,3.4396067,4.436126,6.660366,10.475055,19.972,33.394505,51.131382,68.08364,82.827324,99.072784,111.798775,124.649734,132.67194,136.5433,149.1357,149.21408,146.18791,149.58566,147.83377,146.80858,148.88928,153.56953,150.18272,152.43846,149.39299,152.87791,152.37155,152.87035,142.78493,131.10738,108.75985,48.57095,both img and text,1,5,All tokens
6,2.775318,3.0882816,3.8560927,5.641716,8.741203,16.514606,27.923988,43.781696,60.022694,74.571365,90.40268,104.03935,116.49882,124.67445,128.75595,140.47952,140.38074,137.27531,140.28372,138.3508,136.83405,138.50523,142.59299,139.58763,141.3186,138.16791,140.85063,140.73276,141.13812,132.12608,121.621796,101.216225,45.082726,both img and text,1,6,All tokens
7,2.7013552,3.01735,3.8269963,5.620428,8.77631,16.665752,28.313972,44.493874,60.81983,75.19617,91.170074,104.155106,116.8165,125.037636,128.84636,140.94173,140.39629,137.05836,139.7478,137.93126,136.4307,137.71432,141.84836,137.6899,139.50691,136.04008,138.95242,138.44035,138.79979,129.43085,119.34389,99.74683,43.8411,both img and text,1,7,All tokens
8,2.604904,2.8620033,3.5615804,4.9257045,7.261661,13.030318,21.755936,34.69715,48.701893,61.803646,77.36305,92.0014,105.384056,114.802216,122.06433,134.08325,135.50693,133.61147,136.99538,136.15344,135.52328,137.39679,141.73634,139.66333,141.84721,138.60289,142.0424,141.95067,142.51598,133.91055,123.48347,103.25162,46.28749,both img and text,1,8,All tokens
9,2.7679863,3.0762272,3.8509767,5.5965962,8.610516,16.157497,27.309086,42.95167,59.030815,73.59674,90.04237,104.16702,117.141754,125.7353,131.04169,143.23923,143.14206,140.4422,143.40536,141.87854,140.4035,141.9257,145.81322,142.31279,144.28491,140.60062,143.87201,143.40747,143.91159,134.44022,123.81205,103.019394,46.306156,both img and text,1,9,All tokens
