,0,Mean over,prompt,layers
0,17.635899,All,With Image,0
1,17.696571,All,With Image,1
2,8.821166,All,With Image,2
3,8.872627,All,With Image,3
4,8.8790455,All,With Image,4
5,8.874877,All,With Image,5
6,9.025913,All,With Image,6
7,9.346909,All,With Image,7
8,9.53688,All,With Image,8
9,9.893233,All,With Image,9
10,10.707677,All,With Image,10
11,13.255664,All,With Image,11
12,15.011199,All,With Image,12
13,16.880829,All,With Image,13
14,21.84215,All,With Image,14
15,25.489138,All,With Image,15
16,27.175106,All,With Image,16
17,32.705593,All,With Image,17
18,34.732906,All,With Image,18
19,38.261,All,With Image,19
20,42.07757,All,With Image,20
21,45.23066,All,With Image,21
22,47.629005,All,With Image,22
23,50.493725,All,With Image,23
24,52.128643,All,With Image,24
25,54.214325,All,With Image,25
26,57.008068,All,With Image,26
27,57.923244,All,With Image,27
28,60.67135,All,With Image,28
29,64.032394,All,With Image,29
30,65.08574,All,With Image,30
31,72.484436,All,With Image,31
32,63.607292,All,With Image,32
0,17.624435,Image,With Image,0
1,17.66448,Image,With Image,1
2,18.104631,Image,With Image,2
3,18.635462,Image,With Image,3
4,18.887877,Image,With Image,4
5,19.407167,Image,With Image,5
6,20.080534,Image,With Image,6
7,21.110199,Image,With Image,7
8,22.299536,Image,With Image,8
9,24.028612,Image,With Image,9
10,26.250391,Image,With Image,10
11,30.803638,Image,With Image,11
12,35.267387,Image,With Image,12
13,38.304974,Image,With Image,13
14,44.55604,Image,With Image,14
15,50.18342,Image,With Image,15
16,51.87764,Image,With Image,16
17,55.937706,Image,With Image,17
18,56.112896,Image,With Image,18
19,56.534584,Image,With Image,19
20,55.718765,Image,With Image,20
21,55.710773,Image,With Image,21
22,56.01604,Image,With Image,22
23,54.923004,Image,With Image,23
24,54.63307,Image,With Image,24
25,54.705593,Image,With Image,25
26,56.43788,Image,With Image,26
27,55.81716,Image,With Image,27
28,57.26788,Image,With Image,28
29,58.656464,Image,With Image,29
30,57.77131,Image,With Image,30
31,59.41077,Image,With Image,31
32,53.543743,Image,With Image,32
0,11.112942,Text,With Image,0
1,20.26035,Text,With Image,1
2,34.23473,Text,With Image,2
3,38.918785,Text,With Image,3
4,46.19083,Text,With Image,4
5,53.53435,Text,With Image,5
6,60.53178,Text,With Image,6
7,69.78489,Text,With Image,7
8,82.90707,Text,With Image,8
9,101.71087,Text,With Image,9
10,107.32251,Text,With Image,10
11,93.97715,Text,With Image,11
12,115.332466,Text,With Image,12
13,123.233475,Text,With Image,13
14,106.04384,Text,With Image,14
15,127.80691,Text,With Image,15
16,126.27215,Text,With Image,16
17,121.34357,Text,With Image,17
18,130.88457,Text,With Image,18
19,128.38057,Text,With Image,19
20,125.66794,Text,With Image,20
21,125.27825,Text,With Image,21
22,127.73374,Text,With Image,22
23,128.39404,Text,With Image,23
24,129.30574,Text,With Image,24
25,128.56877,Text,With Image,25
26,132.94133,Text,With Image,26
27,126.58865,Text,With Image,27
28,127.81026,Text,With Image,28
29,128.95885,Text,With Image,29
30,123.44803,Text,With Image,30
31,118.27479,Text,With Image,31
32,106.85604,Text,With Image,32
0,11.112786,Text only,Without Image,0
1,13.293339,Text only,Without Image,1
2,15.135092,Text only,Without Image,2
3,24.327066,Text only,Without Image,3
4,43.48101,Text only,Without Image,4
5,52.90247,Text only,Without Image,5
6,62.10237,Text only,Without Image,6
7,69.360954,Text only,Without Image,7
8,84.45724,Text only,Without Image,8
9,103.381775,Text only,Without Image,9
10,105.362495,Text only,Without Image,10
11,89.162315,Text only,Without Image,11
12,110.85081,Text only,Without Image,12
13,113.56428,Text only,Without Image,13
14,98.63836,Text only,Without Image,14
15,111.640274,Text only,Without Image,15
16,109.67345,Text only,Without Image,16
17,107.00488,Text only,Without Image,17
18,112.58658,Text only,Without Image,18
19,110.455444,Text only,Without Image,19
20,107.94434,Text only,Without Image,20
21,105.167755,Text only,Without Image,21
22,106.962135,Text only,Without Image,22
23,104.99418,Text only,Without Image,23
24,107.4681,Text only,Without Image,24
25,107.80413,Text only,Without Image,25
26,113.607216,Text only,Without Image,26
27,105.14688,Text only,Without Image,27
28,105.73333,Text only,Without Image,28
29,106.73113,Text only,Without Image,29
30,100.33114,Text only,Without Image,30
31,86.16368,Text only,Without Image,31
32,92.63292,Text only,Without Image,32
