,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,contains,label,sample,Token type
0,0.000613092590707176,0.0006205533738193092,0.0007153654201979019,0.0007217185686939768,0.0007306414279568911,0.0007458642206025214,0.0007624179311809088,0.000784802647865475,0.0008075416717535853,0.0008315716111704347,0.0008653481740897854,0.0009189601142504396,0.0009608535556835469,0.001003419272674532,0.001087837282380491,0.001146741403443618,0.0012421855182308819,0.0013740814473544333,0.001465700272025793,0.0015951696159924565,0.0017022686305095502,0.0017894570446061744,0.001861978680160549,0.0019207144464114642,0.001978114986882229,0.001979338578391504,0.002044195936744704,0.0020125371688737444,0.0020605965720936576,0.002073355574644723,0.002022200084175346,0.0020854765860696175,0.001999150322577453,both img and text,1,0,All tokens
1,0.0006341395433267619,0.0006420671648260291,0.0007259304444644708,0.000732428594760913,0.0007414761791767106,0.0007574427508036458,0.0007739581347053574,0.0007975137472932665,0.000820217061271556,0.0008448538101858745,0.0008797325369391042,0.0009359557452142085,0.000979856147830709,0.0010257981581687956,0.001113203287491246,0.001175065709868232,0.0012734060271376796,0.0014066207640944285,0.0014995289249091568,0.0016277857425073972,0.0017322749247127532,0.0018165281861139428,0.0018867167972359275,0.0019379552196777134,0.0019929756303753983,0.0019906492859139086,0.0020564191181885304,0.002014849381256523,0.0020608530416967486,0.0020699635651302392,0.0020178065513980123,0.00207420834430199,0.0020078671623806055,both img and text,0,1,All tokens
0,0.001850710472170348,0.0018526723246278154,0.0021634088140143216,0.0021632207672130574,0.0021610568660932993,0.0021668409529123937,0.002162213489439839,0.002174822502636892,0.0021943667838593348,0.002223960178550753,0.002268064581320872,0.002369165701623244,0.002433351511613233,0.002483555660395661,0.0025912095043077593,0.00265185832481815,0.0027594977622685045,0.0029268723300354036,0.0030534083264017967,0.003211570171743163,0.0034027186847660016,0.003544448927026924,0.003645280757117758,0.003723503569878787,0.0038039085400222053,0.003705565464512824,0.0037984349375761806,0.0037347426599040304,0.003743993017128187,0.0036715752055277657,0.003485043371330405,0.003486527510905827,0.0034086407294943687,both img and text,1,0,Img tokens
1,0.0019140903702244833,0.001916409031649471,0.002214630215021893,0.0022127927674112746,0.002208722101060125,0.0022141762290763087,0.0022038112932526964,0.002211751485664928,0.002224828239316887,0.002248798786126663,0.002288974418647083,0.0023951307143070958,0.002464553687839541,0.0025259329384576938,0.0026438220035928496,0.0027148944665865648,0.0028378657249578387,0.003026454516754759,0.003168360785310864,0.0033338535442408515,0.0035293075817535973,0.003674453274149161,0.0037789839332146302,0.0038301133788992076,0.0039097952522164185,0.003803667532335112,0.0039032630866772835,0.003809961547883439,0.003819626346497013,0.003739311584195307,0.0035672802123281966,0.003582619407910338,0.003494235001152154,both img and text,0,1,Img tokens
0,0.003451964288403447,0.0020575240256063853,0.0025794202404655813,0.00298556352833821,0.0032185606185638786,0.0034465956106192438,0.003575348986400983,0.0037240435255367016,0.0038304191432398937,0.0038864485554643453,0.003958058999526106,0.00399284835832342,0.004064903067737584,0.004089631733112113,0.004069475169508276,0.004090985535172101,0.00406038172595079,0.003994096844147037,0.004021845315079706,0.0039910644490630575,0.003969882095108799,0.003932425561771499,0.003932214308638616,0.0038102599803016882,0.0038066898472024894,0.003685492222644108,0.0037459621060022706,0.003504910752960571,0.003537840462605027,0.0034846043025166065,0.0033170907240210054,0.003257897487280879,0.0031216910923070576,both img and text,1,0,Text tokens
1,0.003448879547360807,0.0020622242735668216,0.002572011903847881,0.0029736479269689402,0.003212778604875984,0.003437552960083592,0.0035689003987867465,0.0037066056970609987,0.0038120498563231795,0.003867349845741295,0.003939504425346571,0.003974447405097333,0.00404057895396121,0.004066381786721133,0.004041085917906446,0.004059886553739046,0.004023481238326546,0.003967385858630595,0.003997036133299024,0.003966444925181357,0.003943126199892482,0.00390348381520909,0.003900154678580981,0.0037745424597987968,0.0037697369041622126,0.003647012825518876,0.003710365304922169,0.003465725903915491,0.0034980420563437914,0.003444212049549257,0.003272850072862702,0.0032029273219411503,0.003117947284496795,both img and text,0,1,Text tokens
0,0.0034476891127110227,0.0020251294985309622,2.2834707478932336e-05,3.713149786326282e-05,6.354187510525476e-05,9.221569292756194e-05,0.00010679756277011859,0.00011878684982401803,0.00013193168842339276,0.00015134904958490135,0.00017581085358734188,0.0002090242946310923,0.00023751851245010092,0.0002609746258337021,0.0002938910448697603,0.00033826954570037506,0.00040828539006927027,0.000502270719124036,0.0005647663278275199,0.000655530900528322,0.0007362155026259794,0.0008006052967065978,0.0008556291519571088,0.0009267939682604428,0.0009716305808403565,0.0010302968662321244,0.0010780043802954466,0.0011235174893280693,0.001165202252313474,0.001209303378469836,0.0012290702320232366,0.0012502941362613322,0.0012199433301547705,only text,1,0,Text only tokens
1,0.0034446073593318396,0.002025121400340595,2.2922835653624374e-05,3.7274846044734964e-05,6.40689300148563e-05,9.274409613283328e-05,0.00010741254197432742,0.0001194909458880701,0.00013274744944225995,0.00015230610421252788,0.00017707270785728932,0.000210582293252738,0.0002393058497809499,0.0002630744358231729,0.00029632305370422615,0.0003407868782637058,0.0004119772725919471,0.0005074721782511094,0.000571472925948709,0.0006644604401822484,0.0007468262222726957,0.0008122460279450092,0.0008680333807705214,0.0009402826203984101,0.0009852434922661545,0.0010434437026856584,0.001091516723474567,0.0011366567223460762,0.0011783368403865738,0.0012218174737295994,0.0012403601377288128,0.0012612131230898248,0.0012169657153343432,only text,0,1,Text only tokens
0,0.001850710472170348,0.0018526721097157407,0.002163496454918608,0.0021633083425266282,0.002161144174198483,0.0021669247098394535,0.0021622988787417144,0.0021749125375386622,0.002194461388192862,0.0022240638962024973,0.002268161386108879,0.0023692524314907213,0.0024334336464157755,0.002483644037536295,0.0025912673048809347,0.002651875828618236,0.002759536931979258,0.0029269403634758456,0.003053493976544386,0.0032116966028418095,0.003402880261894402,0.003544645441536584,0.0036454891223828495,0.003723810178118302,0.0038042145487390774,0.003705910584698692,0.0037987834307237713,0.0037351377497054123,0.0037444362071597575,0.003671991798181966,0.0034854647048375553,0.003486960592232306,0.0034094658193338182,only img,1,0,Image only tokens
1,0.0019140903702244833,0.0019164092672012952,0.0022146328513161216,0.0022127957483135887,0.002208725511552806,0.002214176934374674,0.0022038128677315163,0.002211759565181874,0.0022248439307631113,0.0022488307787449607,0.002289006017132973,0.0023951523853052367,0.0024645588646873963,0.002525945105165689,0.0026437995559177806,0.002714835673224702,0.0028378275499236407,0.0030264822143274495,0.00316841157702157,0.003333941911840475,0.0035294640451038455,0.0036746473533768916,0.0037792028025858157,0.0038304170827390357,0.003910110549610886,0.0038040311193300075,0.003903606210833505,0.0038103913739905067,0.003820139256735957,0.003739812716862494,0.0035678904663714447,0.003583249978597891,0.0034952318763702504,only img,0,1,Image only tokens
