,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,chain
0,0.5939597315436241,0.43530839986926273,0.3642558565991332,0.0,0.0,0.0,sentence_text,0,VL
1,0.5134228187919463,0.4543119951440444,0.3852392893692894,0.21621621621621623,0.3125,0.1652892561983471,sentence_text,1,VL
2,0.5100671140939598,0.4594481019750666,0.38514129553433213,0.26262626262626265,0.33766233766233766,0.21487603305785125,sentence_text,2,VL
3,0.5201342281879194,0.48587570621468934,0.3952863548492638,0.3286384976525822,0.3804347826086957,0.2892561983471074,sentence_text,3,VL
4,0.540268456375839,0.4832142690386142,0.3981788747477637,0.3568075117370892,0.41304347826086957,0.3140495867768595,sentence_text,4,VL
5,0.5268456375838926,0.48489517672876686,0.39524658374970323,0.36771300448430494,0.4019607843137255,0.33884297520661155,sentence_text,5,VL
6,0.5335570469798657,0.4898445160386609,0.39483577710864304,0.38222222222222224,0.41346153846153844,0.35537190082644626,sentence_text,6,VL
7,0.5234899328859061,0.48676285194004765,0.3922369861796062,0.36607142857142855,0.39805825242718446,0.33884297520661155,sentence_text,7,VL
8,0.5167785234899329,0.47952561049633474,0.3882122803113974,0.36283185840707965,0.3904761904761905,0.33884297520661155,sentence_text,8,VL
9,0.5268456375838926,0.4835411122005883,0.38574677080499775,0.3788546255506608,0.4056603773584906,0.35537190082644626,sentence_text,9,VL
10,0.5335570469798657,0.4834010365597422,0.39266723536578607,0.3876651982378855,0.41509433962264153,0.36363636363636365,sentence_text,10,VL
11,0.5201342281879194,0.4932997151795302,0.3948241262017079,0.3700440528634361,0.39622641509433965,0.34710743801652894,sentence_text,11,VL
12,0.5234899328859061,0.48615585749638135,0.39134216732819344,0.37719298245614036,0.40186915887850466,0.35537190082644626,sentence_text,12,VL
13,0.5234899328859061,0.4968016062006817,0.3976844673924602,0.36607142857142855,0.39805825242718446,0.33884297520661155,sentence_text,13,VL
14,0.5067114093959731,0.5069804361021617,0.39959100506411543,0.36909871244635195,0.38392857142857145,0.35537190082644626,sentence_text,14,VL
15,0.5234899328859061,0.5064668254190596,0.3983488525940192,0.3826086956521739,0.4036697247706422,0.36363636363636365,sentence_text,15,VL
16,0.5234899328859061,0.5127235373768502,0.4070087219862125,0.36607142857142855,0.39805825242718446,0.33884297520661155,sentence_text,16,VL
17,0.5167785234899329,0.5020310967922679,0.3956365356204733,0.3739130434782609,0.3944954128440367,0.35537190082644626,sentence_text,17,VL
18,0.5,0.5029649343979082,0.39663258281826264,0.354978354978355,0.37272727272727274,0.33884297520661155,sentence_text,18,VL
19,0.48322147651006714,0.4940934771443246,0.38560852752962305,0.3418803418803419,0.35398230088495575,0.3305785123966942,sentence_text,19,VL
20,0.4798657718120805,0.48704300322173977,0.37682347781824976,0.3459915611814346,0.35344827586206895,0.33884297520661155,sentence_text,20,VL
21,0.4966442953020134,0.48368118784143443,0.3731142231538246,0.375,0.37815126050420167,0.371900826446281,sentence_text,21,VL
22,0.49328859060402686,0.49115188868655746,0.3817651492039802,0.351931330472103,0.36607142857142855,0.33884297520661155,sentence_text,22,VL
23,0.5100671140939598,0.49484054722883686,0.3807989258548196,0.37606837606837606,0.3893805309734513,0.36363636363636365,sentence_text,23,VL
24,0.5201342281879194,0.5117430078909277,0.38568127663234253,0.37554585152838427,0.39814814814814814,0.35537190082644626,sentence_text,24,VL
25,0.5167785234899329,0.5102021758416211,0.3859790262246169,0.3684210526315789,0.3925233644859813,0.34710743801652894,sentence_text,25,VL
26,0.5134228187919463,0.5065135172993416,0.3841075998631107,0.36681222707423583,0.3888888888888889,0.34710743801652894,sentence_text,26,VL
27,0.4966442953020134,0.5089881869542886,0.3870915187093279,0.34210526315789475,0.3644859813084112,0.32231404958677684,sentence_text,27,VL
28,0.48322147651006714,0.5066535929401877,0.38042499505124583,0.3418803418803419,0.35398230088495575,0.3305785123966942,sentence_text,28,VL
29,0.4966442953020134,0.5115562403697997,0.3835747501853769,0.358974358974359,0.37168141592920356,0.34710743801652894,sentence_text,29,VL
30,0.5,0.5103422514824671,0.38539392299945996,0.354978354978355,0.37272727272727274,0.33884297520661155,sentence_text,30,VL
31,0.5,0.5020310967922679,0.39284197067120774,0.354978354978355,0.37272727272727274,0.33884297520661155,sentence_text,31,VL
32,0.48322147651006714,0.48031937246112894,0.3789308299592693,0.33620689655172414,0.35135135135135137,0.32231404958677684,sentence_text,32,VL
33,0.5302013422818792,0.4768641733202596,0.40417576480589174,0.23076923076923078,0.3442622950819672,0.17355371900826447,sentence_text,33,VL
