,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,chain
0,0.5906040268456376,0.43759630200308164,0.36436561198263506,0.0,0.0,0.0,sentence_text,0,VL
1,0.5067114093959731,0.4487089695102021,0.37872799230313525,0.20540540540540542,0.296875,0.15702479338842976,sentence_text,1,VL
2,0.5268456375838926,0.45972825325675865,0.38454668886245486,0.28426395939086296,0.3684210526315789,0.23140495867768596,sentence_text,2,VL
3,0.5302013422818792,0.48237381519353784,0.39019578531664284,0.3333333333333333,0.39325842696629215,0.2892561983471074,sentence_text,3,VL
4,0.5268456375838926,0.47961899425689875,0.38876882947797164,0.3561643835616438,0.3979591836734694,0.32231404958677684,sentence_text,4,VL
5,0.5436241610738255,0.4782182378484381,0.39214301167758514,0.40350877192982454,0.42990654205607476,0.38016528925619836,sentence_text,5,VL
6,0.5436241610738255,0.48746323014427795,0.3985599030907685,0.39285714285714285,0.42718446601941745,0.36363636363636365,sentence_text,6,VL
7,0.5369127516778524,0.49236587757388994,0.3980789763641058,0.3783783783783784,0.4158415841584158,0.34710743801652894,sentence_text,7,VL
8,0.5234899328859061,0.4960078442358874,0.3981871937153847,0.36607142857142855,0.39805825242718446,0.33884297520661155,sentence_text,8,VL
9,0.5302013422818792,0.5069804361021618,0.4015580230404092,0.3805309734513274,0.4095238095238095,0.35537190082644626,sentence_text,9,VL
10,0.540268456375839,0.5162721202782836,0.40712828977549076,0.39111111111111113,0.4230769230769231,0.36363636363636365,sentence_text,10,VL
11,0.5436241610738255,0.5132371480599524,0.4092985399898744,0.38181818181818183,0.42424242424242425,0.34710743801652894,sentence_text,11,VL
12,0.5134228187919463,0.5114161647289537,0.4007194670841963,0.36123348017621143,0.3867924528301887,0.33884297520661155,sentence_text,12,VL
13,0.5167785234899329,0.5156184339543354,0.4045829876346142,0.3684210526315789,0.3925233644859813,0.34710743801652894,sentence_text,13,VL
14,0.5067114093959731,0.5119297754120558,0.40249501484242145,0.37446808510638296,0.38596491228070173,0.36363636363636365,sentence_text,14,VL
15,0.5033557046979866,0.5067936685810337,0.4007847953023356,0.3620689655172414,0.3783783783783784,0.34710743801652894,sentence_text,15,VL
16,0.5,0.5080543493486482,0.40192448414351784,0.34934497816593885,0.37037037037037035,0.3305785123966942,sentence_text,16,VL
17,0.5033557046979866,0.5132838399402344,0.4122651240856716,0.3508771929824561,0.37383177570093457,0.3305785123966942,sentence_text,17,VL
18,0.5335570469798657,0.5201008544614091,0.41306529906532496,0.4034334763948498,0.41964285714285715,0.3884297520661157,sentence_text,18,VL
19,0.5302013422818792,0.5132838399402344,0.4079847538120532,0.4017094017094017,0.415929203539823,0.3884297520661157,sentence_text,19,VL
20,0.5134228187919463,0.512443386095158,0.4124287708776999,0.39330543933054396,0.3983050847457627,0.3884297520661157,sentence_text,20,VL
21,0.5167785234899329,0.5166923472008218,0.4146854112366408,0.4049586776859504,0.4049586776859504,0.4049586776859504,sentence_text,21,VL
22,0.5201342281879194,0.5214082271093057,0.4207197451592743,0.39148936170212767,0.40350877192982454,0.38016528925619836,sentence_text,22,VL
23,0.5167785234899329,0.5209880001867675,0.41377127446410045,0.3898305084745763,0.4,0.38016528925619836,sentence_text,23,VL
24,0.5,0.5135639912219265,0.419576122792121,0.3659574468085106,0.37719298245614036,0.35537190082644626,sentence_text,24,VL
25,0.4899328859060403,0.49484054722883686,0.4118322988153623,0.36134453781512604,0.36752136752136755,0.35537190082644626,sentence_text,25,VL
26,0.47315436241610737,0.4914320399682495,0.4117401539596366,0.314410480349345,0.3333333333333333,0.2975206611570248,sentence_text,26,VL
27,0.47651006711409394,0.4751832656301069,0.39510179036777393,0.3333333333333333,0.34513274336283184,0.32231404958677684,sentence_text,27,VL
28,0.4865771812080537,0.47896530793295045,0.399344380201058,0.37551020408163266,0.3709677419354839,0.38016528925619836,sentence_text,28,VL
29,0.5067114093959731,0.4932063314189663,0.4009044041546189,0.37446808510638296,0.38596491228070173,0.36363636363636365,sentence_text,29,VL
30,0.5,0.5013774104683195,0.3937960404066083,0.37656903765690375,0.3813559322033898,0.371900826446281,sentence_text,30,VL
31,0.5302013422818792,0.509735257038801,0.3975644417833715,0.4117647058823529,0.4188034188034188,0.4049586776859504,sentence_text,31,VL
32,0.5201342281879194,0.5241630480459448,0.39783359729655327,0.39662447257383965,0.4051724137931034,0.3884297520661157,sentence_text,32,VL
33,0.5671140939597316,0.4826072745949479,0.42128062363276114,0.26285714285714284,0.42592592592592593,0.19008264462809918,sentence_text,33,VL
