,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,chain
0,0.5886287625418061,0.5403937227226299,0.4177774165812249,0.0,0.0,0.0,sentence_text,0,VH
1,0.5618729096989966,0.5123038350821805,0.4154553638157764,0.2994652406417112,0.42424242424242425,0.23140495867768596,sentence_text,1,VH
2,0.5484949832775919,0.5118859689850497,0.4236919330411909,0.27807486631016043,0.3939393939393939,0.21487603305785125,sentence_text,2,VH
3,0.5652173913043478,0.511189525489832,0.43184389302811915,0.3925233644859813,0.45161290322580644,0.34710743801652894,sentence_text,3,VH
4,0.5150501672240803,0.5001857182653915,0.4273951491414306,0.3378995433789954,0.37755102040816324,0.30578512396694213,sentence_text,4,VH
5,0.5284280936454849,0.4929891354814746,0.42597865717312056,0.36199095022624433,0.4,0.3305785123966942,sentence_text,5,VH
6,0.5518394648829431,0.5165753551861825,0.4496924902759898,0.37962962962962965,0.43157894736842106,0.33884297520661155,sentence_text,6,VH
7,0.5317725752508361,0.5216826074844461,0.45235457785400446,0.375,0.4077669902912621,0.34710743801652894,sentence_text,7,VH
8,0.5351170568561873,0.5181075308756615,0.44907422564021626,0.37668161434977576,0.4117647058823529,0.34710743801652894,sentence_text,8,VH
9,0.5117056856187291,0.5132324264091374,0.44597109442867283,0.34234234234234234,0.37623762376237624,0.3140495867768595,sentence_text,9,VH
10,0.5317725752508361,0.5152753273284427,0.4370383156988512,0.36936936936936937,0.40594059405940597,0.33884297520661155,sentence_text,10,VH
11,0.5351170568561873,0.5147181725322685,0.41652960363580027,0.35944700460829493,0.40625,0.32231404958677684,sentence_text,11,VH
12,0.5217391304347826,0.5144860247005293,0.4044421733526871,0.38095238095238093,0.4,0.36363636363636365,sentence_text,12,VH
13,0.5217391304347826,0.5241898040672299,0.41017363922126904,0.39148936170212767,0.40350877192982454,0.38016528925619836,sentence_text,13,VH
14,0.5551839464882943,0.540950877518804,0.43661932859221775,0.4340425531914894,0.4473684210526316,0.4214876033057851,sentence_text,14,VH
15,0.568561872909699,0.5472652985421116,0.4369769287478295,0.45569620253164556,0.46551724137931033,0.4462809917355372,sentence_text,15,VH
16,0.5819397993311036,0.5597548518896833,0.4551780800522446,0.46808510638297873,0.4824561403508772,0.45454545454545453,sentence_text,16,VH
17,0.5451505016722408,0.5544618813260285,0.45531079228839244,0.4426229508196721,0.43902439024390244,0.4462809917355372,sentence_text,17,VH
18,0.5451505016722408,0.5436437923669794,0.4511207247858424,0.4380165289256198,0.4380165289256198,0.4380165289256198,sentence_text,18,VH
19,0.5652173913043478,0.5513975299470704,0.4504646726725216,0.4715447154471545,0.464,0.4793388429752066,sentence_text,19,VH
20,0.5518394648829431,0.5436902219333272,0.4518401905409616,0.4369747899159664,0.4444444444444444,0.4297520661157025,sentence_text,20,VH
21,0.5384615384615384,0.5420651871111524,0.4394103918545169,0.425,0.42857142857142855,0.4214876033057851,sentence_text,21,VH
22,0.568561872909699,0.5420651871111524,0.4381009887555923,0.451063829787234,0.4649122807017544,0.4380165289256198,sentence_text,22,VH
23,0.5719063545150501,0.5391865539975856,0.4342702617347676,0.43859649122807015,0.4672897196261682,0.4132231404958678,sentence_text,23,VH
24,0.5652173913043478,0.5281827467731451,0.42460238240984777,0.43478260869565216,0.45871559633027525,0.4132231404958678,sentence_text,24,VH
25,0.5518394648829431,0.5208933048565326,0.4140500459458813,0.4322033898305085,0.4434782608695652,0.4214876033057851,sentence_text,25,VH
26,0.568561872909699,0.5249791066951435,0.4228001456606447,0.45569620253164556,0.46551724137931033,0.4462809917355372,sentence_text,26,VH
27,0.5250836120401338,0.5259076980221005,0.4096915632248458,0.3879310344827586,0.40540540540540543,0.371900826446281,sentence_text,27,VH
28,0.5585284280936454,0.5308292320549726,0.4193677528395357,0.40540540540540543,0.44554455445544555,0.371900826446281,sentence_text,28,VH
29,0.5351170568561873,0.5115145324542669,0.4063921912414996,0.38222222222222224,0.41346153846153844,0.35537190082644626,sentence_text,29,VH
30,0.5317725752508361,0.5069644349521775,0.40803750354637325,0.4067796610169492,0.41739130434782606,0.39669421487603307,sentence_text,30,VH
31,0.5351170568561873,0.5242826631999257,0.4199395079607341,0.4085106382978723,0.42105263157894735,0.39669421487603307,sentence_text,31,VH
32,0.5484949832775919,0.5214504596527068,0.4061125016960262,0.43037974683544306,0.4396551724137931,0.4214876033057851,sentence_text,32,VH
33,0.5752508361204013,0.5068715758194818,0.4121709129121988,0.072992700729927,0.3125,0.04132231404958678,sentence_text,33,VH
