,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,chain
0,0.5886287625418061,0.5395115609620207,0.41782034804352775,0.0,0.0,0.0,sentence_text,0,VH
1,0.5618729096989966,0.5129538490110502,0.4166954027570007,0.2994652406417112,0.42424242424242425,0.23140495867768596,sentence_text,1,VH
2,0.5551839464882943,0.5119323985513975,0.4210044754891388,0.3036649214659686,0.4142857142857143,0.2396694214876033,sentence_text,2,VH
3,0.5484949832775919,0.5162967777880955,0.4345129001999088,0.36018957345971564,0.4222222222222222,0.3140495867768595,sentence_text,3,VH
4,0.5250836120401338,0.4992106973720865,0.4151570370830688,0.3486238532110092,0.3917525773195876,0.3140495867768595,sentence_text,4,VH
5,0.5217391304347826,0.5022286191846969,0.42407167000509804,0.35874439461883406,0.39215686274509803,0.3305785123966942,sentence_text,5,VH
6,0.5250836120401338,0.5062679914569598,0.434009619030179,0.37719298245614036,0.40186915887850466,0.35537190082644626,sentence_text,6,VH
7,0.5217391304347826,0.5178753830439224,0.4442344780450177,0.36444444444444446,0.3942307692307692,0.33884297520661155,sentence_text,7,VH
8,0.5585284280936454,0.5254898319249698,0.4543906568393362,0.42105263157894735,0.4485981308411215,0.39669421487603307,sentence_text,8,VH
9,0.5217391304347826,0.5116538211533104,0.4474324575664331,0.38095238095238093,0.4,0.36363636363636365,sentence_text,9,VH
10,0.4983277591973244,0.49883926084130376,0.4350039916203047,0.336283185840708,0.3619047619047619,0.3140495867768595,sentence_text,10,VH
11,0.5050167224080268,0.5056644070944377,0.42895796520724494,0.3565217391304348,0.3761467889908257,0.33884297520661155,sentence_text,11,VH
12,0.5150501672240803,0.5058965549261769,0.4233662407004932,0.3881856540084388,0.39655172413793105,0.38016528925619836,sentence_text,12,VH
13,0.5317725752508361,0.5247469588634042,0.4364642036220511,0.39655172413793105,0.4144144144144144,0.38016528925619836,sentence_text,13,VH
14,0.5351170568561873,0.5245612405980128,0.43699872823867414,0.3930131004366812,0.4166666666666667,0.371900826446281,sentence_text,14,VH
15,0.5317725752508361,0.5233540718729687,0.4236524545054125,0.38596491228070173,0.411214953271028,0.36363636363636365,sentence_text,15,VH
16,0.5384615384615384,0.5245612405980128,0.44424002428677506,0.3893805309734513,0.41904761904761906,0.36363636363636365,sentence_text,16,VH
17,0.5418060200668896,0.5376543783081066,0.44852953504225956,0.4017467248908297,0.42592592592592593,0.38016528925619836,sentence_text,17,VH
18,0.5785953177257525,0.5497260655585477,0.44571330020978916,0.475,0.4789915966386555,0.47107438016528924,sentence_text,18,VH
19,0.5618729096989966,0.5545083108923763,0.4422700055748543,0.46963562753036436,0.4603174603174603,0.4793388429752066,sentence_text,19,VH
20,0.5351170568561873,0.5588726901290741,0.44340658762960616,0.43724696356275305,0.42857142857142855,0.4462809917355372,sentence_text,20,VH
21,0.5284280936454849,0.543736651499675,0.43585266859095023,0.43373493975903615,0.421875,0.4462809917355372,sentence_text,21,VH
22,0.5050167224080268,0.5257684093230569,0.4319918367442491,0.4263565891472868,0.40145985401459855,0.45454545454545453,sentence_text,22,VH
23,0.5083612040133779,0.5257684093230569,0.436949937511455,0.4280155642023346,0.40441176470588236,0.45454545454545453,sentence_text,23,VH
24,0.5250836120401338,0.5294363450645371,0.45969800694108565,0.4274193548387097,0.41732283464566927,0.4380165289256198,sentence_text,24,VH
25,0.5384615384615384,0.5237719379700994,0.4475334206067143,0.4297520661157025,0.4297520661157025,0.4297520661157025,sentence_text,25,VH
26,0.5484949832775919,0.5343114495310614,0.46303855027955776,0.4444444444444444,0.4426229508196721,0.4462809917355372,sentence_text,26,VH
27,0.5518394648829431,0.5334292877704523,0.4567042033964587,0.464,0.4496124031007752,0.4793388429752066,sentence_text,27,VH
28,0.5083612040133779,0.5252576840932306,0.4498898937475255,0.4235294117647059,0.40298507462686567,0.4462809917355372,sentence_text,28,VH
29,0.5016722408026756,0.50431794967035,0.42327029310486236,0.41568627450980394,0.39552238805970147,0.4380165289256198,sentence_text,29,VH
30,0.5150501672240803,0.5282756059058409,0.4339110904327337,0.40329218106995884,0.4016393442622951,0.4049586776859504,sentence_text,30,VH
31,0.4882943143812709,0.488206890147646,0.4031061955114248,0.3805668016194332,0.373015873015873,0.3884297520661157,sentence_text,31,VH
32,0.5150501672240803,0.5080323149781782,0.4227616226063192,0.43137254901960786,0.41044776119402987,0.45454545454545453,sentence_text,32,VH
33,0.6053511705685619,0.5010678800260006,0.4386260111669066,0.14492753623188406,0.5882352941176471,0.08264462809917356,sentence_text,33,VH
