,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
2,0.94,0.9856,0.986850613154961,0.9387755102040817,0.9583333333333334,0.92,sentence_img,14,2
3,0.96,0.9967999999999999,0.9968615384615386,0.9583333333333334,1.0,0.92,sentence_img,21,2
4,0.94,0.9967999999999999,0.9968615384615386,0.9361702127659575,1.0,0.88,sentence_img,28,2
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,2
1,0.5,0.5312,0.614124244384774,0.5283018867924528,0.5,0.56,sentence_text,7,2
2,0.72,0.8048000000000001,0.8493707979589006,0.7407407407407407,0.6896551724137931,0.8,sentence_text,14,2
3,0.94,0.9952000000000001,0.9954370370370371,0.9433962264150944,0.8928571428571429,1.0,sentence_text,21,2
4,0.96,1.0,1.0,0.9583333333333334,1.0,0.92,sentence_text,28,2
0,0.44,0.43200000000000005,0.4608144729088536,0.44,0.44,0.44,token_all,0,2
1,0.44,0.4288,0.45625518041914603,0.44,0.44,0.44,token_all,7,2
2,0.42,0.42400000000000004,0.4529889510147067,0.40816326530612246,0.4166666666666667,0.4,token_all,14,2
3,0.44,0.4192000000000001,0.44682359256107274,0.4166666666666667,0.43478260869565216,0.4,token_all,21,2
4,0.44,0.43360000000000004,0.45314380354806155,0.44,0.44,0.44,token_all,28,2
0,0.5,0.5104,0.56509568753646,0.5283018867924528,0.5,0.56,token_img,0,2
1,0.5,0.5056,0.5632423096261562,0.5283018867924528,0.5,0.56,token_img,7,2
2,0.5,0.5184,0.5688619414784855,0.5283018867924528,0.5,0.56,token_img,14,2
3,0.52,0.528,0.5336748204467823,0.5555555555555556,0.5172413793103449,0.6,token_img,21,2
4,0.5,0.5376,0.5402778226658411,0.5454545454545454,0.5,0.6,token_img,28,2
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,2
1,0.42,0.40959999999999996,0.4594187074586128,0.43137254901960786,0.4230769230769231,0.44,token_text,7,2
2,0.42,0.41600000000000004,0.4630422562063034,0.43137254901960786,0.4230769230769231,0.44,token_text,14,2
3,0.46,0.4128,0.4666769188188759,0.4489795918367347,0.4583333333333333,0.44,token_text,21,2
4,0.48,0.4304,0.4718816219483715,0.4583333333333333,0.4782608695652174,0.44,token_text,28,2
0,0.9,0.888,0.9292713729523427,0.8936170212765957,0.9545454545454546,0.84,sentence_all,0,3
1,0.9,0.9168000000000001,0.9487581608784199,0.8936170212765957,0.9545454545454546,0.84,sentence_all,7,3
2,0.86,0.9520000000000001,0.958948159120573,0.851063829787234,0.9090909090909091,0.8,sentence_all,14,3
3,0.96,1.0,1.0,0.9583333333333334,1.0,0.92,sentence_all,21,3
4,0.96,0.9984,0.9984615384615385,0.9583333333333334,1.0,0.92,sentence_all,28,3
0,0.88,0.9264,0.9554294802716807,0.8695652173913043,0.9523809523809523,0.8,sentence_img,0,3
1,0.9,0.9376,0.9624861832586162,0.8936170212765957,0.9545454545454546,0.84,sentence_img,7,3
2,0.9,0.9616,0.9693301350978771,0.8936170212765957,0.9545454545454546,0.84,sentence_img,14,3
3,0.96,0.9888,0.9906580645161291,0.9583333333333334,1.0,0.92,sentence_img,21,3
4,0.96,0.992,0.9928827586206896,0.9583333333333334,1.0,0.92,sentence_img,28,3
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,3
1,0.7,0.7104,0.6866939957656071,0.7169811320754716,0.6785714285714286,0.76,sentence_text,7,3
2,0.82,0.888,0.8516623085916136,0.8235294117647058,0.8076923076923077,0.84,sentence_text,14,3
3,0.98,0.9967999999999999,0.9968615384615386,0.9803921568627451,0.9615384615384616,1.0,sentence_text,21,3
4,0.96,1.0,1.0,0.9583333333333334,1.0,0.92,sentence_text,28,3
0,0.48,0.48319999999999996,0.5353915663565569,0.4583333333333333,0.4782608695652174,0.44,token_all,0,3
1,0.48,0.48,0.5357935718160659,0.43478260869565216,0.47619047619047616,0.4,token_all,7,3
2,0.48,0.4688,0.5197891704729128,0.43478260869565216,0.47619047619047616,0.4,token_all,14,3
3,0.48,0.464,0.5140046882353211,0.43478260869565216,0.47619047619047616,0.4,token_all,21,3
4,0.48,0.49440000000000006,0.5498311991959957,0.48,0.48,0.48,token_all,28,3
0,0.44,0.5024000000000001,0.4876789146586239,0.44,0.44,0.44,token_img,0,3
1,0.46,0.5024,0.4887741137857379,0.47058823529411764,0.46153846153846156,0.48,token_img,7,3
2,0.46,0.4928,0.4822438610694315,0.4489795918367347,0.4583333333333333,0.44,token_img,14,3
3,0.46,0.4976,0.48698862244393926,0.4489795918367347,0.4583333333333333,0.44,token_img,21,3
4,0.46,0.44639999999999996,0.45636573036082784,0.47058823529411764,0.46153846153846156,0.48,token_img,28,3
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,3
1,0.48,0.4464,0.5221674526013167,0.35,0.4666666666666667,0.28,token_text,7,3
2,0.5,0.47200000000000003,0.5358388696217601,0.358974358974359,0.5,0.28,token_text,14,3
3,0.58,0.49600000000000005,0.5474266122500233,0.5116279069767442,0.6111111111111112,0.44,token_text,21,3
4,0.58,0.5408000000000001,0.5575761793371513,0.5333333333333333,0.6,0.48,token_text,28,3
0,0.84,0.9216000000000001,0.9345360557981471,0.84,0.84,0.84,sentence_all,0,4
1,0.88,0.8896,0.8961603603990871,0.875,0.9130434782608695,0.84,sentence_all,7,4
2,0.82,0.8864000000000001,0.8811279150588419,0.8163265306122449,0.8333333333333334,0.8,sentence_all,14,4
3,0.96,0.9984,0.9984615384615385,0.96,0.96,0.96,sentence_all,21,4
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,28,4
0,0.92,0.9648,0.9703263055263055,0.92,0.92,0.92,sentence_img,0,4
1,0.92,0.9504,0.9610839768926727,0.92,0.92,0.92,sentence_img,7,4
2,0.86,0.9216,0.9320159454924162,0.8571428571428571,0.875,0.84,sentence_img,14,4
3,0.96,1.0,1.0,0.9615384615384616,0.9259259259259259,1.0,sentence_img,21,4
4,0.98,1.0,1.0,0.9803921568627451,0.9615384615384616,1.0,sentence_img,28,4
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,4
1,0.6,0.6464,0.6385002905980317,0.6,0.6,0.6,sentence_text,7,4
2,0.72,0.7616,0.750982693740929,0.6956521739130435,0.7619047619047619,0.64,sentence_text,14,4
3,0.92,0.9776,0.9766157433718076,0.92,0.92,0.92,sentence_text,21,4
4,0.98,0.9952,0.9957142857142858,0.9795918367346939,1.0,0.96,sentence_text,28,4
0,0.36,0.33440000000000003,0.4451584404044635,0.38461538461538464,0.37037037037037035,0.4,token_all,0,4
1,0.36,0.3296,0.4488260591833355,0.4074074074074074,0.3793103448275862,0.44,token_all,7,4
2,0.36,0.3232,0.4430074926024533,0.4074074074074074,0.3793103448275862,0.44,token_all,14,4
3,0.3,0.3184,0.44889300800117127,0.33962264150943394,0.32142857142857145,0.36,token_all,21,4
4,0.32,0.3488,0.49158323685752187,0.34615384615384615,0.3333333333333333,0.36,token_all,28,4
0,0.62,0.5599999999999999,0.6581171886669023,0.5365853658536586,0.6875,0.44,token_img,0,4
1,0.62,0.5664,0.6605803136127859,0.5365853658536586,0.6875,0.44,token_img,7,4
2,0.64,0.5616,0.646253881331188,0.5714285714285714,0.7058823529411765,0.48,token_img,14,4
3,0.62,0.5536,0.6409256206899758,0.5581395348837209,0.6666666666666666,0.48,token_img,21,4
4,0.54,0.5552,0.6105663922970996,0.43902439024390244,0.5625,0.36,token_img,28,4
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,4
1,0.34,0.34400000000000003,0.40887938825499776,0.32653061224489793,0.3333333333333333,0.32,token_text,7,4
2,0.36,0.3328,0.40290935697928604,0.3333333333333333,0.34782608695652173,0.32,token_text,14,4
3,0.4,0.3952,0.4877162111473632,0.4,0.4,0.4,token_text,21,4
4,0.42,0.4288,0.4835588929814256,0.43137254901960786,0.4230769230769231,0.44,token_text,28,4
