,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,contains,Mean over
9,17.631151,15.471412,15.158606,15.139369,14.44414,10.442897,10.202011,10.819291,7.7818904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.76768,both img and text,Img tokens
0,26.034664,26.621088,33.443676,30.970575,35.180992,28.40611,30.9342,25.80917,13.757997,8.371971,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,111.529076,both img and text,Text tokens
1,26.172867,26.38432,33.017944,30.612442,34.727135,28.063835,30.611187,25.826225,13.621111,8.188536,8.176772,7.964055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,102.02218,both img and text,Text tokens
2,26.021324,26.597673,33.450527,30.820057,34.96859,27.842392,30.532879,25.645163,13.676181,8.257477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,105.65102,both img and text,Text tokens
3,25.919024,26.313457,33.116425,30.686222,34.65821,27.815489,30.469831,25.588018,13.586997,8.203961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.285736,both img and text,Text tokens
4,26.098272,26.469917,33.13924,30.660133,34.841755,28.129005,30.912819,25.68849,13.773979,8.425417,8.391367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.10951,both img and text,Text tokens
5,26.030159,26.367191,33.197334,30.690504,34.76629,27.89966,30.733492,25.621572,13.784737,8.265294,8.267119,8.1097145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104.976,both img and text,Text tokens
6,25.886663,26.103283,32.817394,30.528172,34.50204,28.081783,30.58095,25.272131,13.41249,8.164584,8.004531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,107.38907,both img and text,Text tokens
7,26.064762,26.47333,33.286407,30.742851,34.79447,28.136772,30.984924,26.063807,13.641788,8.415811,8.327923,8.27183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104.2101,both img and text,Text tokens
8,26.073072,26.588959,33.51478,30.939709,35.068684,28.092384,31.02124,25.833437,13.768342,8.412986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,107.55936,both img and text,Text tokens
