,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,contains,Mean over
0,2.9861178,27.147404,29.488232,28.76783,42.133163,54.15601,76.75863,78.4823,95.26251,99.366165,92.75606,87.12412,94.56922,101.26435,103.79347,106.59365,110.32291,87.801125,90.70566,93.507355,104.344,121.16034,116.78537,122.54553,123.26067,127.35618,118.3452,125.66169,126.89651,137.70914,146.63611,152.67818,159.85481,148.42209,127.59031,99.405495,14.375034,both img and text,All tokens
1,2.9521534,26.56361,28.702436,28.954739,42.035297,53.575096,75.72136,77.7932,94.90396,98.62129,91.67476,86.21042,93.28072,99.69353,102.18406,105.3929,109.02741,86.512344,89.433174,92.71749,103.196884,120.16525,115.74682,120.80233,121.247154,125.116295,116.266846,123.02411,124.21866,135.484,143.25822,148.23755,155.14204,143.16527,121.94112,95.789665,13.533073,both img and text,All tokens
2,3.0211844,27.318554,29.82519,30.168503,43.33943,54.774326,76.8613,78.00642,94.977036,98.81985,92.17169,86.77506,93.910095,100.19684,102.540474,105.59009,109.460396,87.009865,90.239494,93.70205,103.99575,121.32407,117.783134,122.66152,122.84151,127.192696,117.937904,125.24104,126.81357,137.66731,146.0093,150.61108,157.93166,146.19754,125.455154,97.367836,14.701841,both img and text,All tokens
3,2.9363441,26.477352,29.454552,30.328732,43.51242,55.134995,77.476425,79.00315,96.039734,99.84158,93.05246,87.175354,94.809784,101.30854,103.49892,106.81734,110.277985,87.6535,90.63787,93.42241,103.74745,120.97446,116.61976,121.850624,122.60088,126.5662,117.170364,124.16152,125.86584,136.81512,145.24792,149.61813,157.51825,145.9662,124.81239,97.798195,13.693809,both img and text,All tokens
4,2.9229944,26.214647,28.425508,27.646055,40.591763,52.52999,75.17595,77.33129,94.53626,98.67947,92.20672,86.71343,94.063995,100.55285,103.002785,106.04284,109.96157,86.54593,89.751785,92.85762,103.47641,120.51914,116.37428,122.39755,122.91159,127.156845,118.310844,125.78909,127.0343,138.25793,147.20226,152.6652,160.33989,148.71196,128.00911,100.36431,16.828676,both img and text,All tokens
5,2.9984558,26.907284,28.650787,28.774818,41.861107,53.439873,75.37617,77.7329,94.99905,99.17828,92.65359,87.09978,94.50836,101.27932,103.88879,107.04463,110.96477,88.33474,90.887856,93.97953,103.91119,120.566795,116.35798,121.242294,121.88735,125.91404,116.32725,123.371574,124.87098,136.1456,144.92824,150.89215,157.72124,145.72314,124.1624,95.967865,14.053809,both img and text,All tokens
6,3.1212792,28.127874,29.758352,30.123486,42.96451,54.004765,75.526955,77.811226,94.49728,98.16342,91.4333,85.87881,93.38771,100.11938,102.92865,106.156876,110.55684,85.12392,88.23493,91.79404,102.60255,120.074356,116.01564,120.723785,122.020744,126.30425,116.927795,124.25645,125.693275,136.11691,144.4404,149.84245,156.26224,144.6258,123.25334,95.1056,14.162212,both img and text,All tokens
7,2.9075055,25.842651,27.833508,28.519907,41.222267,52.54351,74.57623,76.977486,93.69075,97.83646,91.44385,86.219574,93.81243,100.32756,102.83318,106.17769,109.97861,85.01743,87.813896,90.973915,101.326904,118.250046,114.11704,119.71088,120.21145,124.334274,115.08305,121.88583,123.64378,134.99454,143.57176,148.73203,155.97884,143.9361,121.98979,94.00978,13.978369,both img and text,All tokens
8,2.982472,27.06815,29.858322,30.013718,43.378864,55.257095,77.81408,79.42238,97.08378,100.98728,93.73641,88.202576,95.817986,102.2212,104.51579,107.77592,111.064026,90.034904,92.829155,95.86757,105.66408,122.57791,118.02229,122.86196,123.0718,126.92816,117.258224,123.97653,125.21608,136.53542,145.23643,150.33061,158.08067,146.45757,125.208565,97.813774,13.716217,both img and text,All tokens
9,3.0107677,27.276869,29.529354,29.690735,42.653484,54.11831,76.12375,77.530525,94.133,98.32734,91.75028,86.2466,93.58774,100.267685,102.689316,105.89691,110.03721,86.99527,90.1068,92.90851,103.02174,120.050896,115.41868,121.08296,120.918175,124.63933,115.73165,122.712006,123.82486,134.61194,143.47179,149.05103,156.30591,145.0565,124.28568,97.28486,13.890734,both img and text,All tokens
0,19.624434,29.598373,34.669937,33.801388,34.347755,33.593216,33.043644,33.19179,33.09628,34.488865,34.464336,35.514515,36.94272,38.197144,38.08199,39.516064,40.62004,39.616634,40.408752,41.792336,40.713837,41.642258,42.555534,40.773026,40.4434,39.571426,40.27387,40.51859,40.541042,40.67271,40.517704,39.37953,40.653835,42.6539,43.995754,42.96361,50.692654,both img and text,Img tokens
