,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,contains,Mean over
5,25.442823,27.269592,26.790422,27.000986,26.976536,27.84192,28.512579,29.654713,29.744242,30.178219,29.933128,29.669493,29.524601,29.188435,29.203478,29.305737,30.221025,30.821754,32.271725,32.82214,33.917084,32.330082,33.478153,35.390373,38.507744,39.908855,40.58187,40.799706,40.92586,42.27716,42.509453,43.490177,47.55253,49.352318,51.056374,51.114525,46.55467,both img and text,Img tokens
6,24.111961,25.595095,25.417894,25.578146,25.65426,26.42611,27.229385,28.689024,28.701574,29.919756,29.8656,29.143925,28.85993,28.596493,28.702143,28.812405,29.650383,30.315046,32.224453,32.767036,33.973557,32.68503,33.87586,36.015522,39.17108,40.82547,41.697685,41.40515,41.43898,42.92311,43.685432,44.934967,49.02311,50.87321,53.163067,54.266327,49.94837,both img and text,Img tokens
7,25.02562,26.634102,26.284208,26.41908,26.581285,27.717108,28.46715,29.79595,30.235441,30.217552,30.294052,29.772743,29.727615,29.21738,29.268394,29.214935,29.889633,30.46591,32.015507,32.729065,33.725246,32.73762,33.320004,34.89667,37.730034,38.811615,39.509384,39.40424,39.8015,41.243042,41.936707,43.53156,46.817726,48.439148,50.633152,51.73388,50.529694,both img and text,Img tokens
8,24.072763,26.069294,25.340773,25.44323,25.550226,26.815107,28.324694,29.92502,30.187826,29.891792,29.760891,29.843868,29.67457,29.42402,29.536055,29.768959,30.729975,31.277699,33.059757,33.26196,34.290905,32.75938,33.686203,35.443764,38.526012,40.175728,41.15363,41.219368,40.94754,42.50205,42.913734,45.05656,48.931717,50.267265,51.849873,52.665524,52.240063,both img and text,Img tokens
9,25.730156,27.385626,26.809929,26.81663,26.80869,27.998224,28.939674,30.237297,30.375717,30.529985,30.12906,29.779535,29.992712,29.897224,29.856806,29.971128,30.841637,31.430956,33.025063,33.703823,34.83848,33.61164,34.517467,36.169563,39.268787,40.6463,41.706116,42.02244,42.028122,43.64224,44.097786,45.308693,49.15583,51.42819,53.70083,54.08309,50.405426,both img and text,Img tokens
0,24.977232,60.005154,64.411896,67.41827,67.979,88.37797,89.489265,90.069855,81.10757,85.56322,92.91501,95.99963,85.52051,77.88758,73.608315,66.58654,69.61088,78.66566,83.33954,85.32931,99.69662,97.56159,99.88153,101.09828,99.7701,94.655304,91.236176,93.07465,91.01926,86.90495,86.71178,78.586365,97.0549,101.3905,85.833824,82.7957,40.198524,both img and text,Text tokens
1,24.82875,59.108757,63.356075,65.96502,66.39249,86.225334,87.171326,88.38383,79.4606,83.11741,90.23227,93.24448,83.76132,76.20535,71.65466,64.90211,67.74875,76.46849,80.66979,82.79617,96.981674,94.5538,96.80933,98.06836,96.63831,91.44524,88.93532,91.13617,89.61272,84.6584,85.86084,79.25017,95.43605,97.50495,78.857155,72.769005,33.70383,both img and text,Text tokens
2,24.718506,59.677948,64.25466,67.20223,67.71868,87.687065,88.578995,89.40528,80.48955,84.78667,92.21046,94.89025,84.93189,77.271515,72.88854,65.851974,68.77247,77.62741,81.887665,84.18922,98.130005,95.89866,98.4283,99.974594,98.67547,93.80099,91.01792,92.97205,90.67721,85.77171,86.524506,79.16251,96.18277,99.24432,81.754234,76.685646,36.250072,both img and text,Text tokens
3,24.80198,59.18307,63.48454,66.28016,66.512825,86.637344,87.90556,88.711945,79.69856,83.443085,90.73824,93.98786,83.81451,76.40398,71.85369,65.55816,68.513596,77.49981,81.92523,84.119514,99.65813,98.552505,101.258934,102.26722,101.0951,95.61784,91.75422,93.624695,92.49767,87.440796,88.64077,81.28028,96.71244,98.66917,78.666374,72.79125,34.154587,both img and text,Text tokens
4,25.1009,59.685802,64.074814,66.84356,67.243835,87.23079,88.30113,89.10367,80.08726,83.93465,91.10093,94.19793,84.16822,76.764595,72.13282,65.30039,68.3985,77.11625,81.554985,83.882706,97.26593,94.54415,96.57599,98.41806,97.48807,92.735535,90.21915,91.43647,89.78937,85.22931,85.37419,77.97194,95.96878,99.89163,84.52119,81.286064,38.419815,both img and text,Text tokens
