,variable,value,entropy
0,0,0.00189216533213043,img_img_entropy
1,0,0.0014912596389279678,img_img_entropy
2,0,0.0015269569525075237,img_img_entropy
3,0,0.002613791005951485,img_img_entropy
4,0,0.0027762967719854766,img_img_entropy
5,0,0.001476573727016413,img_img_entropy
6,0,0.0028826632550832485,img_img_entropy
7,0,0.0022800733514815965,img_img_entropy
8,0,0.0016487040450024768,img_img_entropy
9,0,0.0013672380096712775,img_img_entropy
10,0,0.0017193022797146523,img_img_entropy
11,0,0.002094355002514494,img_img_entropy
12,0,0.0040562953049398725,img_img_entropy
13,0,0.001588119622641354,img_img_entropy
14,0,0.0014419202859100892,img_img_entropy
15,0,0.003885832389669918,img_img_entropy
16,0,0.0018972544431661278,img_img_entropy
17,0,0.0015782903931841718,img_img_entropy
18,0,0.0047914858890931306,img_img_entropy
19,0,0.005419850414835949,img_img_entropy
20,0,0.0019110982722161415,img_img_entropy
21,0,0.002066135065072911,img_img_entropy
22,0,0.003528301252125343,img_img_entropy
23,0,0.0038177420133299333,img_img_entropy
24,0,0.002531959739958558,img_img_entropy
25,0,0.00564161814900287,img_img_entropy
26,0,0.0020583813603386007,img_img_entropy
27,0,0.002391398713428281,img_img_entropy
28,0,0.001316436863399608,img_img_entropy
29,0,0.0034134127510456105,img_img_entropy
30,0,0.0022129732451375214,img_img_entropy
31,0,0.0025962346931828664,img_img_entropy
32,1,0.002607247880787846,img_img_entropy
33,1,0.0024876645534186045,img_img_entropy
34,1,0.002854611157420133,img_img_entropy
35,1,0.0020464370910036837,img_img_entropy
36,1,0.0013799851480917375,img_img_entropy
37,1,0.0015441108920046303,img_img_entropy
38,1,0.002295874310424882,img_img_entropy
39,1,0.0022134840756992155,img_img_entropy
40,1,0.001498815040011659,img_img_entropy
41,1,0.0020340345425143708,img_img_entropy
42,1,0.002348749236379146,img_img_entropy
43,1,0.00150704685607056,img_img_entropy
44,1,0.002250445023146889,img_img_entropy
45,1,0.0016773271982097198,img_img_entropy
46,1,0.0028870616732603336,img_img_entropy
47,1,0.0033316544239290796,img_img_entropy
48,1,0.0029747093319466528,img_img_entropy
49,1,0.0025640977211158424,img_img_entropy
50,1,0.002197994020812672,img_img_entropy
51,1,0.003374767267939587,img_img_entropy
52,1,0.001732671349973844,img_img_entropy
53,1,0.002260951026973261,img_img_entropy
54,1,0.004121647363968516,img_img_entropy
55,1,0.002641324384593024,img_img_entropy
56,1,0.0039053916822217407,img_img_entropy
57,1,0.0024289967988656252,img_img_entropy
58,1,0.0014836360810095374,img_img_entropy
59,1,0.004440828984121585,img_img_entropy
60,1,0.0033649932992985726,img_img_entropy
61,1,0.0023384010107403313,img_img_entropy
62,1,0.0018274803291191892,img_img_entropy
63,1,0.0025786757294888113,img_img_entropy
64,2,0.005504247314854491,img_img_entropy
65,2,0.004314140435279134,img_img_entropy
66,2,0.007152846418978461,img_img_entropy
67,2,0.003245812053172301,img_img_entropy
68,2,0.004282002535344374,img_img_entropy
69,2,0.00676145058108406,img_img_entropy
70,2,0.00437646071634389,img_img_entropy
71,2,0.005939715607433322,img_img_entropy
72,2,0.006312829500176259,img_img_entropy
73,2,0.004714151945274432,img_img_entropy
74,2,0.0053228461151602685,img_img_entropy
75,2,0.005662035484641473,img_img_entropy
76,2,0.005550222524074217,img_img_entropy
77,2,0.005372449988827643,img_img_entropy
78,2,0.004153771177351549,img_img_entropy
79,2,0.004878705365417571,img_img_entropy
80,2,0.006324818259784798,img_img_entropy
81,2,0.00634055634197514,img_img_entropy
82,2,0.006194797801717918,img_img_entropy
83,2,0.00555233063852012,img_img_entropy
84,2,0.0055939300093311274,img_img_entropy
85,2,0.0032480864802201417,img_img_entropy
86,2,0.0033039069391081633,img_img_entropy
87,2,0.0040794116441302776,img_img_entropy
88,2,0.0064840517803648814,img_img_entropy
89,2,0.004028925244101866,img_img_entropy
90,2,0.0034667001076615802,img_img_entropy
91,2,0.005312794903304928,img_img_entropy
92,2,0.004229374598357379,img_img_entropy
93,2,0.006496876961611501,img_img_entropy
94,2,0.0075049353626586894,img_img_entropy
95,2,0.006218730594091488,img_img_entropy
96,3,0.004091339280913118,img_img_entropy
97,3,0.004120635766526929,img_img_entropy
98,3,0.006228331200873813,img_img_entropy
99,3,0.005667308937082123,img_img_entropy
100,3,0.004994147594710478,img_img_entropy
101,3,0.004496285547960624,img_img_entropy
102,3,0.003902129971812378,img_img_entropy
