,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,contains,Mean over
5,19.983662,38.924088,43.09489,43.509422,43.17813,41.675114,38.946457,38.540157,37.399136,38.10403,36.70639,36.48339,35.858025,36.227947,36.11469,36.525932,37.926678,37.39993,37.816555,38.893185,38.331425,38.868687,40.08969,38.38789,38.260994,38.147972,39.392365,40.190434,41.032467,42.04106,42.408005,43.4795,45.37995,46.783382,48.31606,47.25395,53.146866,both img and text,Img tokens
6,20.680521,36.308453,40.31081,40.884113,40.55779,39.288387,36.689983,36.556328,35.313934,35.035378,33.613766,33.002285,32.597298,33.25028,33.242977,34.15255,35.208057,34.883896,35.496452,36.73203,36.361946,37.56292,39.134598,37.17471,36.73816,36.903606,37.746754,38.306244,39.096073,40.854298,40.813892,41.82618,44.087692,46.594563,48.191105,47.426353,52.997158,both img and text,Img tokens
7,20.458286,38.056057,41.749027,42.333084,42.090054,41.01799,38.502895,38.099827,36.88522,37.415947,35.875137,34.810932,34.303295,34.528687,34.31351,34.97605,35.892258,35.381077,36.049007,37.430473,37.461517,38.62636,39.987274,37.907383,38.080963,37.533813,38.500153,38.792297,39.50744,40.648834,40.697144,41.602207,43.368526,45.619656,47.227367,47.45395,54.29841,both img and text,Img tokens
8,20.331762,38.54657,41.671318,41.968025,41.512226,40.3243,37.680374,37.31487,36.138172,36.768787,35.635296,35.226162,35.177383,35.706787,35.80758,36.542133,37.55795,37.184765,37.6547,38.74505,38.56722,39.46506,40.551395,38.674465,38.892593,38.399086,39.70871,39.676514,40.831505,41.856712,40.932236,42.067238,44.02991,45.54594,47.532555,45.825108,52.504612,both img and text,Img tokens
9,20.101915,38.139187,42.387028,42.672337,42.20183,40.981762,38.11121,37.737297,36.505596,36.829994,35.373013,34.52825,34.018715,34.473648,34.44912,35.234165,36.388184,35.988167,36.562252,37.843735,37.83859,38.500767,39.731182,37.85694,37.592293,37.375916,38.61695,39.163414,40.315594,41.548977,41.89587,43.142807,45.663197,47.647255,49.449505,48.047127,51.867844,both img and text,Img tokens
0,42.722908,66.18516,82.39646,89.55112,82.19468,74.93198,86.317764,117.564186,141.62817,137.54558,123.000824,111.43436,114.89718,120.15672,121.490456,123.887764,130.42683,129.54619,126.71034,122.9324,126.00929,136.54526,130.2412,133.53014,134.6146,137.2653,124.56791,128.9423,128.6161,134.6124,135.13861,129.62602,133.168,130.8057,118.693275,99.967064,11.814927,both img and text,Text tokens
1,42.42967,65.0317,80.904655,87.8898,80.59055,73.08803,84.27866,114.82544,139.3029,135.25214,120.96816,109.53564,112.78742,117.80881,119.02426,121.363014,127.74934,126.354355,123.72577,120.694145,124.56999,134.99023,127.93153,131.23697,132.3816,135.01509,120.92099,124.432495,123.92025,130.02167,129.7986,123.40771,126.96356,124.42247,111.60016,95.12565,11.591744,both img and text,Text tokens
2,42.34937,66.12888,82.68097,89.86124,82.37834,74.88516,85.71738,116.36258,141.70424,137.20392,122.47969,110.72381,113.90763,118.553955,119.341385,121.51096,127.97468,127.34178,125.62036,122.30082,125.555084,136.52908,130.14243,133.40106,134.3684,136.83731,123.83319,128.1594,127.95234,134.44566,134.50974,127.99689,131.54987,129.03351,116.038216,97.5263,12.1195755,both img and text,Text tokens
3,42.258385,65.28199,81.20366,87.82123,80.85518,73.97866,85.38787,116.357475,141.50032,137.48029,123.086945,111.365456,114.98026,119.94275,120.80728,122.804955,129.2761,127.22707,125.94118,124.10363,127.56739,139.03958,131.80655,135.35162,136.96161,139.05397,125.72613,128.97058,128.61948,134.62909,134.77084,128.296,132.0116,129.2433,115.63132,94.963356,10.6072,both img and text,Text tokens
4,42.966278,65.78258,81.63203,88.45246,81.22495,74.2131,85.63926,116.53404,141.91068,138.27606,123.37395,111.45763,114.54145,119.812805,121.336975,123.68742,130.23318,128.85101,126.67246,123.648506,126.728165,137.60674,131.264,134.3204,135.151,138.03152,125.10687,129.6983,129.62466,136.08582,136.65968,130.7883,134.22693,131.58945,119.13005,100.49014,13.685995,both img and text,Text tokens
5,42.488857,65.43249,81.52253,88.540276,80.89613,73.69949,84.592674,115.578835,140.92319,137.05313,122.72002,110.86196,114.454254,119.79202,121.17172,123.46869,129.64952,127.85567,125.53676,122.47497,124.905754,134.93945,127.796,131.21701,132.3846,134.74513,121.326675,124.89497,124.551155,130.88495,130.74327,124.31447,128.24799,125.95336,114.16135,98.468094,13.022604,both img and text,Text tokens
6,42.04952,64.62643,80.29095,87.168175,79.98265,72.913185,83.94433,114.34178,138.99245,135.26279,120.93131,109.60523,113.44823,119.091545,120.43786,122.68304,129.04262,127.817024,125.64887,122.09135,125.70629,136.24457,128.92175,131.97969,132.96155,135.65123,122.190704,126.22243,125.61604,131.73051,131.66357,125.065056,128.94887,126.609245,114.420586,96.074646,12.031848,both img and text,Text tokens
7,42.223137,65.05704,81.02161,87.90427,80.25787,73.01356,84.461105,115.651054,140.37558,136.18443,121.82529,110.139305,113.92849,119.23018,120.52144,122.85428,129.20444,128.2168,126.0283,122.749275,125.2963,135.1559,128.41309,131.65164,132.72154,135.2753,122.27161,125.83763,125.320496,132.00372,131.60287,124.89878,128.50496,125.925446,112.19154,92.663086,12.044368,both img and text,Text tokens
8,42.456482,65.85389,82.23866,89.29639,81.80628,74.45433,85.964226,117.572205,143.36009,139.47519,124.56215,112.6327,116.45056,121.46531,122.702644,124.59654,131.07417,129.50246,127.42288,123.86945,127.49576,137.51091,130.28094,134.20901,135.43129,137.6782,124.03784,127.97235,126.97277,133.55013,133.62617,126.982635,131.04031,127.76109,115.192635,98.142265,11.662443,both img and text,Text tokens
9,42.619045,66.01162,82.257484,89.4911,82.007935,74.6238,85.85445,116.76521,141.48575,137.23755,122.64029,110.84071,114.00772,118.91546,119.86465,121.87223,128.24413,126.165855,124.78591,122.53192,125.66794,137.06332,129.78653,133.02267,133.64268,136.03302,122.96007,126.82495,126.106255,132.3218,132.22409,125.52354,128.97224,125.64445,112.86151,92.38632,11.820739,both img and text,Text tokens
0,42.722908,66.32388,82.6732,90.10087,82.823494,76.16398,87.989975,120.23559,145.79013,142.133,127.258804,115.30238,118.92828,124.292305,125.6886,128.26297,135.63531,133.25859,130.70955,125.566345,126.7735,136.23216,130.49863,133.74577,135.16138,136.62236,125.603584,129.31438,128.95576,134.55164,134.07353,127.95411,130.84856,127.32023,115.72061,100.31852,13.653159,only text,Text only tokens
1,42.42967,65.14632,81.14285,88.43956,81.23666,74.305046,85.820145,117.40795,143.3917,139.64754,125.07538,113.177475,116.534386,121.77186,123.124985,125.61336,132.7868,130.21008,127.394325,122.97518,124.74528,134.05641,127.59666,130.88556,132.18997,133.59834,121.73435,124.856026,124.47375,130.24765,129.17609,122.13875,125.095,121.65457,109.12692,95.35199,13.890824,only text,Text only tokens
2,42.34937,66.24205,82.93166,90.41988,82.99915,76.08201,87.28975,118.899635,145.69,141.58638,126.7182,114.46293,117.69976,122.394165,123.21033,125.61371,132.98044,131.51424,129.39864,124.371284,125.25664,134.68617,128.96977,132.46187,133.82907,135.53699,124.23246,128.17017,128.34616,134.27904,133.64435,126.492775,129.50018,125.84554,113.01047,96.66311,13.460973,only text,Text only tokens
3,42.258385,65.41757,81.46312,88.4348,81.49556,75.11199,86.91678,118.79949,145.28589,141.83795,127.12847,115.03258,118.6049,123.60371,124.65098,126.999344,134.15877,132.73343,130.69286,127.12762,128.07271,138.03232,132.0121,135.79056,137.67834,138.64883,127.26432,130.02792,129.84807,135.73761,135.1189,127.87159,130.61566,126.77525,113.70207,96.09132,11.96443,only text,Text only tokens
4,42.966278,65.900856,81.857124,89.00027,81.88665,75.32806,87.21436,118.92987,145.85419,142.80835,127.822876,115.48187,118.60315,123.78748,125.62911,128.1778,135.37292,133.54204,130.99438,126.263176,127.72291,137.37006,131.84206,134.94467,136.3256,137.7976,126.468346,130.55981,130.28592,136.21092,135.77055,129.16753,131.64517,128.16667,116.11034,99.29204,15.775128,only text,Text only tokens
5,42.488857,65.52909,81.75325,89.08803,81.56082,74.87462,86.14318,118.12859,144.93025,141.47002,126.81576,114.65987,118.292564,123.570755,125.08521,127.58898,134.84015,132.43022,129.5431,124.25605,125.00496,133.88545,127.063866,130.28816,132.01953,133.54555,121.59158,124.908905,124.86877,130.77881,129.64024,122.57656,125.553406,122.37332,110.98494,96.92619,15.016507,only text,Text only tokens
6,42.04952,64.74459,80.570496,87.74617,80.59148,74.03774,85.47995,116.815,142.97862,139.71281,125.01372,113.18697,117.00945,122.53904,123.88481,126.48227,134.27359,132.31902,130.07417,125.25825,127.15345,136.37262,130.10204,132.69945,134.31067,135.52495,123.80408,127.38928,127.145935,132.8832,131.78995,124.60035,127.67199,124.43546,112.74823,97.56433,13.71939,only text,Text only tokens
7,42.223137,65.1374,81.21113,88.38766,80.81988,74.13839,85.977554,118.13615,144.21805,140.50284,125.84375,113.74882,117.52837,122.92395,124.34442,127.00705,134.18597,132.69281,130.02315,124.90439,125.65463,134.37088,128.3663,131.55275,132.58604,133.79463,122.25942,125.40316,125.297966,131.8535,130.64955,123.39476,126.33261,122.99114,110.19825,93.74111,14.175559,only text,Text only tokens
8,42.456482,65.98431,82.515274,89.901184,82.446686,75.65354,87.49081,119.96631,147.04019,143.48561,128.33797,116.1414,120.17604,125.19144,126.32689,128.33998,135.78842,133.83853,131.54027,126.426445,127.47423,136.40396,129.95596,133.19666,134.9554,136.5444,124.89592,128.63457,127.842636,133.83841,133.0452,125.70526,128.7568,125.0535,112.93617,98.1038,14.130835,only text,Text only tokens
9,42.619045,66.15042,82.5429,90.085365,82.657234,75.77774,87.43188,119.337746,145.57828,141.83194,126.97429,114.76335,118.07622,123.010254,123.83673,126.2362,133.47615,132.60248,130.63106,126.163445,126.72551,136.54506,130.76198,134.19295,135.20158,136.51608,125.40777,128.88051,128.5551,134.64899,133.55516,126.372375,129.26068,125.203606,112.75522,94.15909,13.06644,only text,Text only tokens
