,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,contains,label,sample,Mean over
0,3.012362,3.4107833,4.3562994,6.6904373,10.773528,20.923525,35.197083,53.413776,70.509155,85.20099,101.15113,113.74528,126.34785,133.77946,135.55301,147.84084,147.06824,143.11989,145.89528,143.49272,141.4929,142.8104,147.16843,142.96199,144.73294,141.36234,144.03825,142.56674,142.76607,132.30905,121.233345,100.61865,45.053837,both img and text,1,0,All tokens
1,2.8948498,3.2528043,4.1544538,6.1329694,9.591601,18.089903,30.249535,46.75192,62.96984,77.216515,93.54433,106.9349,119.18869,127.65756,132.3146,144.66331,144.04953,141.08395,144.18828,142.33817,140.92615,142.6019,146.56413,143.36975,145.46321,142.65501,146.0799,145.90788,146.21544,136.13417,125.024216,103.16678,46.418247,both img and text,1,1,All tokens
2,2.9527051,3.354949,4.3341656,6.7217083,10.956739,21.432236,36.1776,54.947815,72.77515,88.15544,104.60085,117.00565,129.86136,137.83723,139.95045,153.01094,152.16061,148.72182,152.14777,150.06398,148.96284,150.55106,155.248,151.5179,153.80544,150.61446,153.9395,152.9232,153.03372,142.20459,129.77705,107.371185,47.99683,both img and text,1,2,All tokens
3,2.6711645,2.968676,3.742641,5.4187784,8.29753,15.436969,26.02193,41.05045,56.4818,70.59208,86.805855,100.58622,113.0324,121.32164,126.413,138.36069,138.42616,135.97498,139.466,138.10027,137.07516,138.72568,142.89172,139.66519,141.72598,138.42793,141.7838,141.56058,141.6618,131.82187,120.73766,100.30206,44.664207,both img and text,1,3,All tokens
4,3.0045242,3.4184296,4.2118406,5.651776,8.003615,13.434045,21.338503,32.699703,44.2857,55.00087,68.28415,81.65788,93.25022,102.196144,111.69487,123.6771,127.67936,128.84715,133.72862,134.28525,134.56633,136.56796,141.04225,138.5143,140.97858,139.0291,142.70848,142.89465,143.16063,134.01448,123.212616,102.66563,47.75037,both img and text,1,4,All tokens
5,2.6721618,2.958694,3.6992023,5.330016,8.130157,15.103513,25.46265,40.17707,55.45366,69.50285,85.40616,99.22024,112.06061,120.886925,126.22886,138.21739,137.99323,135.05191,138.09683,136.51086,135.16858,136.76086,140.74771,137.58829,139.4799,135.90231,138.85857,138.59087,138.77226,129.84761,119.58701,100.258835,45.23836,both img and text,1,5,All tokens
6,2.7698407,3.0953557,3.9398935,5.6228976,8.498491,15.533116,25.943506,40.62683,55.59788,69.35894,85.12607,98.87735,111.30643,119.94435,125.932945,137.9212,138.29216,136.6711,140.35036,139.11281,138.08736,139.67426,143.65607,140.39668,142.3098,138.79562,141.99135,141.75438,141.98567,132.32848,121.20901,100.90265,45.559284,both img and text,1,6,All tokens
7,2.8913887,3.2601833,4.1864543,6.2339325,9.768325,18.680037,31.409363,48.314507,64.86551,79.46124,95.36554,108.54556,121.254265,129.48512,133.1524,144.91512,144.4057,141.2395,144.44792,142.54016,141.15057,143.0155,147.14548,144.22533,146.23009,143.05214,146.0118,145.75719,145.99753,136.17793,124.90195,103.52785,46.911617,both img and text,1,7,All tokens
8,3.0027897,3.3977313,4.347636,6.317438,9.686664,17.952085,29.863314,46.0768,62.229748,76.669235,93.01272,106.98733,119.915634,128.84691,134.11298,146.76672,147.28221,144.60849,148.02951,146.40445,145.15411,146.80684,151.55237,148.0291,150.10262,146.93689,150.3222,149.75381,150.0898,139.88942,129.12367,107.68755,47.978592,both img and text,1,8,All tokens
9,2.6496615,2.9217546,3.6534824,5.130845,7.6646633,13.972017,23.421919,37.117077,51.617794,65.291016,80.97541,95.206696,108.36988,117.40447,123.53406,135.32117,136.34453,134.44434,137.82626,136.55579,135.83551,137.73434,141.81393,138.79013,140.78886,137.5986,140.56146,140.82579,141.14742,132.15784,121.79265,101.49179,46.305103,both img and text,1,9,All tokens
10,3.1095822,3.554067,4.6001263,6.926538,10.997044,20.862314,34.703945,52.592964,69.46197,83.79948,99.89311,112.884964,125.1219,132.984,137.0217,149.48962,149.6869,146.02962,148.92854,147.02498,145.85982,147.34804,151.78612,147.59091,149.9278,146.98622,150.30023,148.9522,149.56734,139.65701,128.31667,107.21602,48.34777,both img and text,0,10,All tokens
11,2.8260705,3.1385446,3.8871725,5.7336774,8.991387,17.134468,29.067982,45.34361,61.930557,77.0081,93.501564,107.480156,121.025635,129.60841,133.4031,145.90997,145.7164,142.6261,146.30138,144.90523,143.84937,145.84543,150.28775,147.42844,149.53432,146.30276,149.7251,149.43744,149.87761,140.06328,127.8939,105.84299,47.494934,both img and text,0,11,All tokens
12,2.6844826,2.9763062,3.7651327,5.358401,8.109646,14.884778,24.913805,39.19303,54.303265,68.350075,84.641525,98.58255,111.360466,120.1911,125.952705,138.1484,138.2642,135.49687,138.40865,136.99432,135.50848,136.74443,140.19049,137.15564,138.93793,135.95953,138.59503,138.64235,138.86957,129.49129,118.437164,98.58099,43.658875,both img and text,0,12,All tokens
