,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,contains,label,sample,Mean over
0,2.9859998,3.0683622,3.4800756,3.824142,4.37521,5.526364,7.3095784,9.93708,13.710402,18.402473,25.20208,33.81955,42.708412,50.7706,60.2498,69.680626,76.97132,81.55075,85.863464,87.818756,88.945404,89.749,92.66865,91.62376,93.582245,90.12614,93.579575,93.937584,94.8656,91.58881,87.66838,80.1292,39.573586,both img and text,1,0,All tokens
1,3.120457,3.213608,3.671629,4.061577,4.6789594,5.985892,7.9888387,10.9483385,15.1374445,20.249104,27.505814,36.309162,45.354343,53.425236,62.618755,72.050934,79.05425,83.27681,87.57676,89.399826,90.42454,91.29392,94.36714,93.257774,95.21105,91.88145,95.125916,95.06112,96.03585,92.670334,88.70788,81.42832,40.603397,both img and text,1,1,All tokens
2,3.1162305,3.2070873,3.7731113,4.13711,4.7092814,5.9138355,7.733137,10.412588,14.155758,18.76386,25.397089,33.7205,42.310223,50.11227,59.365124,68.67593,76.158455,80.75986,85.030846,87.24826,88.26337,89.21301,91.98696,90.927986,93.00154,89.903366,93.05197,93.24652,94.09172,91.03901,87.13937,79.87045,40.06668,both img and text,1,2,All tokens
3,2.7027838,2.7700303,3.1245565,3.411069,3.8711684,4.849828,6.3674493,8.625984,11.886908,15.990765,22.052404,29.828785,38.0952,45.56762,54.889885,63.511883,70.62127,75.05701,79.09158,80.95421,81.91801,83.012405,85.631424,84.79896,86.49815,82.652466,85.821335,86.27451,87.28308,84.21218,80.46618,73.25048,35.872265,both img and text,1,3,All tokens
4,2.8483906,2.923346,3.415117,3.7273846,4.214069,5.216409,6.7438946,8.997244,12.238311,16.303654,22.27392,29.939915,37.902756,45.236366,54.630447,63.67551,71.18816,76.357506,80.83648,83.18934,84.50744,85.79711,88.46326,87.86433,89.713234,86.025536,89.44908,89.84028,90.99761,88.3579,84.999596,78.52995,40.390167,both img and text,1,4,All tokens
5,3.2883918,3.3964589,3.919847,4.396098,5.149152,6.7226524,9.206686,12.843025,17.953243,24.100143,32.690575,42.537315,52.188545,60.365578,69.3431,78.72757,85.19949,88.74299,92.78078,94.29041,94.87053,95.67307,98.50168,97.147125,99.007614,95.53849,98.998024,99.06384,99.72577,95.98155,91.37641,83.150314,42.221294,both img and text,1,5,All tokens
6,3.3380466,3.4492946,3.892681,4.3845773,5.1481338,6.754023,9.271461,12.9314165,18.01343,24.145803,32.651627,42.48299,52.329765,60.65055,69.56532,79.83066,86.54568,90.10173,94.36809,95.6603,96.197914,96.98555,100.2139,98.684235,100.632324,97.1981,100.68392,100.473854,101.229485,97.27939,92.51051,84.260216,41.421646,both img and text,1,6,All tokens
7,2.9243226,3.0064266,3.4740345,3.819508,4.368504,5.500436,7.2500744,9.82842,13.533731,18.099163,24.744156,33.04707,41.63462,49.293987,58.538795,67.463005,74.59552,79.315155,83.538864,85.59908,86.57321,87.4944,90.33933,89.32083,91.033066,87.23486,90.59177,90.64552,91.63437,88.65397,85.18836,78.437965,40.745274,both img and text,1,7,All tokens
8,3.0669067,3.1551733,3.6238375,3.990254,4.5622954,5.755663,7.5925145,10.293857,14.10483,18.858969,25.652067,34.159473,43.00479,50.79539,60.162815,69.68783,77.06938,82.028275,86.61062,88.9195,90.19892,91.369965,94.48471,93.75278,95.70177,92.30107,95.923904,96.27941,97.17123,93.86255,89.878204,82.252266,42.081776,both img and text,1,8,All tokens
9,3.2286456,3.3210096,3.7973006,4.190383,4.799296,6.06816,8.011641,10.874919,14.896795,19.817575,26.890532,35.60835,44.76467,52.90609,62.256134,72.3181,80.01351,84.71518,89.09912,90.89574,91.54004,92.02232,94.90794,92.99382,94.96983,91.824425,95.032745,94.32535,95.10922,91.6796,87.90547,81.02914,40.603436,both img and text,1,9,All tokens
10,3.2405593,3.3394005,3.8169715,4.2372794,4.8982854,6.2961936,8.47411,11.682242,16.156096,21.708426,29.613922,38.838085,48.443203,56.7908,66.03513,75.87941,82.81216,86.95126,91.344086,93.045235,93.66435,94.78132,97.8302,96.76576,98.6887,95.49386,98.886444,98.91761,99.682976,95.928795,91.32232,83.2414,40.982006,both img and text,0,10,All tokens
11,2.7437418,2.8101327,3.1171036,3.4071097,3.8600788,4.8104553,6.2910366,8.491212,11.674241,15.745364,21.691998,29.395243,37.622593,45.21642,54.58724,63.669403,70.70524,75.49275,79.59963,81.520775,82.53602,83.430786,85.984245,85.04277,86.663086,83.226204,86.350746,86.61855,87.63106,84.644394,81.06307,74.52615,37.33865,both img and text,0,11,All tokens
12,3.1476278,3.2391276,3.6710827,4.061018,4.661678,5.9366264,7.884388,10.770188,14.813437,19.738564,26.907784,35.907322,45.032555,53.03763,62.47092,72.1643,79.21556,83.54664,87.62141,89.4055,89.75196,90.40652,93.386284,91.92404,93.74244,90.40914,93.7003,93.37043,94.09445,90.43799,86.70206,79.24114,38.87608,both img and text,0,12,All tokens
13,2.8947072,2.9719834,3.3744345,3.7025406,4.2109714,5.274095,6.90359,9.291888,12.760069,17.11142,23.488815,31.607668,39.78713,47.471138,56.84019,66.05236,73.35156,78.289246,82.449394,84.62914,85.6567,86.639,89.454704,88.83919,90.614784,87.324844,90.448944,90.58286,91.44704,88.14733,84.558754,77.518555,38.559418,both img and text,0,13,All tokens
14,2.8449752,2.923663,3.3890135,3.7251399,4.252905,5.3600936,7.080705,9.66711,13.355163,17.946033,24.585375,32.76731,41.278927,48.90683,57.888756,66.68934,73.590805,77.78129,81.86615,83.46083,84.365036,85.54258,88.6084,87.81971,89.789154,86.78289,89.97258,90.39001,91.3285,88.04235,84.249016,76.99092,37.92898,both img and text,0,14,All tokens
