,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer
0,0.6896551724137931,0.7714285714285715,0.7806349418678034,0.6896551724137931,0.6666666666666666,0.7142857142857143,sentence_all,0
1,0.6896551724137931,0.7714285714285715,0.7806349418678034,0.6896551724137931,0.6666666666666666,0.7142857142857143,sentence_all,1
2,0.6896551724137931,0.780952380952381,0.7961432779253386,0.6896551724137931,0.6666666666666666,0.7142857142857143,sentence_all,2
3,0.6896551724137931,0.8,0.8088536279436322,0.6896551724137931,0.6666666666666666,0.7142857142857143,sentence_all,3
4,0.6896551724137931,0.8047619047619048,0.8113598936077927,0.6896551724137931,0.6666666666666666,0.7142857142857143,sentence_all,4
5,0.6896551724137931,0.7904761904761904,0.7884630682109673,0.6896551724137931,0.6666666666666666,0.7142857142857143,sentence_all,5
6,0.6896551724137931,0.780952380952381,0.790021761863867,0.6896551724137931,0.6666666666666666,0.7142857142857143,sentence_all,6
7,0.7241379310344828,0.780952380952381,0.7954639387346153,0.7142857142857143,0.7142857142857143,0.7142857142857143,sentence_all,7
8,0.7241379310344828,0.7857142857142857,0.7955733764490951,0.7142857142857143,0.7142857142857143,0.7142857142857143,sentence_all,8
9,0.7241379310344828,0.780952380952381,0.7910115876187304,0.7142857142857143,0.7142857142857143,0.7142857142857143,sentence_all,9
10,0.7241379310344828,0.7904761904761904,0.7918140589569159,0.7142857142857143,0.7142857142857143,0.7142857142857143,sentence_all,10
11,0.7241379310344828,0.7761904761904762,0.7780658506434903,0.7142857142857143,0.7142857142857143,0.7142857142857143,sentence_all,11
12,0.7586206896551724,0.7666666666666666,0.7611575655903386,0.7586206896551724,0.7333333333333333,0.7857142857142857,sentence_all,12
13,0.7241379310344828,0.7761904761904762,0.767611476586175,0.7142857142857143,0.7142857142857143,0.7142857142857143,sentence_all,13
14,0.7586206896551724,0.7904761904761906,0.790805477202536,0.7407407407407407,0.7692307692307693,0.7142857142857143,sentence_all,14
15,0.7586206896551724,0.780952380952381,0.7068731595202183,0.7407407407407407,0.7692307692307693,0.7142857142857143,sentence_all,15
16,0.7586206896551724,0.8,0.7761499611499612,0.7407407407407407,0.7692307692307693,0.7142857142857143,sentence_all,16
17,0.7931034482758621,0.8142857142857143,0.8060819339390768,0.7857142857142857,0.7857142857142857,0.7857142857142857,sentence_all,17
18,0.7931034482758621,0.7999999999999999,0.7940612165612164,0.7857142857142857,0.7857142857142857,0.7857142857142857,sentence_all,18
19,0.7586206896551724,0.7999999999999999,0.7940612165612164,0.7407407407407407,0.7692307692307693,0.7142857142857143,sentence_all,19
20,0.7241379310344828,0.8095238095238094,0.8100291254639079,0.6923076923076923,0.75,0.6428571428571429,sentence_all,20
21,0.7241379310344828,0.8142857142857143,0.8086607836607835,0.6923076923076923,0.75,0.6428571428571429,sentence_all,21
22,0.7241379310344828,0.7952380952380952,0.7943179318955715,0.6923076923076923,0.75,0.6428571428571429,sentence_all,22
23,0.7241379310344828,0.7952380952380953,0.7922284065141207,0.6923076923076923,0.75,0.6428571428571429,sentence_all,23
24,0.7241379310344828,0.8095238095238095,0.7988927947574562,0.6923076923076923,0.75,0.6428571428571429,sentence_all,24
25,0.6896551724137931,0.819047619047619,0.8089577298223913,0.6666666666666666,0.6923076923076923,0.6428571428571429,sentence_all,25
26,0.6896551724137931,0.8238095238095238,0.8168291163632777,0.6666666666666666,0.6923076923076923,0.6428571428571429,sentence_all,26
27,0.7241379310344828,0.8238095238095239,0.8176758290728878,0.7142857142857143,0.7142857142857143,0.7142857142857143,sentence_all,27
28,0.7586206896551724,0.8142857142857143,0.8100905780665841,0.7407407407407407,0.7692307692307693,0.7142857142857143,sentence_all,28
29,0.7586206896551724,0.8476190476190476,0.8390668854954568,0.7407407407407407,0.7692307692307693,0.7142857142857143,sentence_all,29
30,0.7586206896551724,0.8571428571428572,0.8523605362891077,0.7407407407407407,0.7692307692307693,0.7142857142857143,sentence_all,30
31,0.7931034482758621,0.8476190476190476,0.8305237246413716,0.7857142857142857,0.7857142857142857,0.7857142857142857,sentence_all,31
