,accuracy,auroc,auprc,f1,precision,recall,embedding_level
0,0.9777777777777777,0.9975308641975309,0.99769211388259,0.9772727272727273,1.0,0.9555555555555556,sentence_all
1,0.9777777777777777,0.9975308641975309,0.99769211388259,0.9772727272727273,1.0,0.9555555555555556,sentence_all
2,0.9777777777777777,0.9975308641975309,0.99769211388259,0.9772727272727273,1.0,0.9555555555555556,sentence_all
3,0.9666666666666667,0.9980246913580247,0.9981172839506174,0.9662921348314607,0.9772727272727273,0.9555555555555556,sentence_all
4,0.9777777777777777,0.9990123456790123,0.9990230810520666,0.9772727272727273,1.0,0.9555555555555556,sentence_all
5,0.9777777777777777,0.9990123456790123,0.9990230810520666,0.9772727272727273,1.0,0.9555555555555556,sentence_all
6,0.9777777777777777,0.9980246913580247,0.9980881899475794,0.9772727272727273,1.0,0.9555555555555556,sentence_all
7,0.9777777777777777,0.9990123456790124,0.9990543735224586,0.9772727272727273,1.0,0.9555555555555556,sentence_all
8,0.9777777777777777,0.9990123456790124,0.9990543735224586,0.9772727272727273,1.0,0.9555555555555556,sentence_all
9,0.9555555555555556,0.9960493827160494,0.9965147198480533,0.9534883720930233,1.0,0.9111111111111111,sentence_all
10,0.9444444444444444,0.9945679012345678,0.9948296390046114,0.9425287356321839,0.9761904761904762,0.9111111111111111,sentence_all
11,0.9333333333333333,0.994074074074074,0.9943749790261418,0.9302325581395349,0.975609756097561,0.8888888888888888,sentence_all
12,0.9333333333333333,0.9930864197530864,0.9932904767812224,0.9318181818181818,0.9534883720930233,0.9111111111111111,sentence_all
13,0.9333333333333333,0.9920987654320987,0.9923427643629218,0.9302325581395349,0.975609756097561,0.8888888888888888,sentence_all
14,0.9444444444444444,0.9901234567901234,0.9908627255720099,0.9425287356321839,0.9761904761904762,0.9111111111111111,sentence_all
15,0.9444444444444444,0.9911111111111112,0.9918893796784639,0.9425287356321839,0.9761904761904762,0.9111111111111111,sentence_all
16,0.9555555555555556,0.9911111111111112,0.9922243409931509,0.9545454545454546,0.9767441860465116,0.9333333333333333,sentence_all
17,0.9666666666666667,0.9930864197530864,0.9938368298368299,0.9655172413793104,1.0,0.9333333333333333,sentence_all
18,0.9666666666666667,0.9940740740740741,0.9948250622163666,0.9655172413793104,1.0,0.9333333333333333,sentence_all
19,0.9666666666666667,0.9965432098765431,0.9967789001122335,0.9655172413793104,1.0,0.9333333333333333,sentence_all
20,0.9777777777777777,1.0,1.0,0.9772727272727273,1.0,0.9555555555555556,sentence_all
21,0.9888888888888889,1.0,1.0,0.9887640449438202,1.0,0.9777777777777777,sentence_all
22,0.9888888888888889,0.9995061728395062,0.9995169082125603,0.9887640449438202,1.0,0.9777777777777777,sentence_all
23,0.9888888888888889,0.9995061728395062,0.9995169082125603,0.9887640449438202,1.0,0.9777777777777777,sentence_all
