,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,task,target
0,0.8282828282828283,0.9040816326530612,0.9027337135018962,0.8172043010752689,0.8636363636363636,0.7755102040816326,sentence_all,0,['color'],['blue']
1,0.8383838383838383,0.906530612244898,0.9051159847597632,0.8297872340425532,0.8666666666666667,0.7959183673469388,sentence_all,1,['color'],['blue']
2,0.8383838383838383,0.9089795918367347,0.909055127937491,0.8297872340425532,0.8666666666666667,0.7959183673469388,sentence_all,2,['color'],['blue']
3,0.8383838383838383,0.909795918367347,0.9084469853673693,0.8297872340425532,0.8666666666666667,0.7959183673469388,sentence_all,3,['color'],['blue']
4,0.8383838383838383,0.9089795918367347,0.9091241849198675,0.8297872340425532,0.8666666666666667,0.7959183673469388,sentence_all,4,['color'],['blue']
5,0.8282828282828283,0.9110204081632652,0.9140536899114796,0.8172043010752689,0.8636363636363636,0.7755102040816326,sentence_all,5,['color'],['blue']
6,0.8282828282828283,0.9220408163265306,0.928088926059746,0.8172043010752689,0.8636363636363636,0.7755102040816326,sentence_all,6,['color'],['blue']
7,0.8282828282828283,0.9146938775510204,0.9218994280102892,0.8172043010752689,0.8636363636363636,0.7755102040816326,sentence_all,7,['color'],['blue']
8,0.8484848484848485,0.9130612244897959,0.922092864887674,0.8421052631578947,0.8695652173913043,0.8163265306122449,sentence_all,8,['color'],['blue']
9,0.8282828282828283,0.9073469387755101,0.9190983934568782,0.8172043010752689,0.8636363636363636,0.7755102040816326,sentence_all,9,['color'],['blue']
10,0.8080808080808081,0.896326530612245,0.9132341259591221,0.7956989247311828,0.8409090909090909,0.7551020408163265,sentence_all,10,['color'],['blue']
11,0.8181818181818182,0.8955102040816327,0.9127012146284101,0.8043478260869565,0.8604651162790697,0.7551020408163265,sentence_all,11,['color'],['blue']
12,0.8383838383838383,0.8857142857142858,0.9067812592787897,0.8297872340425532,0.8666666666666667,0.7959183673469388,sentence_all,12,['color'],['blue']
13,0.8282828282828283,0.8951020408163265,0.9157172690496987,0.8172043010752689,0.8636363636363636,0.7755102040816326,sentence_all,13,['color'],['blue']
14,0.8181818181818182,0.8942857142857144,0.9182338414433633,0.8043478260869565,0.8604651162790697,0.7551020408163265,sentence_all,14,['color'],['blue']
15,0.8484848484848485,0.9212244897959183,0.9409029373403361,0.8387096774193549,0.8863636363636364,0.7959183673469388,sentence_all,15,['color'],['blue']
16,0.8484848484848485,0.9102040816326531,0.9307579470741347,0.8387096774193549,0.8863636363636364,0.7959183673469388,sentence_all,16,['color'],['blue']
17,0.8686868686868687,0.9261224489795918,0.9422274241030932,0.8631578947368421,0.8913043478260869,0.8367346938775511,sentence_all,17,['color'],['blue']
18,0.8686868686868687,0.9261224489795917,0.9391544927028141,0.8631578947368421,0.8913043478260869,0.8367346938775511,sentence_all,18,['color'],['blue']
19,0.8585858585858586,0.9306122448979591,0.9397357461253716,0.8541666666666666,0.8723404255319149,0.8367346938775511,sentence_all,19,['color'],['blue']
20,0.8383838383838383,0.9281632653061225,0.9334645616371244,0.8333333333333334,0.851063829787234,0.8163265306122449,sentence_all,20,['color'],['blue']
21,0.8383838383838383,0.9355102040816327,0.9413939645815381,0.8333333333333334,0.851063829787234,0.8163265306122449,sentence_all,21,['color'],['blue']
22,0.8686868686868687,0.9620408163265306,0.9652128708153103,0.8686868686868687,0.86,0.8775510204081632,sentence_all,22,['color'],['blue']
23,0.8686868686868687,0.9587755102040816,0.9616607230927738,0.865979381443299,0.875,0.8571428571428571,sentence_all,23,['color'],['blue']
24,0.8888888888888888,0.9595918367346938,0.9615643509402994,0.8888888888888888,0.88,0.8979591836734694,sentence_all,24,['color'],['blue']
25,0.898989898989899,0.966530612244898,0.9668555517690083,0.9019607843137255,0.8679245283018868,0.9387755102040817,sentence_all,25,['color'],['blue']
26,0.9090909090909091,0.9742857142857142,0.9748264075681954,0.9090909090909091,0.9,0.9183673469387755,sentence_all,26,['color'],['blue']
27,0.9292929292929293,0.9751020408163265,0.9753717451087338,0.9292929292929293,0.92,0.9387755102040817,sentence_all,27,['color'],['blue']
28,0.9191919191919192,0.9771428571428571,0.9777069346311829,0.92,0.9019607843137255,0.9387755102040817,sentence_all,28,['color'],['blue']
29,0.9292929292929293,0.9763265306122448,0.9763751332504146,0.9292929292929293,0.92,0.9387755102040817,sentence_all,29,['color'],['blue']
30,0.9292929292929293,0.9775510204081633,0.9776487208763931,0.9278350515463918,0.9375,0.9183673469387755,sentence_all,30,['color'],['blue']
31,0.9393939393939394,0.9775510204081632,0.978030295266626,0.9387755102040817,0.9387755102040817,0.9387755102040817,sentence_all,31,['color'],['blue']
32,0.9090909090909091,0.9771428571428571,0.9788487064778736,0.9052631578947369,0.9347826086956522,0.8775510204081632,sentence_all,32,['color'],['blue']
0,0.9191919191919192,0.9677551020408163,0.9709300257013583,0.9166666666666666,0.9361702127659575,0.8979591836734694,sentence_img,0,['color'],['blue']
1,0.9090909090909091,0.9681632653061224,0.9713629261342588,0.9072164948453608,0.9166666666666666,0.8979591836734694,sentence_img,1,['color'],['blue']
2,0.898989898989899,0.966938775510204,0.9700976842922375,0.8979591836734694,0.8979591836734694,0.8979591836734694,sentence_img,2,['color'],['blue']
3,0.898989898989899,0.9689795918367347,0.9723198278751785,0.8958333333333334,0.9148936170212766,0.8775510204081632,sentence_img,3,['color'],['blue']
4,0.9191919191919192,0.9697959183673469,0.9735172543823718,0.9148936170212766,0.9555555555555556,0.8775510204081632,sentence_img,4,['color'],['blue']
5,0.9292929292929293,0.9706122448979592,0.9750086285148298,0.9247311827956989,0.9772727272727273,0.8775510204081632,sentence_img,5,['color'],['blue']
6,0.9292929292929293,0.9730612244897959,0.9777243760668115,0.9247311827956989,0.9772727272727273,0.8775510204081632,sentence_img,6,['color'],['blue']
