,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,contains,label,sample,Mean over
0,2.8595114,3.0167534,3.545863,4.343155,5.6289735,8.640542,13.272767,20.463932,29.381968,38.614334,50.661358,63.230827,75.34677,85.10767,94.56949,106.32049,110.99859,112.36372,116.515724,116.64402,116.78114,118.1837,122.042274,119.7127,121.50649,117.80138,121.42258,121.801704,122.13409,115.13219,106.61333,90.69796,40.53907,both img and text,1,0,All tokens
1,3.1385028,3.3447397,4.0204897,4.997865,6.5744066,10.334203,16.06124,24.659353,34.845078,45.106743,58.18184,71.06606,83.72642,93.46202,101.98099,113.867386,117.97368,119.21319,123.80419,124.00355,123.77297,125.43827,129.46783,127.495384,129.19568,125.80109,129.23918,129.6212,129.63814,121.76251,112.831375,94.98342,42.693634,both img and text,1,1,All tokens
2,2.9992824,3.167103,3.7702303,4.5626326,5.841181,8.789275,13.245145,20.049042,28.318476,37.037773,48.571907,60.876087,72.83975,82.36943,92.12871,103.606804,109.296265,111.512695,116.0172,116.88493,117.24068,118.45207,122.150795,120.037315,121.87468,118.53678,122.25347,122.29214,122.33307,115.50396,107.34443,91.01509,41.469547,both img and text,1,2,All tokens
3,3.3316512,3.5616705,4.319121,5.316092,6.9258413,10.617008,16.102453,24.322426,33.673904,43.107067,55.2134,67.4389,79.11935,88.463684,97.748924,109.443436,114.31795,116.230934,120.56495,121.11951,121.1355,122.5972,126.50779,124.43724,126.41476,123.56963,127.24697,127.27919,127.43236,120.56887,112.31558,95.46954,43.32668,both img and text,1,3,All tokens
4,3.0406365,3.2353044,3.840865,4.805944,6.356769,10.092329,15.799744,24.4779,34.740234,45.00963,58.091637,70.81827,83.11492,92.42346,100.51607,111.95647,115.76604,116.32458,120.29093,120.04207,119.79397,121.181656,125.175186,122.70236,124.337425,120.81996,124.258896,124.441986,124.523964,117.154,109.37051,93.40423,41.92471,both img and text,1,4,All tokens
5,3.1273685,3.3200648,3.9744143,4.910375,6.4065213,9.948442,15.35394,23.561825,33.361084,43.474304,56.25199,68.93462,81.49353,91.12917,99.66996,112.12818,117.14958,118.1571,122.260124,122.49862,122.3955,124.1524,128.52892,125.93974,127.95539,124.071266,128.30371,128.26897,128.9734,121.684906,114.10219,98.32808,44.048424,both img and text,1,5,All tokens
6,2.760998,2.9009485,3.3721144,4.076319,5.221427,7.9023046,12.029875,18.384657,26.474636,35.11117,46.50919,58.960747,70.87371,80.38227,90.22172,101.46228,106.33901,108.295135,112.4014,112.78399,112.575134,113.88742,117.4803,115.51211,117.01341,113.17462,116.492325,116.963264,117.18137,110.57359,103.41126,88.54197,40.59879,both img and text,1,6,All tokens
7,2.94259,3.1010685,3.5788953,4.3761373,5.683763,8.780138,13.551209,20.988562,30.107182,39.714962,52.150272,65.0697,77.81453,88.003235,97.24618,109.44589,113.97956,115.44905,119.80058,119.9245,119.99217,120.91568,124.51488,121.826164,123.34582,119.25462,122.62421,122.13455,121.9488,114.582794,106.225945,90.16078,39.773415,both img and text,1,7,All tokens
8,3.2380927,3.4496562,4.070169,5.1462617,6.9270735,11.123953,17.489725,26.860138,37.89104,48.881523,62.629272,75.690636,88.429695,97.77596,105.10052,117.419914,121.64887,122.16723,125.939545,125.52618,124.98791,125.99613,130.18251,126.645294,128.53915,124.99227,129.03789,128.21802,128.3324,120.59135,111.80943,95.27032,41.819927,both img and text,1,8,All tokens
9,3.0249064,3.2039063,3.766756,4.678677,6.149649,9.641932,14.979962,23.162493,32.934097,43.039886,56.01911,68.81596,81.445595,91.02052,99.35479,111.30366,115.38098,116.09562,120.36218,120.37504,120.3063,121.63403,125.56119,122.99865,124.60273,120.90819,124.69759,124.69782,124.90544,117.78784,109.78611,93.51079,42.06128,both img and text,1,9,All tokens
10,3.1493046,3.3452008,3.9600854,4.922363,6.4722466,10.1053505,15.655791,24.0568,33.96558,43.80556,56.621937,69.35255,81.794235,91.68638,100.36751,112.29009,116.49572,117.70173,121.968285,122.08239,121.69941,122.96288,126.95177,124.47587,126.09212,122.38388,126.06134,125.662544,125.71882,118.12381,109.78186,92.96116,41.249092,both img and text,0,10,All tokens
11,2.954965,3.1242335,3.633804,4.486646,5.882682,9.142578,14.135495,21.829977,31.187468,40.89976,53.55953,66.51426,79.140434,88.91911,97.787476,109.72602,114.220474,115.34203,119.517975,119.79025,119.45258,120.63384,124.09452,121.95188,123.47069,119.598305,122.992546,122.647766,122.891594,115.4849,107.45452,91.11975,41.285423,both img and text,0,11,All tokens
12,2.9765286,3.1399698,3.7115333,4.504326,5.791453,8.787392,13.286074,20.264244,28.751974,37.53706,49.182716,61.557854,73.59056,83.495056,93.37556,104.795456,109.72346,111.24327,115.43369,116.01393,115.95115,117.83999,121.64958,119.61792,121.26917,117.87528,121.31141,121.939316,122.145454,115.27506,107.36895,91.092155,41.13845,both img and text,0,12,All tokens
13,2.9019063,3.0530348,3.5596561,4.309693,5.4865546,8.237963,12.507066,19.14479,27.418392,36.07858,47.559704,59.737568,71.71055,81.545654,91.69989,103.172966,108.219666,110.23373,114.89723,115.637924,116.000595,117.46904,121.13995,119.274475,120.76444,116.83027,120.59135,121.14954,121.40111,114.41285,106.31508,90.368416,41.309574,both img and text,0,13,All tokens
14,3.2838855,3.5118845,4.2030363,5.346579,7.16558,11.503507,18.084032,27.814022,38.922283,49.78797,63.47846,76.22817,88.70763,98.37255,105.524254,117.907326,121.63033,122.0452,126.37569,126.19396,126.142525,127.72053,132.10301,130.06357,132.075,128.98312,133.31,133.5698,133.54974,125.643715,117.06141,98.90644,43.98143,both img and text,0,14,All tokens
15,3.0584006,3.2372744,3.8231542,4.715182,6.152766,9.511608,14.672302,22.53576,32.118553,42.031105,54.726078,67.528915,80.275826,90.0182,99.13478,111.01712,116.104965,118.03304,122.710365,123.353584,123.50537,125.10471,129.2215,126.89307,128.71869,124.53459,128.61948,128.33437,128.66315,121.296936,113.08442,96.42846,44.057404,both img and text,0,15,All tokens
16,3.1051965,3.3081784,3.902523,4.949207,6.6596713,10.794336,17.176842,26.70721,37.886032,49.01324,62.802185,75.973404,88.56122,98.07041,105.36969,117.19009,120.52444,120.81863,124.27043,123.86495,123.61354,124.78818,128.9557,126.5256,128.16344,124.53086,128.23508,128.35878,128.00728,120.30275,112.214935,95.80373,43.724277,both img and text,0,16,All tokens
17,3.040936,3.218686,3.7887783,4.66533,6.098035,9.430912,14.520984,22.249203,31.665173,41.33243,53.90281,66.62958,79.07031,88.81949,97.81979,109.20712,113.474846,114.783936,119.07501,119.27608,119.18869,120.72523,124.354324,122.31663,124.16513,120.91529,124.58448,124.84448,124.89127,117.76432,109.53114,92.72869,41.314907,both img and text,0,17,All tokens
18,3.2035172,3.4103487,4.1035643,5.097812,6.7045026,10.460796,16.15287,24.68911,34.809696,45.02209,58.195274,71.24368,83.86607,93.54678,102.49736,114.364395,118.7362,120.167496,124.54711,124.90122,124.8752,126.38973,130.25436,127.963745,130.01843,126.5878,130.34514,130.83807,130.89249,123.33964,114.52267,97.17271,43.157116,both img and text,0,18,All tokens
19,2.8754172,3.0247705,3.4173229,4.196645,5.4465146,8.469876,13.152806,20.348028,29.269358,38.670563,51.0037,63.68972,76.36846,86.21682,95.58015,107.39224,111.668816,113.26041,117.44704,117.49452,117.321594,119.024155,122.72183,120.33103,121.72931,117.84499,121.300995,121.60637,121.60428,114.440506,106.14255,90.13181,40.861862,both img and text,0,19,All tokens
0,2.9964921,3.0012333,3.1331758,3.1371675,3.1471798,3.192256,3.2401063,3.361812,3.5922666,3.9494655,4.5316334,5.595067,6.686451,7.7549047,9.302747,10.856373,12.430033,13.987125,15.050105,15.774628,16.730602,17.10032,17.698166,18.448627,18.978838,18.639189,19.477268,19.57014,20.161318,20.150967,19.918718,20.234823,18.387133,both img and text,1,0,Img tokens
1,3.6145725,3.621377,3.7573545,3.7673492,3.7808247,3.8395638,3.8943582,4.046572,4.3610606,4.822392,5.579107,6.960619,8.39961,9.781873,11.716353,13.714912,15.6723995,17.63124,18.872162,19.917524,20.958117,21.47552,22.159105,23.05274,23.733294,23.467985,24.532991,24.591974,25.359722,25.43386,25.275042,25.629606,21.71257,both img and text,1,1,Img tokens
2,3.1932209,3.1987462,3.3256166,3.3322642,3.335168,3.3778956,3.4146147,3.5317748,3.7576396,4.108087,4.6717234,5.7053065,6.740923,7.759568,9.262805,10.796955,12.407655,14.049183,15.150619,16.039783,17.087158,17.515417,18.082561,18.752321,19.308727,19.06118,19.91472,20.032017,20.59049,20.66624,20.58114,20.815403,19.160559,both img and text,1,2,Img tokens
3,3.8190918,3.826334,3.9483025,3.9489474,3.9526064,4.0136905,4.0657063,4.2211924,4.5305395,4.9938965,5.7330375,7.144203,8.569516,9.96294,11.899058,13.862103,15.763488,17.76477,18.970535,20.014475,21.058071,21.49647,22.134834,22.959097,23.631954,23.34444,24.355299,24.43793,25.213326,25.266527,25.080267,25.295572,21.966694,both img and text,1,3,Img tokens
4,3.3018527,3.3069818,3.4695003,3.4685898,3.4764042,3.520608,3.5656068,3.703265,3.992949,4.382512,5.022684,6.245531,7.415702,8.674139,10.441015,12.115713,13.884731,15.663399,16.733534,17.557573,18.488512,18.874754,19.472055,20.317896,20.863207,20.565557,21.500006,21.60496,22.174553,22.140278,21.899221,22.085106,19.689709,both img and text,1,4,Img tokens
5,3.6097784,3.6162705,3.7652476,3.7691622,3.7801945,3.8331392,3.891611,4.033402,4.332885,4.797528,5.536622,6.895446,8.189987,9.446643,11.287849,13.172251,14.995448,16.778894,17.985352,18.777782,19.77746,20.283642,20.977478,21.690891,22.317156,22.098722,23.116156,23.18345,23.86625,23.853363,23.715425,24.086823,20.652601,both img and text,1,5,Img tokens
6,2.7798858,2.7837796,2.8989275,2.9042885,2.9156277,2.9648,3.013555,3.1293073,3.3493564,3.683113,4.224769,5.2171655,6.1652684,7.089724,8.451284,9.8525,11.295541,12.764262,13.693616,14.389786,15.310277,15.687348,16.218891,16.853155,17.369154,17.101406,17.91014,17.99796,18.545732,18.594336,18.599325,18.996902,17.56597,both img and text,1,6,Img tokens
