,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,21.478964,43.495113,49.15275,56.045563,38.319004,37.380424,41.781277,47.866577,56.487206,60.709404,61.22901,60.17578,63.67879,64.52494,66.28379,71.05908,72.91569,77.711266,82.011734,81.89293,83.09795,85.77171,87.34425,89.704636,90.8485,93.88224,97.73495,90.8531,61.11624,All tokens
1,3.9237447,57.877274,59.82602,67.00209,9.543921,9.597424,12.122792,17.098093,23.45918,28.019869,28.615837,30.518442,33.378155,35.42583,38.403404,42.62573,45.392292,49.123154,53.86885,55.24284,58.014595,64.136154,66.92996,72.478355,76.79667,76.74516,78.65917,68.62702,42.454292,All tokens
2,10.061767,48.775864,57.15135,68.19671,26.756859,26.221241,30.926912,38.555405,47.33668,53.100357,54.82013,54.91073,58.92255,60.58179,62.414295,68.31678,69.36105,74.41823,78.51628,77.355194,81.24591,85.89204,88.5082,93.53228,95.33653,94.24946,97.237785,84.54867,44.078438,All tokens
3,27.290451,47.6599,49.80604,55.004307,46.19376,46.794456,52.31815,56.45417,64.37892,70.60325,74.787766,75.43208,81.26455,81.33468,84.932014,89.00604,90.30363,95.910416,101.816315,100.18538,98.53597,98.981316,97.78235,99.22236,98.09407,97.91771,104.08689,97.49035,62.621418,All tokens
4,54.2986,73.17933,75.7596,80.83286,73.11891,73.87358,77.09614,79.764755,88.506165,91.841286,93.22478,92.17748,97.91294,98.836,99.28692,103.05752,101.439445,107.88713,113.642654,113.516464,115.77303,117.88338,117.88096,120.176834,122.40659,123.68201,128.15329,123.22049,80.435524,All tokens
5,60.64396,78.39101,80.03969,84.0058,85.10939,89.00341,89.947754,92.13434,99.17548,105.150406,99.30932,98.31819,105.40838,108.249855,111.91248,117.10725,119.460655,127.78162,135.92123,134.87402,134.9352,137.4641,134.82324,137.06953,138.5067,141.5269,149.35716,145.29256,86.55876,All tokens
6,59.234543,78.42177,81.236305,86.23886,85.8565,88.274864,90.90497,92.333435,99.56778,104.95689,105.08448,102.00209,108.29384,109.34245,109.81569,113.318794,112.3618,121.00296,127.33274,125.35594,128.56558,130.80838,131.73398,135.541,142.2995,147.6245,157.00508,153.22531,98.83441,All tokens
7,28.512865,50.392677,56.915154,65.08965,52.669697,53.394657,57.44336,62.58097,71.576805,78.77372,79.44416,78.85069,83.948814,85.91133,87.51643,92.7933,91.92646,96.92503,100.08249,96.79132,96.37491,101.33618,100.15854,105.3619,106.01518,102.67326,104.5471,88.06797,44.216824,All tokens
8,16.349142,35.601685,41.24554,47.424023,28.632366,27.290258,30.867226,36.95997,44.55589,49.342934,49.80119,49.336216,53.70604,56.02061,57.93736,63.65766,65.8332,70.841576,75.835976,76.26327,80.17762,84.52473,86.23109,89.29089,86.82324,88.51124,91.87882,85.52875,56.855175,All tokens
9,4.7568345,35.062756,41.827904,52.463432,15.509454,15.295974,18.43381,24.22951,31.759777,36.671043,37.955902,39.444836,43.043053,44.467415,46.84828,52.137436,53.879814,58.464596,62.44537,64.07078,67.59821,71.93514,76.27977,80.37947,83.997505,81.4011,82.19432,69.53289,38.689148,All tokens
0,36.82714,37.157257,37.124184,38.08214,40.409225,39.864445,40.19441,40.547703,43.728283,46.497322,45.615227,44.158733,45.938362,46.21324,48.157227,50.412636,52.503735,55.820568,59.080044,60.09672,60.052036,60.026073,62.076317,61.545555,60.965904,63.61287,65.853645,67.24807,55.342773,Img tokens
1,21.74907,22.565054,22.633928,22.655935,23.3398,23.773739,23.489128,23.740414,24.037783,24.372137,24.773287,24.728155,24.863913,25.040714,26.036163,26.51063,26.746214,27.000126,27.687273,27.572773,26.846441,27.368402,27.261278,27.720665,28.511702,29.31882,30.15606,28.792627,20.651194,Img tokens
2,37.81108,38.92403,38.55202,39.7727,40.551445,40.861984,40.303394,40.436886,41.860447,42.704453,43.588543,42.75473,44.34417,45.00862,46.19484,47.789284,48.34856,50.362587,51.469833,50.919613,51.505928,52.202038,52.43742,52.456676,51.7716,54.033073,55.87346,55.236122,35.81456,Img tokens
3,38.777214,40.328156,37.74267,38.785427,40.714573,42.20982,43.17287,43.335754,47.603825,52.262394,54.427277,56.10589,60.25822,60.65857,64.19797,66.31775,67.94503,72.34025,76.91211,76.29396,74.63035,73.804504,73.521255,73.74076,71.97783,73.839035,79.00948,81.192345,61.103626,Img tokens
4,61.554714,67.63355,67.51768,69.46237,72.58914,75.31222,74.0112,73.84027,78.56973,81.68082,80.532585,79.65814,84.18556,85.60982,87.09887,89.00443,88.01671,93.805855,99.22108,99.52961,100.989876,102.489784,103.27313,104.89945,107.440384,111.08679,114.849846,116.80676,83.2674,Img tokens
5,65.254135,73.24793,73.26284,75.37053,77.89628,81.64457,78.641846,79.91209,84.398994,91.91051,85.12915,84.89019,90.937096,94.50638,99.14074,103.00481,106.06533,113.754456,121.76008,121.28225,121.07943,123.47357,121.258545,123.20204,125.02314,129.08655,136.27809,138.55412,87.12632,Img tokens
6,64.37951,73.18044,73.86009,76.34273,79.5476,82.28349,80.90859,81.2092,85.76787,92.13134,90.87867,88.84143,94.042015,95.92381,97.198746,99.33115,99.15836,107.16925,113.29471,112.032715,114.87625,116.696365,118.36671,122.01853,128.99402,136.27472,145.38243,148.06596,101.39195,Img tokens
