,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,30.312092,37.328148,32.008705,36.582355,1.3060337,1.3416983,1.4241288,1.5613892,1.7870672,1.9793595,1.9250357,2.0266583,2.117572,2.209151,2.3281274,2.5189457,2.7242608,2.9144177,3.2093732,3.5969555,4.140643,5.1771164,6.713283,8.707553,11.357228,13.9428425,17.722368,31.399693,24.939985,Text tokens
1,29.49042,35.932686,31.888485,35.80869,1.3349038,1.3659953,1.4536211,1.5958067,1.8389897,2.066081,2.0158107,2.118645,2.2122102,2.288303,2.4123209,2.6118088,2.844304,3.0500238,3.3631246,3.8052108,4.385974,5.4360247,6.9504204,9.009275,11.674563,14.336392,18.149244,31.74324,25.910006,Text tokens
2,28.642374,35.071922,31.108263,34.93581,1.3177563,1.3530997,1.4329056,1.5674075,1.7889608,1.9952422,1.9426285,2.043979,2.135467,2.2023396,2.3274236,2.5194976,2.725863,2.9454932,3.2342644,3.6541612,4.202651,5.214054,6.7539334,8.762491,11.334803,13.950065,17.771053,31.648537,26.113592,Text tokens
3,28.641512,35.168007,31.222626,35.119102,1.3204789,1.351013,1.427252,1.564632,1.7876871,1.9968017,1.9439077,2.0420368,2.1295552,2.202287,2.3462594,2.5328233,2.735742,2.9262505,3.2127876,3.6160512,4.1585827,5.1596994,6.658509,8.605257,11.187063,13.669928,17.347982,30.989063,25.569305,Text tokens
4,28.639036,35.263306,31.415485,35.09021,1.3224704,1.3515568,1.4303545,1.5654515,1.7915496,1.9899986,1.9486011,2.0422206,2.1271467,2.2024145,2.3282583,2.5156024,2.729923,2.9251282,3.210917,3.614033,4.115055,5.123029,6.6259127,8.56749,11.104247,13.57084,17.338772,31.367256,25.480625,Text tokens
5,28.665321,35.23348,31.340002,35.125313,1.313627,1.3427019,1.4250903,1.5620344,1.781693,1.9743304,1.9241383,2.0194485,2.1008751,2.1813464,2.310249,2.4999273,2.7135155,2.906026,3.1877148,3.6062407,4.1429763,5.158717,6.700622,8.63094,11.257704,13.849031,17.610935,31.776314,25.923208,Text tokens
6,28.6521,35.22359,31.14878,34.773067,1.3043146,1.3358417,1.4155173,1.547449,1.7651919,1.9628981,1.914808,2.0084171,2.095927,2.1783597,2.3102567,2.4988902,2.7140992,2.9069536,3.179099,3.5860505,4.1007347,5.125582,6.6771007,8.646968,11.178517,13.660504,17.39801,31.638145,25.425632,Text tokens
7,29.590132,36.444366,32.194595,36.068935,1.3200797,1.3556147,1.4385473,1.582931,1.8248603,2.050578,1.9911654,2.1043615,2.2028246,2.278437,2.4079015,2.6238546,2.863874,3.0714252,3.3836782,3.8119702,4.381042,5.481308,7.1275225,9.251844,11.913936,14.653309,18.545622,32.65716,26.654827,Text tokens
8,30.98256,37.912807,32.715065,37.477657,1.3223997,1.3569522,1.4484364,1.587925,1.8133897,2.0140948,1.9709965,2.080249,2.1536615,2.2274086,2.3354928,2.5339792,2.736019,2.9396288,3.246976,3.6207738,4.1724844,5.2209473,6.7570868,8.708697,11.215389,13.86921,17.507593,30.034225,24.498302,Text tokens
9,28.629559,35.477844,31.282764,35.190033,1.310583,1.3407627,1.4209063,1.561093,1.789738,1.9964304,1.9360384,2.032154,2.1195593,2.1991677,2.33198,2.5147395,2.7252316,2.9300592,3.2068589,3.611694,4.1427684,5.230147,6.733506,8.711361,11.307523,13.733773,17.322168,31.520555,25.886929,Text tokens
0,30.312092,36.899826,30.553251,35.3876,1.3117753,1.348212,1.4268019,1.5706494,1.8201779,2.0169272,1.9664731,2.0710702,2.1486506,2.2252848,2.3721237,2.565991,2.7967887,2.9662719,3.25312,3.6646218,4.2659287,5.4229336,7.192319,9.626564,12.726497,15.571471,19.568205,32.05682,24.810566,Text only tokens
1,29.49042,35.46578,30.639978,35.109306,1.3348349,1.3682517,1.4529706,1.5970101,1.8654648,2.0924666,2.0403168,2.1610854,2.2456336,2.321659,2.4731035,2.6575725,2.887713,3.0576267,3.338728,3.7871466,4.406145,5.604765,7.442767,10.014435,13.181572,15.969264,19.904629,32.0268,24.501055,Text only tokens
2,28.642374,34.797184,29.97287,34.50674,1.3211693,1.3614289,1.4406908,1.5826111,1.839268,2.0584114,1.9970958,2.1154056,2.1978128,2.2721155,2.413371,2.5942764,2.8131592,2.976323,3.2495794,3.6898208,4.3122644,5.490105,7.313896,9.812479,12.9726715,15.79271,19.771458,32.164337,24.712713,Text only tokens
3,28.641512,34.717846,29.99551,34.554417,1.3298842,1.3618903,1.4405553,1.579124,1.8286891,2.0464275,1.9915661,2.1122508,2.1976318,2.2707906,2.4174807,2.5926054,2.802276,2.967684,3.2406268,3.6730218,4.272283,5.425607,7.186306,9.5964985,12.707385,15.475193,19.390862,31.994852,24.541447,Text only tokens
4,28.639036,34.771442,30.003027,34.412987,1.3212636,1.3554384,1.4347659,1.5723351,1.8292472,2.0455296,1.9930667,2.1120653,2.1941757,2.2651103,2.4108074,2.5894547,2.8068166,2.9718962,3.250853,3.6972618,4.3168187,5.4685507,7.252413,9.657582,12.760777,15.56855,19.501268,31.822197,24.249113,Text only tokens
5,28.665321,34.84973,30.195772,34.633175,1.3224142,1.3526338,1.4363551,1.5785406,1.8354231,2.0435834,1.9900643,2.1121447,2.19133,2.264068,2.405303,2.5758827,2.7941968,2.9595287,3.2199273,3.6491666,4.2567506,5.4325705,7.188684,9.631693,12.67786,15.483574,19.46642,32.262833,24.805557,Text only tokens
6,28.6521,34.751186,29.74393,34.05928,1.3095897,1.3439229,1.4247539,1.5604292,1.8082486,2.0184386,1.9717468,2.0860417,2.1684756,2.2447052,2.3850257,2.5657039,2.7827816,2.943632,3.2086346,3.6394238,4.242069,5.3970447,7.162294,9.586642,12.690228,15.539261,19.54232,32.316788,24.544529,Text only tokens
7,29.590132,36.24014,31.328575,35.875454,1.3434091,1.3799456,1.4685307,1.6186118,1.8862165,2.1184676,2.0557957,2.1850648,2.2762609,2.3515031,2.5034719,2.6953728,2.9392862,3.104309,3.4019587,3.902683,4.5637555,5.794101,7.7359033,10.271557,13.399759,16.282623,20.309715,32.19385,24.736351,Text only tokens
8,30.98256,37.72084,31.233429,36.33238,1.326576,1.3584734,1.4373382,1.5825337,1.8354667,2.0467932,2.0056129,2.1270592,2.201489,2.2687411,2.404441,2.58876,2.807988,2.991361,3.2646732,3.6858664,4.3278313,5.507586,7.306838,9.713725,12.740801,15.688897,19.719248,32.03436,24.553286,Text only tokens
9,28.629559,34.950512,30.08224,34.56459,1.3187386,1.350587,1.4316665,1.5737221,1.828438,2.0380673,1.9772203,2.0954466,2.1762726,2.2487173,2.3904774,2.5622892,2.7763703,2.9392426,3.2110665,3.644531,4.252632,5.4119444,7.1456656,9.568674,12.651958,15.480115,19.464989,32.36529,24.449003,Text only tokens
